Study,n_samples,n_conditions,conditions,pseudo_F,p_value,R2,R2_pct
FengQ_2015,154,3,"Adenoma, CRC, Control",1.9801,0.001,0.025556,2.56%
GuptaA_2019,60,2,"CRC, Control",4.8509,0.001,0.077181,7.72%
HanniganGD_2017,81,3,"Adenoma, CRC, Control",1.0472,0.289,0.026149,2.61%
ThomasAM_2018a,80,3,"Adenoma, CRC, Control",1.1025,0.208,0.027839,2.78%
ThomasAM_2018b,59,2,"CRC, Control",1.3171,0.028,0.022585,2.26%
ThomasAM_2019_c,80,2,"CRC, Control",1.4525,0.034,0.018282,1.83%
VogtmannE_2016,104,2,"CRC, Control",1.1308,0.193,0.010965,1.10%
WirbelJ_2018,125,2,"CRC, Control",1.8975,0.001,0.015192,1.52%
YachidaS_2019,576,3,"Adenoma, CRC, Control",1.6744,0.001,0.00581,0.58%
YuJ_2015,128,2,"CRC, Control",1.9277,0.001,0.015069,1.51%
ZellerG_2014,156,3,"Adenoma, CRC, Control",1.66,0.001,0.021239,2.12%
