feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Streptococcus thermophilus,Streptococcus thermophilus,CRC,Adenoma,413,209,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-3.804398391361511,0.00014214924552998,0.0,0.0,0.0,no_median_difference,CRC_vs_Adenoma,van_elteren_blocked_wilcoxon,Study,,,ok,0.015209969271707861,True
rCLR_Roseburia intestinalis,Roseburia intestinalis,CRC,Control,426,371,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-4.157856533766584,3.212476602017645e-05,0.0,0.0,0.0,no_median_difference,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.00343734996415888,True
rCLR_Roseburia faecis,Roseburia faecis,CRC,Control,426,371,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.790095389151968,0.0001505894437479953,0.0,0.8683688910613259,-0.8683688910613259,higher_in_Control,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.008056535240517748,True
rCLR_Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,CRC,Control,426,371,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.5754075551194022,0.00034968272530582774,2.6135464774857313,2.9267910635594325,-0.3132445860737012,higher_in_Control,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.011756680204750285,True
rCLR_Odoribacter splanchnicus,Odoribacter splanchnicus,CRC,Control,426,371,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,3.4481070978337605,0.000564530143926043,0.035857372831247944,0.0,0.035857372831247944,higher_in_CRC,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.011756680204750285,True
rCLR_Lachnospira eligens,Lachnospira eligens,CRC,Control,426,371,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.431020114503963,0.0006013160116342941,0.0,0.782993125280087,-0.782993125280087,higher_in_Control,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.011756680204750285,True
rCLR_Parvimonas micra,Parvimonas micra,CRC,Control,406,360,9,FengQ_2015;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.4059870361227595,0.0006592530955934739,0.0,0.0,0.0,no_median_difference,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.011756680204750285,True
rCLR_Eubacterium ventriosum,Eubacterium ventriosum,CRC,Control,426,371,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-3.1313540750281357,0.0017400223498918411,0.0,0.0,0.0,no_median_difference,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.02659748449120386,True
rCLR_Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,CRC,Control,426,371,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-2.9412290175296314,0.0032691273644995444,0.7077308595203243,1.1865762134192075,-0.47884535389888316,higher_in_Control,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.04024372120169915,True
rCLR_Lachnospira pectinoschiza,Lachnospira pectinoschiza,CRC,Control,426,371,10,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,-2.930425096153394,0.0033849858954700216,0.0,0.0,0.0,no_median_difference,CRC_vs_Control_Male,van_elteren_blocked_wilcoxon,Study,Male,,ok,0.04024372120169915,True
