feature,species,group_a,group_b,n_group_a,n_group_b,n_blocks,blocks,z,p_value,median_group_a,median_group_b,median_difference_a_minus_b,direction,comparison,test,blocking_variable,filter_sex,filter_condition,note,p_adj_BH,significant_FDR_0_05
rCLR_Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,3.280260803052595,0.0010371116643425565,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.11097094808465356,False
rCLR_Bacteroides caccae,Bacteroides caccae,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,2.4570840336216513,0.014006991766491722,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.5398757058934007,False
rCLR_Oscillibacter sp. CAG:241,Oscillibacter sp. CAG:241,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,2.2600670306401924,0.023817090971627066,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.5398757058934007,False
rCLR_[Ruminococcus] torques,[Ruminococcus] torques,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,2.183046985705247,0.029032350056681974,0.5005668917452653,0.0,0.5005668917452653,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.5398757058934007,False
rCLR_Bacteroides fragilis,Bacteroides fragilis,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,2.1459573087236246,0.031876384874418885,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.5398757058934007,False
rCLR_Anaerostipes hadrus,Anaerostipes hadrus,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-2.098392657143756,0.03587047340201661,0.8758888129320501,0.8355872334495763,0.040301579482473815,higher_in_Adenoma,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.5398757058934007,False
rCLR_Klebsiella pneumoniae,Klebsiella pneumoniae,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,2.0736967983214436,0.03810747876631235,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.5398757058934007,False
rCLR_Streptococcus thermophilus,Streptococcus thermophilus,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,2.0499988938062303,0.040364538758385096,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.5398757058934007,False
rCLR_Parabacteroides distasonis,Parabacteroides distasonis,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.84746618908035,0.06467960400998139,0.535900551780591,1.0081369671651803,-0.47223641538458927,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.7065643331628746,False
rCLR_Bifidobacterium longum,Bifidobacterium longum,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.838192464282729,0.06603404982830603,0.0301793223175281,0.5384554557108716,-0.5082761333933435,higher_in_Control,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.7065643331628746,False
rCLR_Eubacterium ventriosum,Eubacterium ventriosum,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.7373955158483072,0.08231738221262962,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Bacteroides intestinalis,Bacteroides intestinalis,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.6641521272858526,0.09608203215676832,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Coprococcus catus,Coprococcus catus,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,1.6459347001988076,0.09977720382769567,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
rCLR_Bifidobacterium adolescentis,Bifidobacterium adolescentis,Adenoma,Control,209,425,5,FengQ_2015;HanniganGD_2017;ThomasAM_2018a;YachidaS_2019;ZellerG_2014,-1.6323535084469258,0.10260503709808112,0.0,0.0,0.0,no_median_difference,Adenoma_vs_Control,van_elteren_blocked_wilcoxon,Study,,,ok,0.761996331542459,False
