comparison,stratum,species,feature,group1,group0,n_studies,total_n_group1,total_n_group0,effect_random,se_random,ci_low,ci_high,z_value,p_value,tau2_reml,q_statistic,q_df,q_p_value,i2_percent,direction,note,q_value,significant_fdr_0_05,abs_effect_random
Adenoma_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,Adenoma,Control,5,209,425,-0.24761201700385735,0.08793185371043684,-0.4199584502763135,-0.07526558373140116,-2.815953565806241,0.004863269513602686,0.0,2.2063255467267844,4,0.6978713684540865,0.0,Higher in Control,,0.5203698379554874,False,0.24761201700385735
Adenoma_vs_Control,All,Bifidobacterium adolescentis,rCLR_Bifidobacterium adolescentis,Adenoma,Control,5,209,425,-0.17812479226767386,0.08778614771536779,-0.3501856417897947,-0.006063942745552997,-2.029076305355309,0.04245051888629564,0.0,2.396890601909622,4,0.6631892584815372,0.0,Higher in Control,,0.9612512656175781,False,0.17812479226767386
Adenoma_vs_Control,All,Bifidobacterium longum,rCLR_Bifidobacterium longum,Adenoma,Control,5,209,425,-0.2343312954692057,0.12264731562366954,-0.474720034091598,0.006057443153186598,-1.9106108786614358,0.05605460530958675,0.031241516863092938,7.164928340531919,4,0.12742500437999324,44.172505154419405,Higher in Control,,0.9612512656175781,False,0.2343312954692057
Adenoma_vs_Control,All,Oscillibacter sp. CAG:241,rCLR_Oscillibacter sp. CAG:241,Adenoma,Control,5,209,425,0.1624647776502776,0.08771955777254216,-0.00946555558390505,0.3343951108844602,1.8520929855979285,0.0640124715897399,0.0,1.853880805435835,4,0.7626112029051635,0.0,Higher in Adenoma,,0.9612512656175781,False,0.1624647776502776
Adenoma_vs_Control,All,Blautia sp. CAG:257,rCLR_Blautia sp. CAG:257,Adenoma,Control,5,209,425,0.16137232173074892,0.08768420044946323,-0.010488711150199004,0.33323335461169684,1.840380831478937,0.06571234565444761,0.0,0.392332651377187,4,0.9830998260714426,0.0,Higher in Adenoma,,0.9612512656175781,False,0.16137232173074892
Adenoma_vs_Control,All,Lachnospira eligens,rCLR_Lachnospira eligens,Adenoma,Control,5,209,425,-0.1601342716152259,0.08798612819263725,-0.3325870828727949,0.012318539642343113,-1.8199945253259373,0.06875983861514462,0.0,7.293944163417754,4,0.12114631616145033,45.15998600507927,Higher in Control,,0.9612512656175781,False,0.1601342716152259
Adenoma_vs_Control,All,Roseburia inulinivorans,rCLR_Roseburia inulinivorans,Adenoma,Control,5,209,425,0.15189685684838047,0.0878131813190917,-0.02021697853703927,0.3240106922338002,1.7297728492084157,0.08367086715431994,0.0,3.6133656948173014,4,0.4608514405333066,0.0,Higher in Adenoma,,0.9612512656175781,False,0.15189685684838047
Adenoma_vs_Control,All,Phocaeicola vulgatus,rCLR_Phocaeicola vulgatus,Adenoma,Control,5,209,425,-0.1462626622069186,0.08764335434863518,-0.31804363673024355,0.025518312316406333,-1.6688391640637414,0.09514925880212854,0.0,0.09720016727224746,4,0.9988565914702177,0.0,Higher in Control,,0.9612512656175781,False,0.1462626622069186
Adenoma_vs_Control,All,Bacteroides stercoris,rCLR_Bacteroides stercoris,Adenoma,Control,5,209,425,0.16128612175781584,0.09857517112959704,-0.03192121365619435,0.354493457171826,1.6361738956128469,0.10180319813915541,0.007998734866959258,3.890256882304049,4,0.42106165305727883,0.0,Higher in Adenoma,,0.9612512656175781,False,0.16128612175781584
Adenoma_vs_Control,All,Bacteroides eggerthii,rCLR_Bacteroides eggerthii,Adenoma,Control,5,209,425,-0.1660299594964335,0.1057385090357417,-0.3732774372064872,0.04121751821362021,-1.5701938774293869,0.11637001351596027,0.01416028544043112,5.197075793146586,4,0.26766735731564717,23.033641239659744,Higher in Control,,0.9612512656175781,False,0.1660299594964335
Adenoma_vs_Control,All,Anaerotignum lactatifermentans,rCLR_Anaerotignum lactatifermentans,Adenoma,Control,5,209,425,-0.13858916602220803,0.08912834022008312,-0.31328071285357095,0.03610238080915487,-1.5549393793263975,0.1199605075530072,0.0008693982975859591,4.604948295060304,4,0.3302840562382104,13.136918295244,Higher in Control,,0.9612512656175781,False,0.13858916602220803
Adenoma_vs_Control,All,Prevotella copri,rCLR_Prevotella copri,Adenoma,Control,5,209,425,0.13545290714351693,0.08764846824850911,-0.036338090623560915,0.3072439049105948,1.5454110020436207,0.12224688078935961,0.0,0.48306282609999873,4,0.9751287309978639,0.0,Higher in Adenoma,,0.9612512656175781,False,0.13545290714351693
Adenoma_vs_Control,All,Phascolarctobacterium faecium,rCLR_Phascolarctobacterium faecium,Adenoma,Control,5,209,425,-0.12417226455933979,0.08786768127202346,-0.29639291985250577,0.048048390733826205,-1.4131733392955197,0.15760476351009933,0.0,5.5496603853512365,4,0.23539865612805158,27.923517436160356,Higher in Control,,0.9612512656175781,False,0.12417226455933979
Adenoma_vs_Control,All,Escherichia coli,rCLR_Escherichia coli,Adenoma,Control,5,209,425,0.12924352061150052,0.09331775108221771,-0.053659271509646195,0.31214631273264726,1.3849832332289103,0.16605759429356926,0.003956111420155794,3.663321948281939,4,0.45348299018273597,0.0,Higher in Adenoma,,0.9612512656175781,False,0.12924352061150052
Adenoma_vs_Control,All,Parabacteroides merdae,rCLR_Parabacteroides merdae,Adenoma,Control,5,209,425,-0.12106517736097006,0.0878402356538951,-0.29323203924260444,0.051101684520664326,-1.378242857157017,0.16812831928817185,0.0,5.06718779141728,4,0.28047282426342685,21.060750762481412,Higher in Control,,0.9612512656175781,False,0.12106517736097006
Adenoma_vs_Control,All,Alistipes shahii,rCLR_Alistipes shahii,Adenoma,Control,5,209,425,0.12058218819033938,0.08764430185431714,-0.051200643444122215,0.29236501982480095,1.3758132090637425,0.16887947087202015,0.0,0.6134636710542689,4,0.9615558805853208,0.0,Higher in Adenoma,,0.9612512656175781,False,0.12058218819033938
Adenoma_vs_Control,All,Barnesiella intestinihominis,rCLR_Barnesiella intestinihominis,Adenoma,Control,5,209,425,-0.11933080564769494,0.08768239179040052,-0.2911882935568799,0.05252668226149007,-1.36094377914494,0.17353145701177786,0.0,1.558379953993352,4,0.8162522961311758,0.0,Higher in Control,,0.9612512656175781,False,0.11933080564769494
Adenoma_vs_Control,All,Bacteroides cellulosilyticus,rCLR_Bacteroides cellulosilyticus,Adenoma,Control,5,209,425,0.1924970883089766,0.14466614271762268,-0.09104855141756385,0.47604272803551706,1.3306298536259191,0.1833108343977884,0.05860503921894782,9.248960393005081,4,0.05516913325880263,56.75189610472145,Higher in Adenoma,,0.9612512656175781,False,0.1924970883089766
Adenoma_vs_Control,All,Bacteroides thetaiotaomicron,rCLR_Bacteroides thetaiotaomicron,Adenoma,Control,5,209,425,0.11617868448587396,0.08781041987526195,-0.055929738469639445,0.28828710744138736,1.3230626234438945,0.1858145530760793,0.0,4.512512104449961,4,0.3410664450849997,11.357578497009525,Higher in Adenoma,,0.9612512656175781,False,0.11617868448587396
Adenoma_vs_Control,All,[Ruminococcus] torques,rCLR_[Ruminococcus] torques,Adenoma,Control,5,209,425,0.1558029015066336,0.11850079871467065,-0.07645866397412088,0.38806446698738806,1.314783555862606,0.1885826555344523,0.026929909181810003,6.230017417005422,4,0.18261635306033527,35.79472203269254,Higher in Adenoma,,0.9612512656175781,False,0.1558029015066336
Adenoma_vs_Control,All,Agathobaculum butyriciproducens,rCLR_Agathobaculum butyriciproducens,Adenoma,Control,5,209,425,0.12683103672906282,0.09737042208616205,-0.0640149905598148,0.31767706401794044,1.3025622567069843,0.19272425043923846,0.007048061346749159,4.410941407632344,4,0.3532385190866462,9.316410481474172,Higher in Adenoma,,0.9612512656175781,False,0.12683103672906282
Adenoma_vs_Control,All,Butyricimonas virosa,rCLR_Butyricimonas virosa,Adenoma,Control,4,183,397,0.11779025448501813,0.09254335536703054,-0.06359472203436171,0.29917523100439797,1.2728115813162102,0.2030849105311323,0.0,0.8995456587379096,3,0.8255374506742137,0.0,Higher in Adenoma,,0.9612512656175781,False,0.11779025448501813
Adenoma_vs_Control,All,Roseburia intestinalis,rCLR_Roseburia intestinalis,Adenoma,Control,5,209,425,-0.126797949108416,0.10418595552858569,-0.33100242194444396,0.07740652372761195,-1.217034949337545,0.22359091880638104,0.012834665185310715,4.432143850236648,4,0.3506694597646155,9.750221672375874,Higher in Control,,0.9612512656175781,False,0.126797949108416
Adenoma_vs_Control,All,Klebsiella pneumoniae,rCLR_Klebsiella pneumoniae,Adenoma,Control,5,209,425,0.10599831675676637,0.08776690267532056,-0.06602481248686191,0.27802144600039463,1.2077253899330362,0.22715290842875047,0.0,4.47959627692312,4,0.3449736942039033,10.706238850000519,Higher in Adenoma,,0.9612512656175781,False,0.10599831675676637
Adenoma_vs_Control,All,Phocaeicola massiliensis,rCLR_Phocaeicola massiliensis,Adenoma,Control,5,209,425,-0.10443153617084941,0.08770304664237205,-0.2763295075898986,0.06746643524819981,-1.1907401187177835,0.23375562313838238,0.0,3.0786155102484285,4,0.5447565678538743,0.0,Higher in Control,,0.9612512656175781,False,0.10443153617084941
Adenoma_vs_Control,All,Eggerthella lenta,rCLR_Eggerthella lenta,Adenoma,Control,5,209,425,-0.0983821422356972,0.08768664270165942,-0.2702479619309497,0.07348367745955527,-1.121974102377572,0.2618734513167156,0.0,2.659814789933762,4,0.6162645934637696,0.0,Higher in Control,,0.9612512656175781,False,0.0983821422356972
