feature,species,n_control,n_adenoma,n_crc,mean_control,mean_adenoma,mean_crc,median_control,median_adenoma,median_crc,gradient_mean_crc_minus_control,adenoma_position_between_control_crc,jt_J_increasing,jt_z_increasing,jt_p_increasing,jt_J_decreasing,jt_z_decreasing,jt_p_decreasing,p_crc_vs_control,cliffs_delta_crc_vs_control,p_adenoma_vs_control,cliffs_delta_adenoma_vs_control,p_crc_vs_adenoma,cliffs_delta_crc_vs_adenoma,monotonic_increasing_means,monotonic_decreasing_means,jt_q_increasing,jt_q_decreasing,q_crc_vs_control,q_adenoma_vs_control,q_crc_vs_adenoma,best_trend_direction,best_trend_q
rCLR_Acidaminococcus intestini,Acidaminococcus intestini,664,209,671,0.111817808581024,0.09375739801512493,0.12140135825511875,0.0,0.0,0.0,0.009583549674094749,-1.8845220382921455,362544.5,53.10710458660838,0.0,362014.5,52.951944562238,0.0,0.9564008791005496,0.0011671125635178568,0.2111427988564183,-0.03682192886378048,0.23321135760889167,0.03650910231818538,False,False,0.0,0.0,0.9762813625143224,0.40729370265832326,0.48432795740228274,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,664,209,671,-1.0356062528556955,-0.8082407623965225,-1.1487792611137497,-0.186449140553281,0.0,-0.207617600223043,-0.11317300825805421,-2.009008101478932,353264.5,50.390340386311934,0.0,371294.5,55.668708762534436,0.0,0.3070784833229874,-0.031175372129351984,0.0646640952166047,0.0822332391768029,0.011942948419998415,-0.1108963982914881,False,False,0.0,0.0,0.5054984263932254,0.2423563911862585,0.06389477404699152,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Adlercreutzia equolifaciens_1,Adlercreutzia equolifaciens_1,664,209,671,-1.0656293485480823,-0.9776907390995508,-1.121873742827047,-0.412076576511554,-0.106232978405214,-0.4309002509070654,-0.05624439427896477,-1.5635088718773926,353978.0,50.599220909686025,0.0,370581.0,55.45982823916035,0.0,0.3495644816616169,-0.028603235595137628,0.35680784886784267,0.04117426644376549,0.12314386888146897,-0.06826203837734154,False,False,0.0,0.0,0.5582596945939255,0.570312061666208,0.3294098492579295,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Agathobaculum butyriciproducens,Agathobaculum butyriciproducens,664,209,671,0.013407703086779361,0.11398515941365539,-0.13214165181981227,0.0,0.0,0.0,-0.14554935490659163,-0.6910195953216217,346062.5,48.28192058345257,0.0,378496.5,57.77712856539381,0.0,0.08225288463811813,-0.05489020164113982,0.44425938803437526,0.03502767049057474,0.04524281022464935,-0.09155085247327777,False,False,0.0,0.0,0.23160680674417472,0.6248274887837929,0.1613660231345827,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Akkermansia muciniphila,Akkermansia muciniphila,664,209,671,-0.043952349990047025,0.2691099821678768,0.16896731041374954,0.0,0.0,0.0,0.21291966040379656,1.4703307884495462,370384.5,55.40230192823813,0.0,354174.5,50.656747220608246,0.0,0.36318006396590397,0.027112922629414827,0.07036478466920923,0.07765752003228224,0.2748878388092346,-0.04739765685722231,False,False,0.0,0.0,0.5631922731065467,0.2423563911862585,0.5025124751028249,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Alistipes finegoldii,Alistipes finegoldii,664,209,671,-0.5941781608192922,-0.4961218934666949,-0.341347352245853,0.0,0.0,0.0,0.2528308085734392,0.387833539377046,388330.0,60.65593252699026,0.0,336229.0,45.403116621856114,0.0,0.004094680180017347,0.0891898443251396,0.5693387270645682,0.025494321784746643,0.16166574395969702,0.06292828671054414,True,False,0.0,0.0,0.02086337044104077,0.7339667927217928,0.3931416955383541,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Alistipes inops,Alistipes inops,664,209,671,-0.07800779091196061,-0.04433017537875856,-0.07059923356480174,0.0,0.0,0.0,0.007408557347158867,4.545772402790025,361893.0,52.916374858538,0.0,362666.0,53.14267429030838,0.0,0.9580331127476995,-0.0012434237695940244,0.8906503750324132,0.0047126304260102616,0.8593080317716362,-0.006225087172612468,False,False,0.0,0.0,0.9762813625143224,0.9626221225097799,0.9086194460791583,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Alistipes putredinis,Alistipes putredinis,664,209,671,0.9007224532913095,0.8479207850064164,1.0547917234847342,0.9127185432712712,0.5331873405840275,1.220867850674312,0.15406927019342465,-0.3427138209884669,372223.5,55.940677937327045,0.0,352335.5,50.11837121151933,0.0,0.2656269914664089,0.03483157667929542,0.3546438276371815,-0.04191646970657751,0.1085585435882416,0.07263314769785865,False,False,0.0,0.0,0.4659358702771435,0.570312061666208,0.2978401067677398,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Alistipes shahii,Alistipes shahii,664,209,671,-0.7842251802078698,-0.5703759059857941,-0.6655318533230792,0.0,0.0,0.0,0.11869332688479062,1.80169584790262,373718.5,56.3783463079567,0.0,350840.5,49.68070284088968,0.0,0.19714807497681064,0.039906271883360565,0.2131630593351972,0.055470686574047384,0.6796626306861226,-0.018539778520953516,False,False,0.0,0.0,0.4056700773561296,0.40729370265832326,0.8097859414540772,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Anaerobutyricum hallii,Anaerobutyricum hallii,664,209,671,-0.08836919539763702,0.19014119764505732,-0.18817399706335006,0.0,0.0,0.0,-0.09980480166571304,-2.7905510395736184,351538.5,49.885045665437836,0.0,373020.5,56.17400348340854,0.0,0.24568621510680944,-0.03661142333866015,0.04787075906500196,0.09043350435233757,0.005587121034365267,-0.12635572130434472,False,False,0.0,0.0,0.4503304253599365,0.2423563911862585,0.0459863038982372,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Anaerostipes hadrus,Anaerostipes hadrus,664,209,671,0.9594629882136481,0.9580525881944786,0.5427369476490366,0.8355872334495763,0.8758888129320501,0.4681626897382334,-0.4167260405646115,0.0033844777668766814,323405.0,41.64882954161888,0.0,401154.0,64.41021960722749,0.0,1.4286143057686143e-05,-0.1370055482735712,0.985048870698806,-0.0008647028304605984,0.009619971388547406,-0.1182766562796369,False,True,0.0,0.0,0.0005095391023908058,0.985048870698806,0.06292168895476413,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,664,209,671,-0.20165799045114335,-0.3188674629036317,-0.2470865716665596,0.0,0.0,0.0,-0.045428581215416236,2.580082171104943,356109.0,51.22308130956013,0.0,368450.0,54.83596783928625,0.0,0.36232574724409805,-0.02091375935934498,0.22001799557819823,-0.03772986683576411,0.6464193543664187,0.01578020379495005,False,False,0.0,0.0,0.5631922731065467,0.4109714082776068,0.8042659408977536,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Bacteroides caccae,Bacteroides caccae,664,209,671,0.35826110492076735,0.34332804112208387,0.5744762408214596,0.0,0.0,0.116005183489753,0.2162151359006923,-0.06906576515319555,397683.0,63.394067824983,0.0,326876.0,42.66498132386338,0.0,7.707246970468533e-05,0.1216400624854111,0.9256612058268822,0.004121750158528852,0.010582866204640107,0.11436904142214363,False,False,0.0,0.0,0.000824675425840133,0.970082714322258,0.06292168895476413,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Bacteroides cellulosilyticus,Bacteroides cellulosilyticus,664,209,671,-0.3954003457870144,-0.27029013811373126,-0.21302760906463955,0.0,0.0,0.0,0.18237273672237483,0.6860137645668926,376784.0,57.275786033819706,0.0,347775.0,48.783263115026664,0.0,0.09044109524562456,0.04986712872353797,0.7707618819199559,0.012307603620222516,0.3988061384045456,0.03624526700846412,True,False,0.0,0.0,0.2410714063494656,0.9163502373937253,0.6368993553624833,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Bacteroides eggerthii,Bacteroides eggerthii,664,209,671,0.031786348781766206,-0.13107635511848836,-0.0029155224777126934,0.0,0.0,0.0,-0.0347018712594789,4.693196591113749,362905.5,53.21278905603801,0.0,361653.5,52.846260092808365,0.0,0.9139799256824528,0.0027943368107302535,0.06543514120231918,-0.06772064333890586,0.07723323219467051,0.06706408345752608,False,False,0.0,0.0,0.9729640400128703,0.2423563911862585,0.2430575248479337,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Bacteroides finegoldii,Bacteroides finegoldii,664,209,671,-0.04563593524836348,-0.17065247800320335,-0.02931332868864685,0.0,0.0,0.0,0.016322606559716627,-7.659104095749904,366078.0,54.14155354153806,0.0,358481.0,51.91749560730831,0.0,0.6011973355220004,0.013013305083224104,0.16066872427606493,-0.049734824465325414,0.09145101033901226,0.06204408188877559,False,False,0.0,0.0,0.7658108916768338,0.38915226910183387,0.25750679227037665,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Bacteroides fragilis,Bacteroides fragilis,664,209,671,-0.10707765266381028,-0.053841302044893624,0.23522902269549378,0.0,0.0,0.0,0.34230667535930404,0.15552238519169057,394388.5,62.42958725840146,0.0,330170.5,43.62946189044491,0.0,0.0002806787481682264,0.10876366868367658,0.5492990512033525,0.025357410503257048,0.04511864160756139,0.08727957272941193,True,False,0.0,0.0,0.0023102020041538634,0.7167682741312039,0.1613660231345827,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Bacteroides intestinalis,Bacteroides intestinalis,664,209,671,-0.16674169683860934,-0.07008384965457576,-0.1645044748500902,0.0,0.0,0.0,0.002237221988519139,43.20440603572527,363281.5,53.32286484691209,0.0,361277.5,52.73618430193428,0.0,0.877583194672441,0.003622537841380425,0.1636621692484348,0.047421744393843314,0.17927805204209124,-0.04414606493200893,False,False,0.0,0.0,0.9729640400128703,0.38915226910183387,0.417016338445734,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Bacteroides ovatus,Bacteroides ovatus,664,209,671,0.1466439876795649,-0.14010070644087183,0.19538794279738586,0.0,0.0,0.0,0.04874395511782095,-5.882671880591855,356778.0,51.41893424598236,0.0,367781.0,54.64011490286401,0.0,0.5822828470716295,-0.017322643779290037,0.008493795270260432,-0.11981898887415691,0.036641769799985485,0.09514471723272414,False,False,0.0,0.0,0.7586447292071463,0.10971275483437475,0.14520997661475732,increasing_Control_to_Adenoma_to_CRC,0.0
rCLR_Bacteroides salyersiae,Bacteroides salyersiae,664,209,671,-0.024828417910266916,-0.018436098843215388,-0.012397214163497589,0.0,0.0,0.0,0.012431203746769327,0.514215613971639,367409.5,54.531356508423265,0.0,357149.5,51.527692640423105,0.0,0.4375453556452231,0.01739671053812867,0.9790577067679741,0.0007998501181760535,0.6037622413929098,0.017099380343556358,True,False,0.0,0.0,0.6047528238814505,0.985048870698806,0.787836095476114,increasing_Control_to_Adenoma_to_CRC,0.0
