Sample,PA_Faecalibacterium prausnitzii,PA_Streptococcus salivarius,PA_Anaerostipes hadrus,PA_Bacteroides stercoris,PA_Collinsella aerofaciens,PA_Bifidobacterium longum,PA_Phocaeicola plebeius,PA_Phocaeicola vulgatus,PA_Dorea longicatena,PA_Eubacterium sp. CAG:251,PA_Fusicatenibacter saccharivorans,PA_Coprococcus comes,PA_[Ruminococcus] torques,PA_Anaerobutyricum hallii,PA_Holdemanella biformis,PA_Bacteroides uniformis,PA_Blautia wexlerae,PA_Gemmiger formicilis,PA_Dorea formicigenerans,PA_Streptococcus parasanguinis,PA_Coprococcus eutactus,PA_[Ruminococcus] lactaris,PA_Coprococcus catus,PA_Roseburia intestinalis,PA_Roseburia inulinivorans,PA_Phascolarctobacterium succinatutens,PA_[Eubacterium] rectale,PA_Blautia obeum,PA_Agathobaculum butyriciproducens,PA_Bacteroides xylanisolvens,PA_Bacteroides ovatus,PA_Bacteroides thetaiotaomicron,PA_Streptococcus thermophilus,PA_Eubacterium ramulus,PA_Bifidobacterium adolescentis,PA_Eubacterium sp. CAG:274,PA_Eubacterium ventriosum,PA_Flavonifractor plautii,PA_Oscillibacter sp. 57_20,PA_Roseburia hominis,PA_Alistipes finegoldii,PA_Alistipes putredinis,PA_Veillonella atypica,PA_Ruminococcus bromii,PA_Firmicutes bacterium CAG:83,PA_Veillonella parvula,PA_Lachnospira eligens,PA_[Ruminococcus] gnavus,PA_Bacteroides eggerthii,PA_Roseburia faecis,PA_Phocaeicola coprocola,PA_Adlercreutzia equolifaciens,PA_Gordonibacter pamelaeae,PA_Eubacterium sp. CAG:180,PA_Parabacteroides merdae,PA_Phocaeicola dorei,PA_[Eubacterium] siraeum,PA_Barnesiella intestinihominis,PA_Methanobrevibacter smithii,PA_Firmicutes bacterium CAG:145,PA_Bacteroides cellulosilyticus,PA_Adlercreutzia equolifaciens_1,PA_Ruminococcus bicirculans,PA_Firmicutes bacterium CAG:110,PA_Parabacteroides distasonis,PA_Ruthenibacterium lactatiformans,PA_Odoribacter splanchnicus,PA_Oscillibacter sp. CAG:241,PA_Alistipes shahii,PA_Eggerthella lenta,PA_Escherichia coli,PA_Butyricimonas virosa,PA_Bacteroides sp. CAG:144,PA_Intestinibacter bartlettii,PA_Erysipelatoclostridium ramosum,PA_Slackia isoflavoniconvertens,PA_Clostridium sp. CAG:58,PA_Akkermansia muciniphila,PA_Bacteroides intestinalis,PA_Bifidobacterium pseudocatenulatum,PA_Eubacterium sp. CAG:38,PA_Bacteroides fragilis,PA_Bifidobacterium bifidum,PA_Blautia sp. CAG:257,PA_Parasutterella excrementihominis,PA_Proteobacteria bacterium CAG:139,PA_Lawsonibacter asaccharolyticus,PA_Coprobacter fastidiosus,PA_Alistipes inops,PA_Bacteroides finegoldii,PA_Paraprevotella xylaniphila,PA_Dialister invisus,PA_Enterocloster bolteae,PA_Bacteroides caccae,PA_Desulfovibrio piger,PA_Lachnospira pectinoschiza,PA_Prevotella copri,PA_Phocaeicola massiliensis,PA_Megamonas funiformis,PA_Phascolarctobacterium faecium,PA_Acidaminococcus intestini,PA_Anaerotignum lactatifermentans,PA_Bacteroides salyersiae,PA_Parvimonas micra,PA_Klebsiella pneumoniae,PA_Klebsiella variicola,PA_Klebsiella quasipneumoniae,rCLR_Faecalibacterium prausnitzii,rCLR_Streptococcus salivarius,rCLR_Anaerostipes hadrus,rCLR_Bacteroides stercoris,rCLR_Collinsella aerofaciens,rCLR_Bifidobacterium longum,rCLR_Phocaeicola plebeius,rCLR_Phocaeicola vulgatus,rCLR_Dorea longicatena,rCLR_Eubacterium sp. CAG:251,rCLR_Fusicatenibacter saccharivorans,rCLR_Coprococcus comes,rCLR_[Ruminococcus] torques,rCLR_Anaerobutyricum hallii,rCLR_Holdemanella biformis,rCLR_Bacteroides uniformis,rCLR_Blautia wexlerae,rCLR_Gemmiger formicilis,rCLR_Dorea formicigenerans,rCLR_Streptococcus parasanguinis,rCLR_Coprococcus eutactus,rCLR_[Ruminococcus] lactaris,rCLR_Coprococcus catus,rCLR_Roseburia intestinalis,rCLR_Roseburia inulinivorans,rCLR_Phascolarctobacterium succinatutens,rCLR_[Eubacterium] rectale,rCLR_Blautia obeum,rCLR_Agathobaculum butyriciproducens,rCLR_Bacteroides xylanisolvens,rCLR_Bacteroides ovatus,rCLR_Bacteroides thetaiotaomicron,rCLR_Streptococcus thermophilus,rCLR_Eubacterium ramulus,rCLR_Bifidobacterium adolescentis,rCLR_Eubacterium sp. CAG:274,rCLR_Eubacterium ventriosum,rCLR_Flavonifractor plautii,rCLR_Oscillibacter sp. 57_20,rCLR_Roseburia hominis,rCLR_Alistipes finegoldii,rCLR_Alistipes putredinis,rCLR_Veillonella atypica,rCLR_Ruminococcus bromii,rCLR_Firmicutes bacterium CAG:83,rCLR_Veillonella parvula,rCLR_Lachnospira eligens,rCLR_[Ruminococcus] gnavus,rCLR_Bacteroides eggerthii,rCLR_Roseburia faecis,rCLR_Phocaeicola coprocola,rCLR_Adlercreutzia equolifaciens,rCLR_Gordonibacter pamelaeae,rCLR_Eubacterium sp. CAG:180,rCLR_Parabacteroides merdae,rCLR_Phocaeicola dorei,rCLR_[Eubacterium] siraeum,rCLR_Barnesiella intestinihominis,rCLR_Methanobrevibacter smithii,rCLR_Firmicutes bacterium CAG:145,rCLR_Bacteroides cellulosilyticus,rCLR_Adlercreutzia equolifaciens_1,rCLR_Ruminococcus bicirculans,rCLR_Firmicutes bacterium CAG:110,rCLR_Parabacteroides distasonis,rCLR_Ruthenibacterium lactatiformans,rCLR_Odoribacter splanchnicus,rCLR_Oscillibacter sp. CAG:241,rCLR_Alistipes shahii,rCLR_Eggerthella lenta,rCLR_Escherichia coli,rCLR_Butyricimonas virosa,rCLR_Bacteroides sp. CAG:144,rCLR_Intestinibacter bartlettii,rCLR_Erysipelatoclostridium ramosum,rCLR_Slackia isoflavoniconvertens,rCLR_Clostridium sp. CAG:58,rCLR_Akkermansia muciniphila,rCLR_Bacteroides intestinalis,rCLR_Bifidobacterium pseudocatenulatum,rCLR_Eubacterium sp. CAG:38,rCLR_Bacteroides fragilis,rCLR_Bifidobacterium bifidum,rCLR_Blautia sp. CAG:257,rCLR_Parasutterella excrementihominis,rCLR_Proteobacteria bacterium CAG:139,rCLR_Lawsonibacter asaccharolyticus,rCLR_Coprobacter fastidiosus,rCLR_Alistipes inops,rCLR_Bacteroides finegoldii,rCLR_Paraprevotella xylaniphila,rCLR_Dialister invisus,rCLR_Enterocloster bolteae,rCLR_Bacteroides caccae,rCLR_Desulfovibrio piger,rCLR_Lachnospira pectinoschiza,rCLR_Prevotella copri,rCLR_Phocaeicola massiliensis,rCLR_Megamonas funiformis,rCLR_Phascolarctobacterium faecium,rCLR_Acidaminococcus intestini,rCLR_Anaerotignum lactatifermentans,rCLR_Bacteroides salyersiae,rCLR_Parvimonas micra,rCLR_Klebsiella pneumoniae,rCLR_Klebsiella variicola,rCLR_Klebsiella quasipneumoniae
SID31004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5126881506916443,3.3020368739334627,3.015199621996985,2.555878159398264,2.426204138311759,2.267708703181534,2.231551173467023,2.227568532494521,2.217996011795024,2.194961018320222,2.178862965089872,1.8964516577333663,1.8197422048046787,1.7521095560968676,1.712610781604614,1.6532617760465962,1.6317960370665738,1.613174577492167,1.5663444567375864,1.5405295328676747,1.53175475117414,1.2578167423954767,0.9725803357142416,0.9518074458781048,0.7053947019917771,0.592177186631556,0.5817477031742764,0.5032465269760629,0.4082571050582321,0.3861757327660677,0.2478930527058496,0.1934469353031667,0.1102006230022004,0.0333324219093758,-0.1512643399652472,-0.3468405409930569,-0.5334166491503382,-0.6073142676988753,-1.6726458370344035,-1.7671544451898415,-1.8846124361497176,-2.1925392225538616,-2.5360670230453,-2.5745149675295456,-2.651242799709393,-2.6756731172162933,-2.7970917860430946,-3.911201937916292,-4.373100401828,-4.3750592663133325,-5.108211781486977,-5.394534234422719,-6.240022139564683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31009,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245500003654921,-0.3733947376367776,3.621883107524067,0.0,2.9044326841986425,2.462768760293301,0.0,-3.258670485940141,3.0976899527989614,0.0,3.2629503239659847,2.8269320453157323,1.5743127446605654,2.688997689451597,0.0,3.0665679809282804,-0.2532558566001439,0.1360627491021251,1.2999833662914044,-0.988699114437348,0.0,1.61413356092649,2.312066486864019,1.661141112587315,0.8459518347265913,0.0,0.4413260673071952,1.776070541668648,-0.6306271970467487,-0.8008675360685782,-6.693947181255159,1.420616876872122,3.6659140331068167,0.2724165708337482,2.37807780158306,0.0,-0.7174947542676806,-2.630749348029896,-2.474439476079052,-1.266006046913617,-1.086088407902448,0.7444598779241008,-4.671075991063717,3.5385073710830657,-1.0276589110265384,0.0,-0.2477195543177264,-6.301905093479135,0.0,-0.503467854411562,0.0,1.1300028249928382,-3.002072218161424,4.610891803611048,1.3396593477818366,0.8924302996703598,0.870996439432656,0.8468867518208039,0.7321017661004633,0.6879531394732636,0.5662661631176698,0.4856351408546595,-0.0023598398508064,-0.1068931571820372,-0.1819641384102865,-0.8861651165804734,-1.153311284006871,-1.2646015523007184,-1.619023397276541,-1.6793198658893655,-1.7437698561960175,-2.018132155697736,-2.0717232407012403,-2.1354494034654983,-3.4591980072306683,-3.4863345486656687,-4.285201892432723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31071,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.681576074630839,0.7814511763905365,3.2413415705397988,-0.609656212088491,4.192171699098784,3.9974205638397295,0.0,2.09113844637808,3.7780557163114974,4.136935356265337,4.292715608807187,2.219340783105148,3.7515118696393297,3.340352605503845,0.0,0.2609762205944208,0.4292627614025865,2.091076733220816,2.175659418544224,0.9159538219123288,0.0,3.207044054105872,1.825546623011564,2.7223951235440222,1.884271756012971,1.8548257759630136,1.3559909209033514,2.116646769706952,0.3400417439613599,0.0,-1.69020623540795,-2.744680733250348,-1.2665560979287491,2.7982120843493146,4.009887132384321,-0.1916595480889995,-0.8946360624865584,0.3355879226496681,-1.9389453339111231,-3.703305828951064,0.0,0.4784863889511508,0.0,-2.031654732015391,0.0,-1.6158726569362942,1.3621076711592464,0.0,-2.835467480462856,3.824615362345336,0.0,-2.091842941137192,-2.25877443170924,0.0,-3.094716036419181,0.0,0.6454452230457182,0.0,0.0,-2.8540793276574545,0.0,-2.795156254660609,-1.078833103990568,-0.9214694577896227,-4.430820653015217,-1.1063885274605254,-2.522573988664579,-3.065728499545929,-5.350614015440574,-2.864246445012899,-3.055071205071941,0.0,0.0,1.4007336527957617,0.0,3.4054717421525327,0.3856752765181213,0.1911310099348777,0.0,1.508743127782109,-0.8151888634419886,-3.727238595162692,0.0,0.0,0.0,0.0,-2.45247522820675,0.0,-3.4430227306873977,-4.281677494918581,-4.056127203573807,0.0,0.0,-2.596841565000269,-3.644272297366871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31112,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1.131812706786172,0.6866082220861995,3.5948171616437663,0.0,4.962216919340029,0.0,0.0,0.9789528190976736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9306307307926196,0.0,0.0,0.0,-0.733913839914146,0.0,0.0,0.0,0.0,3.040845389757932,-0.4655338373091271,-5.400239815921775,4.227812939814303,0.0,0.3020899912204757,0.0,-1.2630108712351986,0.4479222543156949,0.0,5.093901702647496,0.0,0.0,0.5292635310629368,0.0,1.1363816529833626,0.0,0.0,0.0,-4.902401387682595,0.0,0.0,0.0,4.3048499042694885,0.0,3.881006864569782,0.0,0.0,-3.513659044924064,0.0,0.0,-2.6306798693441538,0.0,0.0,0.0,0.0,-2.640842558436356,0.0,0.0,0.0,-1.4966392768683248,1.407730771413093,0.0,0.0,0.0,-1.304552070153206,-0.2229971870643003,0.0,0.0,3.815896629546505,2.4245929821104903,3.4866442117386764,0.0,0.0,0.0,0.0,0.0,-2.2689620503715595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.761182486306516,-3.0171158604437167,0.0,-4.185039949002055,0.4576933385616848,0.0,-2.6511095890761,-2.692189614819564,-2.830339953300381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31129,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,3.0718611414711483,-0.8727701110780752,2.1317941436273378,0.0,5.291594900167819,1.368090977089519,0.0,-1.0397800874996097,4.22436777784255,0.0,2.50866345864326,2.201735076133602,1.8493698063176816,3.3300717208377035,0.0,-4.371220363782058,2.5307750434332337,0.1534702989998799,2.1254658991955484,-1.6638834294718556,0.0,0.0,1.8551894770618456,-0.5580431929905441,-4.558903863717397,0.0,3.1693415245065,2.03670036112931,1.2320028847811502,0.0,0.0,0.0,3.135612322803532,-2.041727817868088,-2.2208270861299373,1.7140705209236446,1.7362311923560396,0.0,0.0,0.9921784914432552,0.0,-2.7564491053725946,0.0,-2.7943940369367177,-1.1622328396053736,0.0,0.0,1.7463584309298994,0.0,0.9738734269449344,0.0,-0.1695653166707349,-0.1520272724200921,0.0,0.0,0.0,0.0,0.0,0.0,-0.7801542196905644,0.0,-1.5667262877180623,-2.155743881478919,0.0,0.0,-1.4599747037868105,0.0,0.0,0.0,-1.9733250909836868,1.4890629680463554,0.0,0.0,0.0,1.2400323757738971,-2.2377819663810024,0.2588771796428777,-3.119221629179445,0.0,1.461727927617807,0.0,-1.347540054487919,5.0764819967458905,2.7131808595919047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.591693686540388,-2.740617640155914,0.0,0.0,-1.443812735829812,0.0,-3.0244676229155973,-4.304011614088607,-6.511286527278328,0.0,0.0,0.0,0.0,0.0,0.0
SID31159,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1.4013116961120389,0.6657732356409398,2.560629853104526,1.49932923894114,5.611566190501032,2.7532089610534167,0.0,-1.205462128152094,4.4263369515550535,0.0,1.813659299147586,-3.44212843753961,3.286386738984367,2.2257886082363845,-2.5467443904847684,0.0650327260545386,0.3746361108844951,-1.7987889734298284,2.9131407491297967,1.316576475068708,-1.985118551621322,0.0,0.0,0.0,-0.7890078984683342,0.0,4.501712377113298,-1.1613306987304712,1.4709700617529424,-3.580598111804715,-2.719255076714464,-1.5351434788062883,1.6304558207874833,0.0,6.841377022723622,0.8479766659212613,0.0,-0.7119119409801389,-3.0599201915957126,-1.936137164581052,-1.3541031521683822,1.0972150416340614,1.41901961547795,2.827963301424813,1.3217387284205966,3.2859844510955427,-4.244474910064548,6.243728357514122,0.0,-1.3424195354598965,0.0,-3.905259187497584,0.5813742542095923,0.0,-1.2671808104813085,2.5987008212974185,0.0,0.0,-0.6471626494761011,0.0,0.0,-3.408226885863929,-1.5863693854785943,0.0,2.516830729046455,-1.795461183337153,-4.761731424160828,-2.512138861307293,0.0,2.131237656437893,6.423448646545907,0.0,0.0,-1.6318631021138472,-2.093160034032405,0.0,-0.9330900276717332,-0.679285325730342,0.0,-3.600598778511385,0.0,0.0,0.0,0.0,0.0,-1.89860930871204,0.0,0.0,0.0,0.0,0.0,-1.7740963608394562,0.0,0.0,0.0,-3.707082258913835,-2.604731648135118,0.0,0.0,0.0,0.0,0.0,-4.434518512952412,0.0,0.0,0.0,0.0
SID31188,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,3.813530913653122,-1.0695663848011852,3.2688886001993,0.0,3.2403792186452973,-1.675628753453164,0.0,2.884554205729895,3.923791928817441,2.567381823770621,3.662285948494673,3.0344725345216306,1.1084296825492834,3.503546617313614,2.35099146077562,3.024910356391434,-1.3300817316791034,-1.644220884619846,0.2501752373616603,-3.855238784088401,-2.274053384606185,0.0,1.6634038805118951,0.0,0.0370187362109291,0.674052632039525,1.8966646966605327,0.4720110522280927,0.504487463626041,-0.2280447821296296,-1.8408120674370176,-0.2043022883755783,0.0,2.8859051693411444,-0.0778089592719823,0.0,-2.8320173413869028,-2.248662103935333,1.5484515980393374,0.0,0.0,0.4840574141240139,0.0,1.7016306446540197,-0.3560292485381908,-4.520215087681651,-0.2987689030942597,0.0,-1.9409456764453648,0.3187637964391527,-2.0992298655219748,0.0,-3.8305461714980296,-0.3810565096697571,0.7450624247881863,0.0,4.180358127932003,-1.691095077216434,0.0,-0.1083431492011457,0.0,0.0,-3.291549670765343,0.7992316400409056,0.1066622289670142,-0.2508090557310916,-1.5244828141276594,0.8379095732977224,-1.5089786275916937,0.0,0.107613122199025,-1.440282096305459,-1.6724029442042814,-2.151790237192061,0.0,2.4752266875680258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4967460591560595,0.0,0.0,0.0,-0.428072021047726,0.0,0.0,-2.713521394885468,-1.5652324733012155,-1.7901859798606647,2.440639839359582,0.0,0.0,0.0,0.0,0.0,-3.672917227294447,-2.4988515001364413,0.0,0.0,0.0
SID31236,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3.909195631066571,-1.1176963558687152,3.113734579223648,0.0,3.5716405722881,3.7038258748534094,0.9273754560854668,2.03884694563507,-4.540607497754655,3.779228742870292,3.3405747044724468,0.0,2.2835076553127007,-5.708648292854528,0.0,0.4297561246207149,-0.1664624511123926,-0.9786610445526728,0.0,0.0,0.0,0.687267776962021,2.27014653823511,1.3188749785577518,0.2690950972731427,0.0,-3.631660740136258,0.3943488597872966,2.690202883175852,0.5403801768815246,0.0,-0.1824925306880731,-1.106423617096193,0.6363686811472056,3.728524504440704,0.0,0.0,0.1866184257035614,0.0,-0.547566650494766,0.0,2.756813943915395,0.0,5.4017357271128335,2.03068530065624,0.0,-0.6909789721008919,-3.762738143799214,1.5002277650630127,2.932956894423458,0.2434739650826578,0.8649771020946024,0.5972691227086431,0.0,0.141636640790675,-0.6459291672543419,0.1550942847377805,0.0,0.0,-0.9426272344693584,0.0,0.936213169707524,0.1990616004647576,0.3612739961247944,-1.9419911376979069,1.2327692935003804,-1.4498422446753143,0.0,-2.731719146263633,-0.7703728767931273,-3.4318838994822247,0.0,0.0,2.039997810603176,0.0,-5.045354075444264,0.0,-2.944675008520361,0.0,0.0,-4.147412482238305,0.0,-3.1963426688784127,-1.4114962822205406,0.0,0.0,-2.279098496601505,0.0,0.0,-1.5516051364168628,-1.9955545806199968,0.0,-2.096671058077344,0.0,0.0,-2.610501013872467,0.0,0.4224076791075248,-0.9864796926704706,0.9773839939687456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4.2459633122818685,-0.0483004693136992,3.0719917366746774,-1.3333557795069866,4.571064820769408,3.806596186122367,-2.040482894624464,-1.1947432737422743,5.4919005009792965,4.402253946879365,2.488084769058209,1.9308367154365864,1.482184329928394,5.009918447035309,0.0,-3.678481016325292,2.741217055075884,1.7192164016783664,3.368971188696626,-3.388465220527291,0.0,0.0,2.7683359609386664,1.375798454410604,2.461755955263509,0.0,-2.02426632303522,3.076232002573305,2.084936035514469,-4.637737784082891,-3.0161785111164456,-1.945255287794052,-3.424056165629994,2.032564736374353,3.076482472205172,3.061927866795738,-4.353109149118,-2.095559809033832,0.0,0.7445731992111593,-4.131802145611092,0.6441031246461144,-4.308258582952648,-1.951883315372465,-1.7068692878085483,-4.020576510500868,-1.6958695004195516,-0.0005254977048672,-4.870069761451507,-0.8593855538148616,0.0,1.730365727261277,1.265828074530927,3.821014679571173,-3.052992484239162,0.0,0.0,-0.7075873940621884,0.0,0.0,0.0,0.7059376150551591,0.0,0.0,-1.5845422651060397,0.4443480635312098,0.0,0.0,0.0,-1.0775235329423043,-3.2453643768866187,-3.531028285182162,0.0,0.6945685286957952,-1.752800822172683,-2.980671822659536,0.0,0.0,0.0,2.285038262543335,-1.5759437598508073,0.0,4.723073684048453,-2.356102317400383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1816991182957426,0.0,0.0,2.5539670002252297,0.0,-3.1095628357275564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31267,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4.380147957751334,-0.21533754489821,3.070512586599398,-3.077194132486353,4.1288753949656805,3.2537317864051056,0.0,0.1421635040028281,3.53415727108698,2.988234843156517,3.390354915425833,2.068066333349938,2.1075149916099334,2.398311154335893,3.527460763051838,-0.2341076475802004,0.321935708811446,2.047322927281289,1.2849722140207311,-1.2255865569521085,0.0,0.5817228234539684,3.221343720656845,0.0,1.0075809787195966,0.0915653480192524,-3.387505543068894,2.211967853932855,2.357166529456207,-0.1673160274797198,0.3064665552941044,-0.9813220494104216,0.4949774392841011,-0.7799589530204867,-0.1469876716422029,-1.6831843451806017,0.9435366202951516,-2.7839338434675165,0.8570584404523598,-1.3947553271677626,-3.8967674448587015,0.5684669555193711,0.0,5.632266118199553,-0.4166096717852383,0.0,0.4034897317492465,0.0,0.9433204541551916,2.0303252338910296,0.4547194378497381,-0.6478778241868497,-0.6089195820539,0.0,-0.7935480123066827,-1.3915604362712433,-1.0557719603604308,-0.6660865745407389,0.0,-1.9475146743067,-4.123824895494048,-1.4073138564151586,0.8416215849156121,0.4079836461033004,-1.4527234805229885,-0.1524237194876403,-3.4706830495478016,-1.7047648115036345,-1.5941823518646565,-3.8584485805565656,-2.184237212178222,-5.283061805978592,-1.542420417306067,0.5849100771481475,0.0,1.979972130087332,0.0,3.6021693376733035,0.0,0.5656323717222445,-2.3712207820779883,0.0,0.0,0.0,0.0,0.0,-1.575222604201536,0.0,0.0,-2.13810166406056,-2.24750803823793,0.0,0.0,-1.1357196733061032,-2.813903513158732,0.0,0.0,-2.1744194615100927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
