Sample,PA_Faecalibacterium prausnitzii,PA_Streptococcus salivarius,PA_Anaerostipes hadrus,PA_Bacteroides stercoris,PA_Collinsella aerofaciens,PA_Bifidobacterium longum,PA_Phocaeicola plebeius,PA_Phocaeicola vulgatus,PA_Dorea longicatena,PA_Eubacterium sp. CAG:251,PA_Fusicatenibacter saccharivorans,PA_Coprococcus comes,PA_[Ruminococcus] torques,PA_Anaerobutyricum hallii,PA_Holdemanella biformis,PA_Bacteroides uniformis,PA_Blautia wexlerae,PA_Gemmiger formicilis,PA_Dorea formicigenerans,PA_Streptococcus parasanguinis,PA_Coprococcus eutactus,PA_[Ruminococcus] lactaris,PA_Coprococcus catus,PA_Roseburia intestinalis,PA_Roseburia inulinivorans,PA_Phascolarctobacterium succinatutens,PA_[Eubacterium] rectale,PA_Blautia obeum,PA_Agathobaculum butyriciproducens,PA_Bacteroides xylanisolvens,PA_Bacteroides ovatus,PA_Bacteroides thetaiotaomicron,PA_Streptococcus thermophilus,PA_Eubacterium ramulus,PA_Bifidobacterium adolescentis,PA_Eubacterium sp. CAG:274,PA_Eubacterium ventriosum,PA_Flavonifractor plautii,PA_Oscillibacter sp. 57_20,PA_Roseburia hominis,PA_Alistipes finegoldii,PA_Alistipes putredinis,PA_Veillonella atypica,PA_Ruminococcus bromii,PA_Firmicutes bacterium CAG:83,PA_Veillonella parvula,PA_Lachnospira eligens,PA_[Ruminococcus] gnavus,PA_Bacteroides eggerthii,PA_Roseburia faecis,PA_Phocaeicola coprocola,PA_Adlercreutzia equolifaciens,PA_Gordonibacter pamelaeae,PA_Eubacterium sp. CAG:180,PA_Parabacteroides merdae,PA_Phocaeicola dorei,PA_[Eubacterium] siraeum,PA_Barnesiella intestinihominis,PA_Methanobrevibacter smithii,PA_Firmicutes bacterium CAG:145,PA_Bacteroides cellulosilyticus,PA_Adlercreutzia equolifaciens_1,PA_Ruminococcus bicirculans,PA_Firmicutes bacterium CAG:110,PA_Parabacteroides distasonis,PA_Ruthenibacterium lactatiformans,PA_Odoribacter splanchnicus,PA_Oscillibacter sp. CAG:241,PA_Alistipes shahii,PA_Eggerthella lenta,PA_Escherichia coli,PA_Butyricimonas virosa,PA_Bacteroides sp. CAG:144,PA_Intestinibacter bartlettii,PA_Erysipelatoclostridium ramosum,PA_Slackia isoflavoniconvertens,PA_Clostridium sp. CAG:58,PA_Akkermansia muciniphila,PA_Bacteroides intestinalis,PA_Bifidobacterium pseudocatenulatum,PA_Eubacterium sp. CAG:38,PA_Bacteroides fragilis,PA_Bifidobacterium bifidum,PA_Blautia sp. CAG:257,PA_Parasutterella excrementihominis,PA_Proteobacteria bacterium CAG:139,PA_Lawsonibacter asaccharolyticus,PA_Coprobacter fastidiosus,PA_Alistipes inops,PA_Bacteroides finegoldii,PA_Paraprevotella xylaniphila,PA_Dialister invisus,PA_Enterocloster bolteae,PA_Bacteroides caccae,PA_Desulfovibrio piger,PA_Lachnospira pectinoschiza,PA_Prevotella copri,PA_Phocaeicola massiliensis,PA_Megamonas funiformis,PA_Phascolarctobacterium faecium,PA_Acidaminococcus intestini,PA_Anaerotignum lactatifermentans,PA_Bacteroides salyersiae,PA_Parvimonas micra,PA_Klebsiella pneumoniae,PA_Klebsiella variicola,PA_Klebsiella quasipneumoniae,rCLR_Faecalibacterium prausnitzii,rCLR_Streptococcus salivarius,rCLR_Anaerostipes hadrus,rCLR_Bacteroides stercoris,rCLR_Collinsella aerofaciens,rCLR_Bifidobacterium longum,rCLR_Phocaeicola plebeius,rCLR_Phocaeicola vulgatus,rCLR_Dorea longicatena,rCLR_Eubacterium sp. CAG:251,rCLR_Fusicatenibacter saccharivorans,rCLR_Coprococcus comes,rCLR_[Ruminococcus] torques,rCLR_Anaerobutyricum hallii,rCLR_Holdemanella biformis,rCLR_Bacteroides uniformis,rCLR_Blautia wexlerae,rCLR_Gemmiger formicilis,rCLR_Dorea formicigenerans,rCLR_Streptococcus parasanguinis,rCLR_Coprococcus eutactus,rCLR_[Ruminococcus] lactaris,rCLR_Coprococcus catus,rCLR_Roseburia intestinalis,rCLR_Roseburia inulinivorans,rCLR_Phascolarctobacterium succinatutens,rCLR_[Eubacterium] rectale,rCLR_Blautia obeum,rCLR_Agathobaculum butyriciproducens,rCLR_Bacteroides xylanisolvens,rCLR_Bacteroides ovatus,rCLR_Bacteroides thetaiotaomicron,rCLR_Streptococcus thermophilus,rCLR_Eubacterium ramulus,rCLR_Bifidobacterium adolescentis,rCLR_Eubacterium sp. CAG:274,rCLR_Eubacterium ventriosum,rCLR_Flavonifractor plautii,rCLR_Oscillibacter sp. 57_20,rCLR_Roseburia hominis,rCLR_Alistipes finegoldii,rCLR_Alistipes putredinis,rCLR_Veillonella atypica,rCLR_Ruminococcus bromii,rCLR_Firmicutes bacterium CAG:83,rCLR_Veillonella parvula,rCLR_Lachnospira eligens,rCLR_[Ruminococcus] gnavus,rCLR_Bacteroides eggerthii,rCLR_Roseburia faecis,rCLR_Phocaeicola coprocola,rCLR_Adlercreutzia equolifaciens,rCLR_Gordonibacter pamelaeae,rCLR_Eubacterium sp. CAG:180,rCLR_Parabacteroides merdae,rCLR_Phocaeicola dorei,rCLR_[Eubacterium] siraeum,rCLR_Barnesiella intestinihominis,rCLR_Methanobrevibacter smithii,rCLR_Firmicutes bacterium CAG:145,rCLR_Bacteroides cellulosilyticus,rCLR_Adlercreutzia equolifaciens_1,rCLR_Ruminococcus bicirculans,rCLR_Firmicutes bacterium CAG:110,rCLR_Parabacteroides distasonis,rCLR_Ruthenibacterium lactatiformans,rCLR_Odoribacter splanchnicus,rCLR_Oscillibacter sp. CAG:241,rCLR_Alistipes shahii,rCLR_Eggerthella lenta,rCLR_Escherichia coli,rCLR_Butyricimonas virosa,rCLR_Bacteroides sp. CAG:144,rCLR_Intestinibacter bartlettii,rCLR_Erysipelatoclostridium ramosum,rCLR_Slackia isoflavoniconvertens,rCLR_Clostridium sp. CAG:58,rCLR_Akkermansia muciniphila,rCLR_Bacteroides intestinalis,rCLR_Bifidobacterium pseudocatenulatum,rCLR_Eubacterium sp. CAG:38,rCLR_Bacteroides fragilis,rCLR_Bifidobacterium bifidum,rCLR_Blautia sp. CAG:257,rCLR_Parasutterella excrementihominis,rCLR_Proteobacteria bacterium CAG:139,rCLR_Lawsonibacter asaccharolyticus,rCLR_Coprobacter fastidiosus,rCLR_Alistipes inops,rCLR_Bacteroides finegoldii,rCLR_Paraprevotella xylaniphila,rCLR_Dialister invisus,rCLR_Enterocloster bolteae,rCLR_Bacteroides caccae,rCLR_Desulfovibrio piger,rCLR_Lachnospira pectinoschiza,rCLR_Prevotella copri,rCLR_Phocaeicola massiliensis,rCLR_Megamonas funiformis,rCLR_Phascolarctobacterium faecium,rCLR_Acidaminococcus intestini,rCLR_Anaerotignum lactatifermentans,rCLR_Bacteroides salyersiae,rCLR_Parvimonas micra,rCLR_Klebsiella pneumoniae,rCLR_Klebsiella variicola,rCLR_Klebsiella quasipneumoniae
SID31021,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1494811521416244,-0.4006002194292157,3.454173063438015,-3.089574190404644,2.326503783737784,2.771319853260363,0.0,0.7698887277111803,1.5870595997914787,2.2036418771109085,1.0850847641314856,2.104872065675935,2.5302780185932434,2.438505648673813,0.0,0.0,1.1137115173017418,1.7880534234792718,0.9140515419799102,-1.6974097914649575,0.0,-6.7047061842956985,0.9470082037959864,1.638765860545755,0.8762008168594839,0.0,3.501353977445193,1.7301442605509778,1.0252351698212552,0.0,-1.9316409212238763,-2.268324540818978,1.3889661200877776,-1.5474484767929766,3.2024714265930765,0.0,-1.147516218979207,-2.1325758523858074,-2.1900763219841792,1.223485855027317,1.4007522859987789,1.2431491122868796,-5.05244827467867,3.3969096299096257,3.240851084032653,-3.3537062065004566,-1.0120267879841622,-4.240852943705531,0.0,0.5326225896164943,0.1909132523419152,1.53754839081612,1.2658614792233602,0.0,0.0,0.0,2.016880876596882,0.3473929155108073,0.0,1.602244256472179,0.0,0.8723997454288966,1.416839176459875,0.0,0.0,0.8384512923496132,-1.5290862530587657,0.0,-1.046095428286219,-1.239418871239396,0.0,0.0,0.0,-2.466531877479114,-1.886190289473509,-6.559524174451201,0.3363226415716049,3.6013683802672976,1.6670637572425036,0.8354339486365786,-0.8927234797892949,-0.9274409328796944,-1.531562377422589,-2.075758438396611,-2.426738828921672,-2.672680386472856,-3.480842817916459,-4.609760456079898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31160,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.347970220334199,-0.4548858665817339,4.474644063918858,0.0,3.345861508851395,0.0,0.2155279749339509,0.7706990389657653,3.40960577285085,-0.5996376129139298,3.609179980575973,3.262221160598598,-0.8722750206785315,3.772906677677661,-1.071735293091033,1.287989985359545,1.5767431707741837,1.8539554368178948,1.6958395133380326,-1.1216288729451684,0.998251374633902,0.0,-4.320397798879156,-0.2656370830278685,0.3025938577756359,2.792759602335368,0.0,1.7296456446200137,1.9757426879902336,0.0,0.0,-3.2633250286523703,-1.0299658802147382,0.0467296598648998,-4.861408398983545,0.0,-3.846879227525976,0.0,0.2136141951395269,-0.1478178672669208,0.0,0.0,-4.144355697570045,4.248112207774774,0.4323421036852408,0.0,0.0,0.0,0.0,2.1808989209392102,0.0,0.6547481529905712,-2.685008476412043,3.016921108565353,0.0,-3.0496881871929515,0.2300633323645791,0.0,2.054091010215892,0.0,0.0,0.6891727658395899,0.0,1.6763695648199812,-1.7877448263526223,-1.127971998489972,-5.447583459991322,-0.8504162268660327,-1.6017621938303064,0.0,0.0,0.0,0.0,0.0,0.0,2.8077102864483363,0.0,0.0,0.2745323429314117,-6.185182403122102,-1.6132870060188824,0.0,0.0,0.0,0.0,0.0,-5.364201851052271,0.0,0.0,-1.655846620437678,-2.8508157299424024,0.0,0.0,0.0,0.0,0.2720153041081636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31219,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.592628450553105,-0.8252337848948013,2.075290693754022,0.2098878863023815,2.223231832444797,2.662099035232541,0.0,0.3962616790227764,1.9608097012290584,0.0,1.8912499845739696,2.109451106945886,1.304283454731622,0.677168558019618,0.0,1.3094429945124997,0.7807374008689566,1.547947938729261,0.1697178579250824,-1.6465029609377049,2.275166308340033,0.6097143887493459,0.7282415333038491,-1.6895856571199517,0.97013962834147,0.0,0.8970592074441294,-0.1024057402634048,0.6586965126304116,0.0,0.0,-0.3949333703487088,-0.0993289075745378,-0.2458784866557961,0.0,-0.3260781322955643,0.0,0.0,-1.8085142740993057,0.8100104256787142,-3.5949634089099964,0.596525285797372,0.0,3.6506732424913206,1.5212865889923428,0.0,0.8860566924721665,0.0,0.0,-2.7496536207481794,0.0,0.6684574833560379,-0.5952668090540967,0.0,0.0,0.0,-0.8187813490574065,-1.0187720036909025,-0.1434165743649973,0.0,0.0,0.2580746426208923,1.401047090918218,-0.3294086932427289,-0.5233372712701365,-0.3272123050382158,-3.249171703538707,1.054674946405231,-3.099952347547635,0.0,3.92080620060329,0.0,-6.3050016822375925,0.0,0.0,0.8163472146477706,0.0,0.0,0.0,-5.546849671368651,-2.53929939443713,-1.4887001013832954,0.0,0.0,-2.005181163369696,0.0,-5.642159851172977,0.0,0.0,0.0,0.0,2.071714087028268,0.0,0.4106892099556887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31223,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2.5125756924591167,-2.9234594820765145,3.041437754351145,0.0,3.395227548561164,2.532120824384237,-0.5288783447190202,1.3432885605247908,-2.4439689338990225,0.0,1.1962115536035958,-3.4852439978192424,0.6520358259203991,0.2403395614419836,-1.6025127503854604,0.8196832882821381,-0.0012487641971312,1.0401392735120385,0.3057612626340789,0.0,0.0,-0.6410063600343934,1.990481659368729,-1.3974785336924611,-2.426947246329592,2.439458687031784,-0.0571570956320344,1.105074809024482,-1.4103721518294714,-0.5888116153113865,-1.257421755849736,-0.0299154071724303,-1.111399101225469,-3.538298560775132,2.245723840764396,0.0,-3.874129977124496,0.0,1.3832953251838869,-0.6346604899814903,-2.1012318742818183,0.6281181726046221,0.0,-0.1166912283146057,0.7503151316620416,0.0,2.349211177362961,-3.3049508392866804,0.0,-0.684004312926715,0.0,-1.5960581406087808,-3.628812568315964,3.371473913069969,0.3462346543754315,1.1203212469009864,-1.0917796378365208,1.795132229672327,5.133468297919634,0.0,0.0,-1.2029236449580951,0.0,0.979545513384831,0.4273867256464467,0.3342370292711885,0.3915769565260325,1.143981040906091,-0.6127618046738528,0.0,1.3581290293117232,-0.9170266635930896,0.0,0.0,0.0,0.9510578032281574,0.0,1.0639185512302198,0.0,-1.0539262417505793,0.0,0.0,0.0,-1.9372288980115484,0.0,0.0,-0.0786911746703724,-1.4877149452130305,-1.4188045513540692,0.0,-2.8629368126484027,0.0,0.0,0.9811880376493376,0.1069337312326097,0.8031731377323319,1.6798892887759926,0.0,0.0,0.0,0.0,0.0,0.0,0.090306770987691,0.0,0.0,0.0
SID31300,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9589468805668697,-0.2635769873822404,2.674994964952246,1.2160079336979657,1.643849623469224,2.083971964712279,0.0,2.015639464865152,1.2509894730304711,0.0,0.8411175498678919,1.215925882415868,-0.3368483457229294,1.437048849373202,0.0,1.488807075458036,-0.8113824780805237,0.1189533415940558,0.245344533333123,-1.340485318309122,0.0,-0.271934337810799,0.1985460170202923,-0.5420781030780524,-1.292576910655686,1.1925397516918372,0.0,-0.2628566819416031,0.4172814190985769,-0.4013791134499693,0.0,-1.5682667895515574,1.230337008814253,-0.1526225490003525,0.795559956110515,0.5437278278341129,-1.3875846863450103,0.0,0.8655376216424249,2.356769855040242,-1.5137313135001964,2.3327569089545457,-0.0828840318238512,3.242069340239295,-0.2770336021838582,-0.1928226859462409,-1.3805143961762307,-3.121409989491631,0.0,2.8853713684451248,0.0,0.0808821272581972,-1.2085946151420592,0.0,0.0,0.0,-3.491718840615217,-0.1392343533806053,1.4582524369492476,0.0,0.0,-0.305554053794822,0.0,0.4393756871273185,-0.6721272647801004,-0.5446994614887695,-0.5641680794772992,1.477267096588888,-1.0901114579654068,0.0,0.0,-5.698993753804938,0.0,0.3131238124381158,0.0,2.288541954870472,0.0,-2.416406195775161,0.0,0.0,-2.1612735904187383,-1.444025997249962,0.0,0.0,-2.014877692771459,0.0,-1.829860995961107,-2.6098313536418662,0.0,0.0,0.0,0.0,0.0,0.0819282992575199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31367,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,2.332253730564766,2.937259258892205,1.4526915108719778,-1.8692840391264,3.404979646912892,2.0098256570775384,0.0,1.6534556697374332,2.5263736678476585,0.0,1.951759555450176,0.1505341602332377,0.6821488033342069,1.828725469987996,0.0,1.4179742008283285,4.3784763246869485,1.0781966607221034,1.4783835580348037,1.9084491128581225,0.0,0.1977252429704949,-1.4041900381313832,0.0,-2.026109709402961,0.0,0.7094745918925687,1.0934981138065707,-0.8994229990370988,-0.9711445828410464,-0.4792123154437591,-0.6955042541436591,0.3626530798321368,-2.8315860749368262,1.24409274263058,0.3430625859973664,0.2049122475165492,-1.5522074397415686,0.0,-1.1257789971075356,-0.1303969642145612,2.0523101134535064,-2.014716525573518,1.811099946946516,-0.2034102455091018,-0.1514270696360156,-2.145456467035527,1.4713128373771611,1.2088034931628635,0.5051038651358639,0.0,-0.2193590056891725,0.6908589372064959,1.948379358603312,0.1953557073060974,0.0,-0.523653997217,0.6763694466497936,0.2325017264066233,0.6554111238618077,-4.815505549959124,-0.3196585227988633,0.0,0.0,0.0706292817501728,2.2088870992391025,-1.3195117311188924,0.0,-1.7486358135437037,1.0933600589985928,6.86871108615122,-1.533575355609222,0.0,-3.233560778105222,1.5211101696359104,-1.6509606346078811,0.0,1.634482789578898,-1.2851649205863351,-1.719851251378245,-1.9422282254222587,-1.893620526356882,0.4580153850502189,-1.0336298391712595,-5.086380504094524,0.0,-2.245354620301513,-3.1993108550621434,-2.426898269627223,0.0,-3.1030828229675897,-2.474678057928632,-3.817869178631016,-0.6944035385674736,0.0,-1.876433309970624,1.9633179116071275,-1.5450991707161563,-2.984960055695912,0.0,0.2558474157951171,0.0,0.0,0.0,3.7984513098894217,2.92641819130289,1.5995914092124717
SID31428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2.4237081176375947,-0.1532610185150491,6.796102806061997,-3.133445540457737,-2.8645257444614782,-3.73094464629546,-3.652983104825749,-4.333707765387137,3.2827702931457288,-3.3076219207872897,4.133924223945577,2.7465265526537848,3.746961465240152,1.6896800404161594,0.0,0.0,4.066291105934588,-1.4433360074909722,1.8863177311648287,-1.2254187093047242,0.0,1.250113376920238,1.9783182787160296,2.2773703740449207,1.6032093354216168,0.0,4.074893357074302,3.293716406784759,0.8754410169170266,-6.330261647261205,-5.83778516216341,0.0,-3.891875013108098,2.203699267756058,-5.117239007415352,0.0,-0.7003540716892638,0.4158299513665859,0.0,-0.3050546520429336,-5.32695953839742,-2.7267420420984254,0.0,5.073823517242928,0.0,0.0,0.0,0.1499223360668589,0.0,2.5399288246813456,0.0,-0.4055198231056356,0.5695530980535142,0.0,0.0,0.0,-0.5344802541043352,0.0,0.0,-0.6013431993334617,0.0,-0.8993223924714866,-0.1401325478827466,0.0,0.0,0.6439621074792323,0.0,0.0,0.0,2.534497857457018,0.0,0.0,0.0,0.0,2.0918413401542564,0.0,0.2166541841059595,4.989494913317195,0.0,0.0,0.0,0.0,0.0,-2.4839900193958395,0.0,0.0,-1.944831719455616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5183044387583036,-1.0976956582759487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31446,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,3.0486067416288254,0.0285798944958024,2.727851622679452,0.0,1.5384119872712545,-0.3481949370598964,-2.567045383429644,5.053557164301448,2.743541202133754,0.0,1.138715605206568,2.070285903884342,4.78944671723056,0.554734522974913,3.4307031032368727,-3.6599433708343145,1.4359892648637156,1.843788665469856,1.743324170783107,2.0068972735229407,0.0,2.016615275210792,0.8940234852303237,0.0,1.7548139329192989,0.0,1.4073109915123727,1.3193217949496585,1.5644698160736314,-0.895938392285925,-0.1779584351435079,3.1415329588297687,1.7393145010918818,0.7536661275354011,-2.2686756424473664,2.5274077186308643,-2.0053850231197448,1.867788442091988,0.0,1.0960018404950151,-1.5264346078842028,2.463030404618841,-0.2431044755184015,-1.4899946702016391,-3.2162807918782,1.1869320699552683,1.3246189662216328,-0.895938392285925,0.0,-2.668487025248303,0.0,-4.05689778927457,-0.638893289296034,-4.1500915661725175,-5.23027015315179,0.0,-1.3259479558568217,0.0,-4.946018615796798,0.0,0.0,-3.591140450910286,0.3800543066616328,0.0,3.726430388303162,2.519973002327744,-0.5060392093292851,-4.212461896898976,-3.86124737854056,1.043304464749811,4.212019814374052,0.0,0.0,-2.962531791487912,0.0,-4.13165786448368,0.6563664609563691,-2.7626350898724503,0.0,0.0,0.0,3.3448739842387507,0.0,-3.070259172156004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053339418148716,-3.56489222483535,0.0,-0.9118692143581192,-1.8686588481836983,0.0,0.0,0.0,-0.8953997442793649,0.0,0.0,0.0,-0.4386772426255285,0.0,0.0
SID31452,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2.1882858998774,0.8548104463459376,1.1277984626725568,0.0,1.4248450916247846,3.037047613454217,0.0,0.3812645798777626,0.5860004804849073,2.7115117795253507,1.2192560209705077,1.034701674844524,-0.5035250727805693,2.201253323879388,-1.1841108666230045,0.9196964295468024,-2.871151345211798,0.2731289553097029,0.5925520168907052,-1.1635944201621218,3.842102562670932,0.0,0.6276600410592406,0.3686427724657005,-0.9931801172834916,0.0,1.425856188498163,-0.0937782940682487,2.13102001279905,0.2209593942113992,0.0,-1.1202310598706569,-0.4164508812653014,0.4627093245982313,2.313458056190938,0.0,0.2200879834547711,-1.5558519468283911,0.3339669104602801,-0.372722670091824,-2.1693781099320857,1.3608813359405874,0.0,3.963363635345436,1.192391584193833,-4.40092742980938,2.0237424541022504,-1.9110332385103408,0.0,-4.64938878910788,-1.7942246436152778,-0.3829497995269455,-1.568722997895244,2.2365627407896613,0.3338414257755213,0.0,1.936044940395396,0.6040155030201669,0.0,0.0,0.0,-0.6281664917147414,1.9867932863214568,1.518265918781373,-1.1573311181748358,0.3114045057830907,-1.823528419356922,-3.005390201608312,-1.3350030041929553,-1.5209267261787025,-3.225354100005142,0.0,0.0,-1.0014458049307278,0.0,-0.6188829522375068,0.0,2.78151586332908,0.0,0.0,0.0,-0.0786507995412721,1.580436275119173,-4.975656855554851,0.0,0.0,-2.961769579132421,0.0,-0.150515658129819,0.0,0.0,0.0,0.0,0.0,0.0,0.8841309956088803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175119071191014,-1.3177077021322732,-3.4355744619371524
SID31537,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.8815622917964447,3.8864099734959217,4.596552274778907,0.0,1.716613446505372,3.984787553854742,0.0,-4.355746192146523,0.0,0.0,1.018182098190041,2.549193698775926,-0.975334778244202,4.180325950809035,0.0,-0.1029337520098678,-5.031895796337897,0.0,0.0,1.3290184900072268,0.0,0.0,0.0,0.2514219965042417,0.0,0.0,-0.6579069966611146,1.7865369589725733,1.3755588011894098,-1.5849447804808374,-2.2698966541713563,0.0,1.891743890750262,0.6228380537845775,3.600630490757773,0.0,1.6469126077210388,-6.630160408173872,-2.951050745655741,1.741942783053738,-2.4155667178001945,0.0440501926031753,-2.3381800541847744,5.265557289049795,1.5332900441227442,-3.648414376594621,0.1605615540424274,-2.006822918230332,0.0,0.0,0.0,1.7458787612627416,1.864832617479712,0.0,0.0,0.7594721726183629,0.7365305309869665,-0.736676269426094,0.0,0.0359478479294954,0.0,1.170844403535722,0.0,0.0,-1.197409278482302,0.9869160989672344,-3.0466414697177626,1.8640598023486243,0.0,1.3881357303416482,0.0,0.0,0.0,-3.5672888317822524,0.3330821359703637,-5.442994722164317,-0.8363002747243624,4.357702455398716,0.0,0.0,-1.41251094469329,0.0,0.0,-2.2928696673413818,0.0,0.0,0.0,0.0,-2.840932980225654,0.4566704242883719,0.0,0.1777745355260538,0.0,0.0,0.0,0.0,-1.945460466562476,0.0,0.0,0.0,0.0,-2.653598881608155,0.0,0.0,0.0,0.0,0.0
