AUC,AUPRC,F1,TP,FP,TN,FN,Study,Model,Algorithm
0.99625,0.9961122290454768,0.975609756097561,40,2,38,0,ThomasAM_2019_c,Model_A,RandomForest
0.8244871794871793,0.8323598908705064,0.7289719626168224,39,8,57,21,WirbelJ_2018,Model_A,RandomForest
0.8335835835835838,0.8735763298748406,0.7712418300653595,59,20,34,15,YuJ_2015,Model_A,RandomForest
0.6865754437869822,0.7154302045028076,0.6407766990291263,33,18,34,19,VogtmannE_2016,Model_A,RandomForest
0.7216560116124648,0.7452794405959702,0.6313645621181263,155,78,173,103,YachidaS_2019,Model_A,RandomForest
0.8180803571428571,0.8640043607387994,0.6909090909090909,19,4,24,13,ThomasAM_2018b,Model_A,RandomForest
0.690844416950201,0.617298421237792,0.6870229007633588,45,33,28,8,ZellerG_2014,Model_A,RandomForest
0.7508909479686385,0.7157325265396384,0.6851851851851852,37,25,36,9,FengQ_2015,Model_A,RandomForest
0.6982758620689655,0.7257653692918103,0.7575757575757576,25,12,12,4,ThomasAM_2018a,Model_A,RandomForest
0.498015873015873,0.5177354735003239,0.21621621621621623,4,6,22,23,HanniganGD_2017,Model_A,RandomForest
0.8981250000000001,0.9154234253516221,0.8192771084337349,34,9,31,6,ThomasAM_2019_c,Model_A,LASSO
0.7438461538461539,0.7938124370149732,0.6890756302521008,41,18,47,19,WirbelJ_2018,Model_A,LASSO
0.7730230230230231,0.8485060311085285,0.7142857142857143,50,16,38,24,YuJ_2015,Model_A,LASSO
0.5894970414201184,0.6163899473269219,0.5663716814159292,32,29,23,20,VogtmannE_2016,Model_A,LASSO
0.6523672750857037,0.6761306209328208,0.6172344689378757,154,87,164,104,YachidaS_2019,Model_A,LASSO
0.703125,0.7502152639386062,0.56,14,4,24,18,ThomasAM_2018b,Model_A,LASSO
0.7819362820909372,0.7708246465483568,0.7543859649122807,43,18,43,10,ZellerG_2014,Model_A,LASSO
0.751247327156094,0.7270751122560215,0.6,27,17,44,19,FengQ_2015,Model_A,LASSO
0.764367816091954,0.790816693791454,0.7457627118644068,22,8,16,7,ThomasAM_2018a,Model_A,LASSO
0.544973544973545,0.5337550669669169,0.2631578947368421,5,6,22,22,HanniganGD_2017,Model_A,LASSO
0.998015873015873,0.997835497835498,0.9545454545454546,21,2,22,0,ThomasAM_2019_c,Model_B,RandomForest
0.8344594594594594,0.8628903043330033,0.7714285714285715,27,7,30,9,WirbelJ_2018,Model_B,RandomForest
0.8289141414141414,0.8626594850569548,0.8118811881188119,41,12,21,7,YuJ_2015,Model_B,RandomForest
0.6552227903579255,0.6736297387260906,0.6428571428571429,27,20,17,10,VogtmannE_2016,Model_B,RandomForest
0.7560970040189988,0.7908253343157912,0.6529209621993127,95,35,101,66,YachidaS_2019,Model_B,RandomForest
0.8586956521739131,0.9264901402542258,0.8205128205128205,16,0,16,7,ThomasAM_2018b,Model_B,RandomForest
0.769088669950739,0.6856876464926813,0.7777777777777778,28,15,13,1,ZellerG_2014,Model_B,RandomForest
0.7782738095238095,0.7683060362535963,0.7058823529411765,24,16,20,4,FengQ_2015,Model_B,RandomForest
0.6856187290969898,0.8071862043442259,0.76,19,8,5,4,ThomasAM_2018a,Model_B,RandomForest
0.5886363636363636,0.7239976510997936,0.25,3,1,10,17,HanniganGD_2017,Model_B,RandomForest
0.9642857142857143,0.9712852733686068,0.926829268292683,19,1,23,2,ThomasAM_2019_c,Model_B,LASSO
0.743993993993994,0.7633584240843451,0.6933333333333334,26,13,24,10,WirbelJ_2018,Model_B,LASSO
0.76010101010101,0.8214981196425369,0.6172839506172839,25,8,25,23,YuJ_2015,Model_B,LASSO
0.6274653031409788,0.6612199212417906,0.6075949367088608,24,18,19,13,VogtmannE_2016,Model_B,LASSO
0.6392948483741323,0.6598659748290306,0.4962962962962963,67,42,94,94,YachidaS_2019,Model_B,LASSO
0.7282608695652174,0.8205241497325764,0.65,13,4,12,10,ThomasAM_2018b,Model_B,LASSO
0.7992610837438424,0.8005782181046578,0.746268656716418,25,13,15,4,ZellerG_2014,Model_B,LASSO
0.7430555555555556,0.7276466724231232,0.6071428571428571,17,11,25,11,FengQ_2015,Model_B,LASSO
0.8394648829431438,0.9088883713192688,0.7619047619047619,16,3,10,7,ThomasAM_2018a,Model_B,LASSO
0.4954545454545455,0.6669893879553412,0.4,6,4,7,14,HanniganGD_2017,Model_B,LASSO
1.0,0.9999999999999998,0.9444444444444444,17,0,16,2,ThomasAM_2019_c,Model_C,RandomForest
0.7998511904761905,0.7973739348739348,0.5641025641025641,11,4,24,13,WirbelJ_2018,Model_C,RandomForest
0.8699633699633699,0.8968333575795595,0.7346938775510204,18,5,16,8,YuJ_2015,Model_C,RandomForest
0.6644444444444444,0.670408709892714,0.6,9,6,9,6,VogtmannE_2016,Model_C,RandomForest
0.6291349170775437,0.6134184881764391,0.48,42,36,79,55,YachidaS_2019,Model_C,RandomForest
0.6944444444444444,0.6642505699781243,0.18181818181818182,1,1,11,8,ThomasAM_2018b,Model_C,RandomForest
0.6767676767676767,0.6460668115878782,0.6101694915254238,18,17,16,6,ZellerG_2014,Model_C,RandomForest
0.5988888888888888,0.5590142305229359,0.55,11,11,14,7,FengQ_2015,Model_C,RandomForest
