Study,AUC,AUPRC,F1,TP,FP,TN,FN
FengQ_2015,0.751247327156094,0.7270751122560215,0.6,27,17,44,19
HanniganGD_2017,0.544973544973545,0.5337550669669169,0.2631578947368421,5,6,22,22
ThomasAM_2018a,0.764367816091954,0.790816693791454,0.7457627118644068,22,8,16,7
ThomasAM_2018b,0.703125,0.7502152639386062,0.56,14,4,24,18
ThomasAM_2019_c,0.8981250000000001,0.915423425351622,0.8192771084337349,34,9,31,6
VogtmannE_2016,0.5894970414201184,0.6163899473269219,0.5663716814159292,32,29,23,20
WirbelJ_2018,0.7438461538461539,0.7938124370149732,0.6890756302521008,41,18,47,19
YachidaS_2019,0.6523672750857037,0.6761306209328208,0.6172344689378757,154,87,164,104
YuJ_2015,0.7730230230230231,0.8485060311085285,0.7142857142857143,50,16,38,24
ZellerG_2014,0.7819362820909372,0.7708246465483568,0.7543859649122807,43,18,43,10
