Study,AUC,AUPRC,F1,TP,FP,TN,FN
FengQ_2015,0.7782738095238095,0.7683060362535963,0.7058823529411765,24,16,20,4
HanniganGD_2017,0.5886363636363636,0.7239976510997936,0.25,3,1,10,17
ThomasAM_2018a,0.6856187290969898,0.8071862043442259,0.76,19,8,5,4
ThomasAM_2018b,0.8586956521739131,0.9264901402542258,0.8205128205128205,16,0,16,7
ThomasAM_2019_c,0.998015873015873,0.997835497835498,0.9545454545454546,21,2,22,0
VogtmannE_2016,0.6552227903579255,0.6736297387260906,0.6428571428571429,27,20,17,10
WirbelJ_2018,0.8344594594594594,0.8628903043330033,0.7714285714285715,27,7,30,9
YachidaS_2019,0.7560970040189988,0.7908253343157912,0.6529209621993127,95,35,101,66
YuJ_2015,0.8289141414141414,0.8626594850569548,0.8118811881188119,41,12,21,7
ZellerG_2014,0.769088669950739,0.6856876464926813,0.7777777777777778,28,15,13,1
