Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.6440892017691504,0.3547782882538531,1
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Flavonifractor plautii,PA,Flavonifractor plautii,0.6320336510047557,-0.5827442679857008,2
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Parvimonas micra,PA,Parvimonas micra,0.6174232304809009,-0.6174232304809009,3
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Veillonella parvula,PA,Veillonella parvula,0.4366217978793441,-0.37983528940385697,4
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Streptococcus parasanguinis,PA,Streptococcus parasanguinis,0.4073214859362226,-0.18123114572492713,5
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Blautia sp. CAG:257,PA,Blautia sp. CAG:257,0.3960368597828214,-0.03147908423709024,6
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.3407215554276075,-0.09824660068563325,7
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Lachnospira eligens,PA,Lachnospira eligens,0.2616781186326782,0.21044044505425175,8
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.26113028821179474,-0.17391464501576048,9
All,LASSO,HanniganGD_2017,0.544973544973545,PA_[Eubacterium] siraeum,PA,[Eubacterium] siraeum,0.24522403340320487,-0.14289048701442852,10
All,LASSO,HanniganGD_2017,0.544973544973545,Age,covariate,Age,0.24257713392174604,-0.13961487847039888,11
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Klebsiella variicola,PA,Klebsiella variicola,0.23517479510407593,0.13180582073352898,12
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Parabacteroides merdae,PA,Parabacteroides merdae,0.22816623386657187,-0.1661813073951368,13
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.22623241756649395,0.14693445676999098,14
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Klebsiella pneumoniae,PA,Klebsiella pneumoniae,0.2185834183152204,-0.13160781731021123,15
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.21204846240503467,-0.16109907435468832,16
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Veillonella atypica,PA,Veillonella atypica,0.20755602327034087,-0.20755602327034087,17
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_Bacteroides uniformis,rCLR,Bacteroides uniformis,0.1977580479396605,0.19503256423407386,18
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Roseburia faecis,PA,Roseburia faecis,0.19768307465502627,0.06895921208896269,19
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.19765613308989688,0.1550750462883443,20
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Roseburia inulinivorans,PA,Roseburia inulinivorans,0.18683539161750784,0.11491990073054326,21
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.18490364964085104,0.05742182564419036,22
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Streptococcus thermophilus,PA,Streptococcus thermophilus,0.18189542321201557,0.011767726085805078,23
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.18135099886707268,-0.13523729744366061,24
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.18092682634415452,0.18092682634415452,25
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Roseburia intestinalis,PA,Roseburia intestinalis,0.17990567211010774,0.0641159946475684,26
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.17659204315153607,0.14442531336060244,27
All,LASSO,HanniganGD_2017,0.544973544973545,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.1702981858489249,-0.012771423440844755,28
All,LASSO,HanniganGD_2017,0.544973544973545,PA_Parabacteroides distasonis,PA,Parabacteroides distasonis,0.168641864149269,-0.1586235355859461,29
