Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Streptococcus salivarius,PA,Streptococcus salivarius,1.2530597622562167,1.1412381561756093,1
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Parvimonas micra,PA,Parvimonas micra,0.6441254703621403,-0.3549641081276255,2
All,LASSO,ThomasAM_2018a,0.764367816091954,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.445739849897332,-0.4223453165934772,3
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Streptococcus parasanguinis,PA,Streptococcus parasanguinis,0.42528177351250507,-0.32450142625464623,4
All,LASSO,ThomasAM_2018a,0.764367816091954,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.3826464737747706,-0.03311983561831746,5
All,LASSO,ThomasAM_2018a,0.764367816091954,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.3791260081034021,0.37603348601501646,6
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.3632039507983852,0.02440847476190344,7
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Veillonella parvula,PA,Veillonella parvula,0.3574387084786896,-0.1576119192678815,8
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Klebsiella variicola,PA,Klebsiella variicola,0.3218501025366803,0.001384726931626789,9
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Eggerthella lenta,PA,Eggerthella lenta,0.3203962387069575,0.1925060443312563,10
All,LASSO,ThomasAM_2018a,0.764367816091954,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.3072310924990574,-0.22959363391211432,11
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Klebsiella pneumoniae,PA,Klebsiella pneumoniae,0.27552801030822377,0.002956885964283345,12
All,LASSO,ThomasAM_2018a,0.764367816091954,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.24902821452948093,0.22343687426578013,13
All,LASSO,ThomasAM_2018a,0.764367816091954,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.24485256706013342,0.1630354309516186,14
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Gordonibacter pamelaeae,PA,Gordonibacter pamelaeae,0.2416839825607638,-0.11723697887193568,15
All,LASSO,ThomasAM_2018a,0.764367816091954,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.23528521275904293,0.16110849961442186,16
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Parabacteroides merdae,PA,Parabacteroides merdae,0.2343279150107633,-0.07376101786462429,17
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_[Eubacterium] rectale,PA,[Eubacterium] rectale,0.2197021290820977,-0.07231451244226893,18
All,LASSO,ThomasAM_2018a,0.764367816091954,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.21727357037113176,0.10462936146077881,19
All,LASSO,ThomasAM_2018a,0.764367816091954,PA_Blautia wexlerae,PA,Blautia wexlerae,0.21643796211381167,-0.17802108135826994,20
