Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Parvimonas micra,PA,Parvimonas micra,1.1389696492178765,0.5046068066155148,1
All,LASSO,ThomasAM_2019_c,0.8981250000000001,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.47832278233155384,-0.02050435777293229,2
All,LASSO,ThomasAM_2019_c,0.8981250000000001,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.4154996714274916,-0.1495312954725335,3
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.3719870038237062,-0.01978654275658024,4
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.35988710878081137,0.08827807003750653,5
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Veillonella parvula,PA,Veillonella parvula,0.35208850338772607,0.14670354307821917,6
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Klebsiella pneumoniae,PA,Klebsiella pneumoniae,0.3014928041754552,0.08903977046390506,7
All,LASSO,ThomasAM_2019_c,0.8981250000000001,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.3007496631682965,-0.048663223126108046,8
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Klebsiella variicola,PA,Klebsiella variicola,0.29306916101539465,-0.060861007878596274,9
All,LASSO,ThomasAM_2019_c,0.8981250000000001,Age,covariate,Age,0.2691816237964442,-0.011803351399572757,10
All,LASSO,ThomasAM_2019_c,0.8981250000000001,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.23688855967077105,-0.14105998861354307,11
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Lachnospira eligens,PA,Lachnospira eligens,0.22999706943960668,0.05609684620478206,12
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.20932131179614108,0.004379106941341864,13
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Streptococcus parasanguinis,PA,Streptococcus parasanguinis,0.20596177841121346,0.029111205429146813,14
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Veillonella atypica,PA,Veillonella atypica,0.19938325516201177,0.07312344321345172,15
All,LASSO,ThomasAM_2019_c,0.8981250000000001,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.18942761688984516,0.055907570210485244,16
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Gemmiger formicilis,PA,Gemmiger formicilis,0.1875723609926318,0.05813825218368688,17
All,LASSO,ThomasAM_2019_c,0.8981250000000001,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.18237592780695203,-0.08289814900316003,18
All,LASSO,ThomasAM_2019_c,0.8981250000000001,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.1818389901687784,-0.02059493680311264,19
