Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Parvimonas micra,PA,Parvimonas micra,0.8534531818504209,-0.3481060486805887,1
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.5236438254871036,-0.2618219127435519,2
All,LASSO,VogtmannE_2016,0.5894970414201184,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.47355335425152906,0.05467629543064733,3
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Veillonella parvula,PA,Veillonella parvula,0.40553711256707065,0.0563332443397082,4
All,LASSO,VogtmannE_2016,0.5894970414201184,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.3614444631509792,0.04387255151751452,5
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Klebsiella variicola,PA,Klebsiella variicola,0.3378031255253224,0.055331826479715525,6
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Klebsiella pneumoniae,PA,Klebsiella pneumoniae,0.3229955726152335,-0.03646724206946182,7
All,LASSO,VogtmannE_2016,0.5894970414201184,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.29956491207372754,-0.033746695328264936,8
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Blautia sp. CAG:257,PA,Blautia sp. CAG:257,0.2820249630413383,-0.06204549186909447,9
All,LASSO,VogtmannE_2016,0.5894970414201184,Age,covariate,Age,0.27191341738752806,-0.03257347143833309,10
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.26992852980631593,0.046520748623934176,11
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.2693655547561402,-0.1006285899316788,12
All,LASSO,VogtmannE_2016,0.5894970414201184,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.2619519947095576,-0.018284937060483078,13
All,LASSO,VogtmannE_2016,0.5894970414201184,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.2612275044584023,0.12199586654798827,14
All,LASSO,VogtmannE_2016,0.5894970414201184,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.25539779916164035,0.053125726578041606,15
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.253699851590234,-0.03705197832527132,16
All,LASSO,VogtmannE_2016,0.5894970414201184,rCLR_Eggerthella lenta,rCLR,Eggerthella lenta,0.24615257594496975,-0.007811975026661723,17
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Eggerthella lenta,PA,Eggerthella lenta,0.24534541588652564,-0.018016726004626105,18
All,LASSO,VogtmannE_2016,0.5894970414201184,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.24348292325764612,-0.0152763325541968,19
All,LASSO,VogtmannE_2016,0.5894970414201184,PA_Gemmiger formicilis,PA,Gemmiger formicilis,0.24223564357015592,0.005380415067227048,20
