Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Parvimonas micra,PA,Parvimonas micra,0.9224939137455537,-0.059830477343305724,1
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.48024953087080413,0.1022677876641405,2
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.4582485808748134,-0.19866267957000588,3
All,LASSO,WirbelJ_2018,0.7438461538461539,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.39457582631055843,0.18027289002241526,4
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.35995817987662704,0.16165786521405393,5
All,LASSO,WirbelJ_2018,0.7438461538461539,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.32005596412897896,0.1139925115441868,6
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Klebsiella pneumoniae,PA,Klebsiella pneumoniae,0.3102621832034555,-0.16916847576058472,7
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Veillonella parvula,PA,Veillonella parvula,0.29647837992847403,-0.0635417607007572,8
All,LASSO,WirbelJ_2018,0.7438461538461539,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.2946780049547585,0.1474665688084566,9
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Klebsiella variicola,PA,Klebsiella variicola,0.26649491476247844,0.13635874133854123,10
All,LASSO,WirbelJ_2018,0.7438461538461539,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.25855759007894663,-0.0009913147087990965,11
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Bacteroides intestinalis,PA,Bacteroides intestinalis,0.2549458925682734,0.03862816554064745,12
All,LASSO,WirbelJ_2018,0.7438461538461539,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.24295742415968058,0.01932523371199183,13
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Streptococcus parasanguinis,PA,Streptococcus parasanguinis,0.23480338546991233,0.005208593289039758,14
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.2336819149650191,-0.02881559105830708,15
All,LASSO,WirbelJ_2018,0.7438461538461539,Age,covariate,Age,0.23203562185882312,-0.07055940425811554,16
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Streptococcus thermophilus,PA,Streptococcus thermophilus,0.2317316739033356,-0.16184178754194037,17
All,LASSO,WirbelJ_2018,0.7438461538461539,PA_Coprobacter fastidiosus,PA,Coprobacter fastidiosus,0.21850775087985166,-0.13825534561261957,18
All,LASSO,WirbelJ_2018,0.7438461538461539,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.21167594592719677,-0.07683811058884758,19
All,LASSO,WirbelJ_2018,0.7438461538461539,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.20920020485990778,-0.01835626358632776,20
