Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,LASSO,YuJ_2015,0.7730230230230231,PA_Parvimonas micra,PA,Parvimonas micra,1.080884367772525,0.16942433542466157,1
All,LASSO,YuJ_2015,0.7730230230230231,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.5410790090977684,-0.24700688562337564,2
All,LASSO,YuJ_2015,0.7730230230230231,PA_Klebsiella variicola,PA,Klebsiella variicola,0.46540147831753115,-0.3330492363898967,3
All,LASSO,YuJ_2015,0.7730230230230231,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.4063767800649164,-0.0625195046253719,4
All,LASSO,YuJ_2015,0.7730230230230231,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.37864966039708603,0.07704942063933334,5
All,LASSO,YuJ_2015,0.7730230230230231,PA_Veillonella parvula,PA,Veillonella parvula,0.37121336103495406,0.08952386698239127,6
All,LASSO,YuJ_2015,0.7730230230230231,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.35833461934900385,-0.2781389496545554,7
All,LASSO,YuJ_2015,0.7730230230230231,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.32182183017307064,-0.058335133367608726,8
All,LASSO,YuJ_2015,0.7730230230230231,PA_Bacteroides intestinalis,PA,Bacteroides intestinalis,0.3197547221320438,-0.1880910130188494,9
All,LASSO,YuJ_2015,0.7730230230230231,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.3012413607764891,0.14528857158176206,10
All,LASSO,YuJ_2015,0.7730230230230231,PA_Parabacteroides merdae,PA,Parabacteroides merdae,0.2974321437340145,-0.056495490988583794,11
All,LASSO,YuJ_2015,0.7730230230230231,PA_Klebsiella quasipneumoniae,PA,Klebsiella quasipneumoniae,0.29280955880301274,0.2085944202092259,12
All,LASSO,YuJ_2015,0.7730230230230231,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.2842029176124029,0.01431741717340785,13
All,LASSO,YuJ_2015,0.7730230230230231,PA_Streptococcus parasanguinis,PA,Streptococcus parasanguinis,0.2589462288660892,0.008368100753302701,14
All,LASSO,YuJ_2015,0.7730230230230231,PA_Eggerthella lenta,PA,Eggerthella lenta,0.2587074847207765,-0.04902679036995146,15
All,LASSO,YuJ_2015,0.7730230230230231,rCLR_Bacteroides intestinalis,rCLR,Bacteroides intestinalis,0.2418973735989753,-0.008932071672534465,16
All,LASSO,YuJ_2015,0.7730230230230231,PA_Veillonella atypica,PA,Veillonella atypica,0.23222766565569025,0.01766949629988946,17
All,LASSO,YuJ_2015,0.7730230230230231,PA_Eubacterium sp. CAG:180,PA,Eubacterium sp. CAG:180,0.21945353982200352,0.13692400347868589,18
All,LASSO,YuJ_2015,0.7730230230230231,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.21726397825393423,0.06523462565058676,19
All,LASSO,YuJ_2015,0.7730230230230231,rCLR_Klebsiella variicola,rCLR,Klebsiella variicola,0.2154224013036613,0.06562087698640119,20
