Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Parvimonas micra,PA,Parvimonas micra,1.374710110805936,0.7478064772136527,1
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.5338726163603364,-0.14673433432402425,2
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.47581462345773035,-0.20666695766345866,3
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.4670287632273127,0.17783311202281143,4
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.4630083873357236,-0.13988764042909088,5
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.4208410339069187,0.022755174968102594,6
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.38177725189696754,0.2667926906535747,7
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.3030267255284765,-0.1585889875494427,8
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Klebsiella pneumoniae,PA,Klebsiella pneumoniae,0.2989193020501746,-0.16659919571555276,9
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Klebsiella variicola,PA,Klebsiella variicola,0.29421138681765374,0.21387322215157853,10
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.29370885153815246,-0.10706190492173637,11
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Eggerthella lenta,PA,Eggerthella lenta,0.26920426683764476,0.024763597246192873,12
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Veillonella parvula,PA,Veillonella parvula,0.2656330944503404,-0.028563698772768646,13
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Streptococcus parasanguinis,PA,Streptococcus parasanguinis,0.2641760953099299,-0.03240714422202861,14
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.2590931149703762,-0.06947679909468905,15
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.24827426002848432,0.11378356528839664,16
All,LASSO,ZellerG_2014,0.7819362820909372,PA_[Eubacterium] siraeum,PA,[Eubacterium] siraeum,0.2242387641233691,0.1284151736536342,17
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.22229926277146128,0.08267161585136111,18
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.22049569835988342,-0.11599758469414746,19
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Bacteroides intestinalis,PA,Bacteroides intestinalis,0.21898032667656575,0.008834655065373592,20
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.21582168885953484,0.007969301246508815,21
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Eubacterium sp. CAG:180,PA,Eubacterium sp. CAG:180,0.2125136643375586,0.04675300615426287,22
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Streptococcus thermophilus,PA,Streptococcus thermophilus,0.20969049875959672,-0.1259485011749642,23
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.2085167743765415,-0.028853478005013908,24
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Gemmiger formicilis,PA,Gemmiger formicilis,0.19842715027976768,-0.07486445596635921,25
All,LASSO,ZellerG_2014,0.7819362820909372,Age,covariate,Age,0.19151516693899068,0.06456127867482452,26
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.19057645344877977,0.09080807946132434,27
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Butyricimonas virosa,PA,Butyricimonas virosa,0.18935941146995985,0.12871289011510545,28
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.18773923852656335,-0.05601043159436776,29
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Parabacteroides merdae,PA,Parabacteroides merdae,0.18276086540034056,0.05325735909988957,30
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Roseburia intestinalis,PA,Roseburia intestinalis,0.1780234909390995,-0.06594174664374851,31
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Eubacterium sp. CAG:38,PA,Eubacterium sp. CAG:38,0.17293148849253326,-0.05138358564885667,32
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,0.172483496368719,0.07884959833998588,33
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Lachnospira eligens,PA,Lachnospira eligens,0.16913668656608655,-0.08984336509291128,34
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.16549788555310319,0.0680190348309127,35
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.1639318437805824,0.10433654353096208,36
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Blautia sp. CAG:257,PA,Blautia sp. CAG:257,0.16112939304702933,0.046953848288337686,37
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Veillonella atypica,PA,Veillonella atypica,0.15955763476402193,-0.06104007190391071,38
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.15590069122706732,-0.04864849175454709,39
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Gordonibacter pamelaeae,PA,Gordonibacter pamelaeae,0.15369317257973789,0.02891036950363539,40
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Intestinibacter bartlettii,PA,Intestinibacter bartlettii,0.1519686251059838,0.07257604523531151,41
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.14888324937411163,-0.056082525144889026,42
All,LASSO,ZellerG_2014,0.7819362820909372,Gender,covariate,Gender,0.1484537208484754,-0.008907223250908505,43
All,LASSO,ZellerG_2014,0.7819362820909372,PA_Bacteroides caccae,PA,Bacteroides caccae,0.14742876078318576,0.03550640312055783,44
All,LASSO,ZellerG_2014,0.7819362820909372,rCLR_Firmicutes bacterium CAG:110,rCLR,Firmicutes bacterium CAG:110,0.14658631245456735,0.05585490287658791,45
