Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,LASSO,PA_Parvimonas micra,PA,Parvimonas micra,0.9906383935999413,1.035972488137554,-0.05590072026789881,1.3,1.0,1,10,10,10,1.0,1.0,1.0,1
All,LASSO,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.5255694254576236,0.45353017052458316,0.07176094244241796,4.4,4.5,1,10,10,10,1.0,0.5305360955653302,0.8356876334478656,2
All,LASSO,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.45525516595774757,0.47593806829154145,-0.04864016608620205,3.7,3.5,2,10,10,10,1.0,0.4595573610905267,0.8108450763816843,3
All,LASSO,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.40147642862683863,0.3847903654316508,-0.02794067226935516,6.0,4.5,2,10,10,10,1.0,0.4052704106973776,0.7918446437440821,4
All,LASSO,PA_Veillonella parvula,PA,Veillonella parvula,0.3573108709000447,0.3567415241043335,-0.03524656045050352,7.1,6.0,4,10,10,10,1.0,0.3606874851696298,0.7762406198093704,5
All,LASSO,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.3361421726184631,0.3340898842530023,0.04679901876677348,9.8,8.0,2,10,9,10,0.9,0.3393187411169635,0.7037615593909373,6
All,LASSO,PA_Klebsiella variicola,PA,Klebsiella variicola,0.30687585737766343,0.2936402739165242,0.03139395844654563,11.3,9.5,3,10,9,10,0.9,0.30977585702335697,0.6934215499581751,7
All,LASSO,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.3025063626817159,0.2615411414606762,-0.02822833633852726,12.5,12.0,3,10,9,10,0.9,0.30536507027798465,0.6918777745972947,8
All,LASSO,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.2781376131198729,0.2838442170825658,-0.025961783104002496,14.7,12.5,3,10,8,10,0.8,0.2807660342227719,0.6182681119779702,9
All,LASSO,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.2609391837739544,0.2750591859286463,0.0030263765910001237,14.6,13.0,8,10,8,10,0.8,0.263405078442106,0.6121917774547371,10
All,LASSO,PA_Klebsiella pneumoniae,PA,Klebsiella pneumoniae,0.27318655727231406,0.2872236561791992,-0.042938740664453925,13.6,11.5,7,10,7,10,0.7,0.2757681905297096,0.5515188666853983,11
All,LASSO,PA_Streptococcus parasanguinis,PA,Streptococcus parasanguinis,0.26466395310146507,0.24687480716800075,-0.03280654412713299,17.2,14.0,4,10,7,10,0.7,0.26716504711642214,0.5485077664907477,12
All,LASSO,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.21254178837018878,0.22351041639946623,-0.026338262951963363,30.4,16.5,10,10,6,10,0.6,0.2145503240570156,0.46509261341995545,13
All,LASSO,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.2373458072115043,0.2113681874898241,0.007791591754522367,20.3,20.0,5,10,5,10,0.5,0.2395887427187219,0.40885605995155266,14
All,LASSO,PA_Parabacteroides merdae,PA,Parabacteroides merdae,0.2191443075211132,0.2312470744386676,-0.0337186086385695,22.3,20.5,11,10,5,10,0.5,0.22121523750432417,0.40242533312651346,15
All,LASSO,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.2170222552770448,0.19144580489567958,0.031442518876366864,29.2,23.0,5,10,5,10,0.5,0.21907313170893203,0.4016755960981262,16
All,LASSO,PA_Bacteroides intestinalis,PA,Bacteroides intestinalis,0.2161694148554376,0.2134160164711958,0.010017403932410055,23.4,20.5,9,10,5,10,0.5,0.21821223188199518,0.40137428115869833,17
All,LASSO,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.22276313303648632,0.1971686514524154,-0.015406706737887927,31.0,22.0,4,10,4,10,0.4,0.22486826118960904,0.33870389141636315,18
All,LASSO,Age,covariate,Age,0.20741947799238097,0.19911792165546782,0.0029000081908398616,25.2,25.5,10,10,4,10,0.4,0.20937960746567338,0.3332828626129857,19
All,LASSO,PA_Eggerthella lenta,PA,Eggerthella lenta,0.19584725911774312,0.1695100714814603,0.011673047028203183,34.3,31.0,10,10,4,10,0.4,0.19769803026313346,0.3291943105920967,20
All,LASSO,PA_Blautia sp. CAG:257,PA,Blautia sp. CAG:257,0.21566871023873904,0.18354545124298227,0.010443663719261604,27.8,27.0,6,10,3,10,0.3,0.21770679556947853,0.27119737844931746,21
All,LASSO,PA_Streptococcus thermophilus,PA,Streptococcus thermophilus,0.1930284410740099,0.19108608371347144,-0.032908073382654876,30.6,25.5,8,10,3,10,0.3,0.19485257417951676,0.26319840096283087,22
All,LASSO,PA_Gemmiger formicilis,PA,Gemmiger formicilis,0.18700088403962883,0.18816619732200265,-0.026822908860025984,31.2,24.5,15,10,3,10,0.3,0.1887680562834587,0.26106881969921053,23
All,LASSO,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.1817225929503922,0.19456005051833147,-0.03229608228460206,37.4,26.5,13,10,3,10,0.3,0.18343988495137906,0.25920395973298266,24
All,LASSO,PA_Veillonella atypica,PA,Veillonella atypica,0.17617392943389648,0.1950588801769429,-0.03576301690840021,36.8,26.5,15,10,3,10,0.3,0.17783878615252058,0.2572435751533822,25
All,LASSO,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.17411427571571997,0.15046383432699278,0.0026932320915690885,41.3,40.5,13,10,3,10,0.3,0.1757596685537247,0.25651588399380365,26
All,LASSO,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.1502569392990914,0.11362096295925618,-0.008522006973760654,55.3,57.0,11,10,3,10,0.3,0.1516768785359343,0.248086907487577,27
All,LASSO,PA_Eubacterium sp. CAG:180,PA,Eubacterium sp. CAG:180,0.19257126562265744,0.20214275727869532,-0.0040718070901358755,28.2,27.5,18,10,2,10,0.2,0.19439107838619193,0.19803687743516718,28
All,LASSO,PA_Lachnospira eligens,PA,Lachnospira eligens,0.19191634522519752,0.194351232129456,-0.015264871792310166,31.7,24.5,8,10,2,10,0.2,0.19372996894233122,0.19780548912981594,29
All,LASSO,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.18050469984756679,0.17873980296627973,-0.009345675616051777,32.2,32.5,12,10,2,10,0.2,0.18221048266827186,0.19377366893389514,30
All,LASSO,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.16750167542193273,0.16408565767374955,0.011985703875091082,37.6,38.0,18,10,2,10,0.2,0.16908457869600446,0.18917960254360155,31
All,LASSO,PA_[Eubacterium] siraeum,PA,[Eubacterium] siraeum,0.16196331269783495,0.15349482179556578,0.011849386063789259,41.1,41.0,10,10,2,10,0.2,0.1634938780327972,0.18722285731147903,32
All,LASSO,PA_Coprococcus catus,PA,Coprococcus catus,0.194643524197796,0.15889000045129908,-0.002103972637383976,35.2,36.5,3,10,1,10,0.1,0.19648291995878436,0.13376902198557453,33
All,LASSO,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.18516295603341396,0.15278200998741692,0.0030135508171644275,40.3,38.0,5,10,1,10,0.1,0.18691275972107135,0.13041946590237496,34
All,LASSO,PA_Roseburia intestinalis,PA,Roseburia intestinalis,0.18456934853188917,0.17306429072475726,-0.000575056777785693,32.2,32.0,15,10,1,10,0.1,0.18631354258456645,0.13020973990459828,35
All,LASSO,rCLR_Eggerthella lenta,rCLR,Eggerthella lenta,0.1612110827539222,0.14853228315886113,-0.02151536113411915,41.4,41.0,17,10,1,10,0.1,0.16273453946004193,0.12195708881101468,36
All,LASSO,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.15824533279099323,0.13923352224339425,0.004345247253321873,42.7,39.0,17,10,1,10,0.1,0.1597407629396796,0.12090926702888785,37
All,LASSO,PA_Oscillibacter sp. 57_20,PA,Oscillibacter sp. 57_20,0.1578927518529853,0.17766182736445674,0.02269938936592774,45.8,31.0,20,10,1,10,0.1,0.15938485008561923,0.12078469752996673,38
All,LASSO,PA_Butyricimonas virosa,PA,Butyricimonas virosa,0.1530013585079031,0.12534746034871072,0.00220467754090736,54.2,48.5,7,10,1,10,0.1,0.15444723271011346,0.11905653144853971,39
All,LASSO,PA_Flavonifractor plautii,PA,Flavonifractor plautii,0.15278665052127863,0.10796819331737978,-0.05232901911523974,69.7,62.5,2,10,1,10,0.1,0.15423049571706776,0.11898067350097372,40
All,LASSO,PA_[Eubacterium] rectale,PA,[Eubacterium] rectale,0.14337866486878773,0.13981086381444915,0.022673816792266467,50.4,47.5,18,10,1,10,0.1,0.14473360390137438,0.11565676136548103,41
All,LASSO,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.1423292236854476,0.13797616934092632,0.021421291931117113,50.5,51.0,16,10,1,10,0.1,0.1436742454209035,0.11528598589731623,42
All,LASSO,PA_Coprobacter fastidiosus,PA,Coprobacter fastidiosus,0.13616964235085605,0.1379722505779085,-0.00856732957931403,53.3,47.0,18,10,1,10,0.1,0.13745645558519176,0.11310975945481712,43
All,LASSO,PA_Phascolarctobacterium faecium,PA,Phascolarctobacterium faecium,0.13259819530225386,0.09837644570152329,-0.006850237094730327,68.8,70.5,8,10,1,10,0.1,0.13385125809670792,0.11184794033384776,44
All,LASSO,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.13168464231849203,0.12889520579058514,0.015703326831663388,58.6,51.5,14,10,1,10,0.1,0.13292907196939457,0.1115251751892881,45
All,LASSO,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.1266472368251735,0.1024023576593966,-0.008486824433951235,63.1,66.5,20,10,1,10,0.1,0.12784406262000647,0.10974542191700226,46
All,LASSO,PA_Gordonibacter pamelaeae,PA,Gordonibacter pamelaeae,0.12362994333452178,0.08518244256143859,0.012265458649658912,66.1,81.5,15,10,1,10,0.1,0.12479825548175594,0.10867938941861457,47
All,LASSO,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.11934823444591083,0.10695213774410685,-0.022126095043428915,61.5,62.0,19,10,1,10,0.1,0.12047608412611993,0.10716662944414197,48
All,LASSO,rCLR_Bacteroides intestinalis,rCLR,Bacteroides intestinalis,0.1078713126997701,0.09793636504948475,-0.006483395254739226,71.9,69.5,16,10,1,10,0.1,0.10889070461701969,0.1031117466159569,49
All,LASSO,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.0921523232156404,0.05501167552370509,0.004105353982665106,96.6,102.0,16,10,1,10,0.1,0.09302316951472318,0.09755810933015312,50
All,LASSO,rCLR_Bacteroides uniformis,rCLR,Bacteroides uniformis,0.08927793888938816,0.08166730504547028,0.0180588891166738,85.5,81.0,18,10,1,10,0.1,0.09012162204309043,0.09654256771508166,51
All,LASSO,rCLR_Klebsiella variicola,rCLR,Klebsiella variicola,0.07923787886295228,0.06908597870974786,-0.0008322958275280068,97.1,97.0,20,10,1,10,0.1,0.07998668270367042,0.09299533894628464,52
All,LASSO,PA_Bacteroides fragilis,PA,Bacteroides fragilis,0.07837060809445949,0.0571205787132923,-0.017732969457410652,109.4,104.0,19,10,1,10,0.1,0.07911121616199808,0.09268892565669933,53
All,LASSO,PA_Blautia wexlerae,PA,Blautia wexlerae,0.07472622477251493,0.053163567618113,-0.003347462997080898,101.5,112.0,20,10,1,10,0.1,0.07543239314697137,0.09140133760143998,54
All,LASSO,PA_Roseburia faecis,PA,Roseburia faecis,0.06856442288038657,0.06001418366643545,-0.008026235604203947,107.9,108.5,19,10,1,10,0.1,0.06921236176928912,0.0892243266192512,55
All,LASSO,PA_Klebsiella quasipneumoniae,PA,Klebsiella quasipneumoniae,0.058745485050693845,0.04754574846478742,0.013796032183224232,138.5,130.5,12,10,1,10,0.1,0.059300634247795546,0.08575522198672844,56
