Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
All,LASSO,Parvimonas micra,1.3267805662184045,1.0,1,0.9906383935999413,0.3361421726184631,PA,1
All,LASSO,Streptococcus salivarius,0.9808245914153713,1.0,2,0.5255694254576236,0.45525516595774757,PA,2
All,LASSO,Veillonella parvula,0.6182500546739991,1.0,5,0.3573108709000447,0.2609391837739544,PA,3
All,LASSO,Firmicutes bacterium CAG:110,0.5020973625192705,1.0,4,0.40147642862683863,0.10062093389243192,PA,4
All,LASSO,Streptococcus thermophilus,0.4157915741104962,0.4,18,0.1930284410740099,0.22276313303648632,rCLR,5
All,LASSO,Klebsiella variicola,0.38611373624061573,0.9,7,0.30687585737766343,0.07923787886295228,PA,6
All,LASSO,Dorea formicigenerans,0.3586108753094404,0.9,8,0.05610451262772452,0.3025063626817159,rCLR,7
All,LASSO,Eggerthella lenta,0.3570583418716653,0.4,20,0.19584725911774312,0.1612110827539222,PA,8
All,LASSO,Flavonifractor plautii,0.3269009262369986,0.3,26,0.15278665052127863,0.17411427571571997,rCLR,9
All,LASSO,Bacteroides intestinalis,0.32404072755520774,0.5,17,0.2161694148554376,0.1078713126997701,PA,10
All,LASSO,Anaerostipes hadrus,0.32084723823268274,0.8,9,0.04270962511280985,0.2781376131198729,rCLR,11
All,LASSO,Parabacteroides merdae,0.31995631502473765,0.5,15,0.2191443075211132,0.10081200750362448,PA,12
All,LASSO,Butyricimonas virosa,0.31124669129889637,0.1,37,0.1530013585079031,0.15824533279099323,rCLR,13
All,LASSO,Klebsiella pneumoniae,0.30745549743988276,0.7,11,0.27318655727231406,0.034268940167568686,PA,14
All,LASSO,Streptococcus parasanguinis,0.283842571236492,0.7,12,0.26466395310146507,0.019178618135026908,PA,15
All,LASSO,Coprococcus comes,0.28185286203083915,0.3,24,0.10013026908044693,0.1817225929503922,rCLR,16
All,LASSO,Methanobrevibacter smithii,0.26941344427343017,0.5,16,0.2170222552770448,0.052391188996385396,PA,17
All,LASSO,[Ruminococcus] torques,0.26677299379480873,0.5,14,0.029427186583304416,0.2373458072115043,rCLR,18
All,LASSO,[Eubacterium] siraeum,0.26425955037654864,0.2,32,0.16196331269783495,0.1022962376787137,PA,19
All,LASSO,Gemmiger formicilis,0.26415604355128985,0.3,23,0.18700088403962883,0.07715515951166099,PA,20
All,LASSO,Phocaeicola plebeius,0.2633128488173211,0.6,13,0.21254178837018878,0.05077106044713233,PA,21
All,LASSO,Roseburia intestinalis,0.25559475476474625,0.1,35,0.18456934853188917,0.07102540623285707,PA,22
All,LASSO,Blautia sp. CAG:257,0.2544017212077542,0.3,21,0.21566871023873904,0.03873301096901513,PA,23
All,LASSO,Lachnospira eligens,0.24375554221191068,0.2,29,0.19191634522519752,0.05183919698671317,PA,24
All,LASSO,Coprococcus catus,0.23819676374463955,0.1,33,0.194643524197796,0.04355323954684355,PA,25
All,LASSO,Proteobacteria bacterium CAG:139,0.23033351008753483,0.3,27,0.08007657078844342,0.1502569392990914,rCLR,26
All,LASSO,Bacteroides thetaiotaomicron,0.2256804343090658,0.1,48,0.10633219986315498,0.11934823444591083,rCLR,27
All,LASSO,Eubacterium ventriosum,0.21486913537901192,0.2,30,0.03436443553144512,0.18050469984756679,rCLR,28
All,LASSO,Ruthenibacterium lactatiformans,0.212226962315399,0.1,34,0.02706400628198504,0.18516295603341396,rCLR,29
All,LASSO,Eubacterium sp. CAG:180,0.20324916574440263,0.2,28,0.19257126562265744,0.01067790012174519,PA,30
All,LASSO,Bacteroides caccae,0.20193258732803313,0.0,58,0.13924567994412473,0.06268690738390839,PA,31
All,LASSO,Alistipes finegoldii,0.19530884716708627,0.1,42,0.052979623481638684,0.1423292236854476,rCLR,32
All,LASSO,Veillonella atypica,0.18836558308535306,0.3,25,0.17617392943389648,0.012191653651456568,PA,33
All,LASSO,Lachnospira pectinoschiza,0.1848874042716107,0.0,75,0.09360613519924273,0.09128126907236798,PA,34
All,LASSO,Bifidobacterium pseudocatenulatum,0.18446340741147355,0.0,59,0.13871933825276572,0.04574406915870784,PA,35
All,LASSO,Adlercreutzia equolifaciens,0.18408198110238455,0.2,31,0.01658030568045183,0.16750167542193273,rCLR,36
All,LASSO,Eubacterium sp. CAG:38,0.18382490543839086,0.0,60,0.12326907566934778,0.06055582976904307,PA,37
All,LASSO,Anaerotignum lactatifermentans,0.17590980840517817,0.0,64,0.10720180099585144,0.06870800740932673,PA,38
All,LASSO,Collinsella aerofaciens,0.17549546064208163,0.0,61,0.12202811950808065,0.05346734113400098,PA,39
All,LASSO,Ruminococcus bromii,0.1750896817779446,0.1,46,0.04844244495277107,0.1266472368251735,rCLR,40
All,LASSO,Oscillibacter sp. 57_20,0.1749093499350335,0.1,38,0.1578927518529853,0.017016598082048206,PA,41
All,LASSO,[Eubacterium] rectale,0.17479285817303308,0.1,41,0.14337866486878773,0.03141419330424535,PA,42
All,LASSO,Akkermansia muciniphila,0.17244780216652283,0.0,63,0.10795875962564956,0.06448904254087326,PA,43
All,LASSO,Paraprevotella xylaniphila,0.17240304155358405,0.1,45,0.040718399235092004,0.13168464231849203,rCLR,44
All,LASSO,Gordonibacter pamelaeae,0.1634127178955321,0.1,47,0.12362994333452178,0.03978277456101032,PA,45
All,LASSO,Roseburia hominis,0.1614846733119818,0.0,62,0.041164619878835663,0.12032005343314614,rCLR,46
