Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Parvimonas micra,PA,Parvimonas micra,0.028566545351130564,-0.028566545351130564,1
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.015534435918286675,0.0021468678709620275,2
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.015260923791167641,0.015260923791167641,3
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.013192769643974842,0.013192769643974842,4
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.01199390388632407,-0.008534226011498622,5
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.010189580985172163,-0.007691159673314386,6
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.008881108051252288,0.0084945505733079,7
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.008533905448809333,0.0019504735963860502,8
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.0084488361271097,-0.008432970733391864,9
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.008303021728339561,-0.008303021728339561,10
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.00820198047298219,0.005924411112852646,11
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.008200489158933207,-0.008200489158933207,12
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.007848404076495204,0.006153728232333575,13
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.007695585740549861,0.005359672100241437,14
All,RandomForest,HanniganGD_2017,0.498015873015873,Age,covariate,Age,0.0074283203089193775,-0.004472666144791357,15
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.007405276067902953,-0.0035713055380082823,16
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.006867253391475418,-0.0031319924094429215,17
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.006599534128624124,-0.006264396470514988,18
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.0065185747194737645,-0.005873193077979438,19
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.006127469771862968,-0.0023283113218240782,20
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.006100267794009996,-0.005725626829488725,21
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.005986419344983364,-0.005986419344983364,22
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.005678273336626925,-0.0003971747087674045,23
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.005273175712935563,0.004389742410754666,24
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Parasutterella excrementihominis,rCLR,Parasutterella excrementihominis,0.004887967509027182,-0.003977047249347257,25
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.004573662938494935,-0.004573662938494935,26
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.00448629309656405,0.0007582828965583511,27
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.004373905574413703,0.004004269897328561,28
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.004332482157627107,0.001833322344894734,29
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.0043027980348863265,-0.0030521155206119956,30
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.0038779951421577556,0.0017723098907002197,31
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.003515029694483922,0.0007244791953312435,32
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.003474237684112956,-0.003474237684112956,33
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.0032693844952831246,-0.0025188171033794044,34
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.0032626185590186115,-0.003068476878133433,35
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0031626244251703093,-0.001992055693515762,36
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.003107230354365988,0.002737376535393181,37
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.0030081741759011823,0.0007820895008386447,38
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Ruminococcus bicirculans,PA,Ruminococcus bicirculans,0.002999799361661443,0.0002795849602379525,39
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.0029656928037472214,-0.0022362658793917338,40
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.0027551789576068723,0.00037471395826551787,41
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.0025779481647349124,-0.0025779481647349124,42
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.002557304022741503,0.0018397907314041636,43
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides uniformis,rCLR,Bacteroides uniformis,0.0024640405527955843,0.0023046710403511715,44
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides eggerthii,rCLR,Bacteroides eggerthii,0.0024528517652795435,-0.0016808737821144859,45
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Roseburia hominis,rCLR,Roseburia hominis,0.0024497953556391243,-0.000678739814930476,46
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Escherichia coli,rCLR,Escherichia coli,0.0024396051785605974,-0.0004560446808153845,47
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.0023601449528954667,-0.00019002262601534102,48
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Anaerotignum lactatifermentans,rCLR,Anaerotignum lactatifermentans,0.002324360905597196,0.0004320506285483957,49
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Roseburia faecis,PA,Roseburia faecis,0.0022011307685849872,0.0008403397423191051,50
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Agathobaculum butyriciproducens,rCLR,Agathobaculum butyriciproducens,0.0021647195228366436,0.0017574145860877555,51
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Blautia obeum,rCLR,Blautia obeum,0.0021414759625135948,5.9893293048506553e-05,52
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.002125675770822899,-0.0015126672326100977,53
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Escherichia coli,PA,Escherichia coli,0.002082841147015543,-0.0014536733258056485,54
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides xylanisolvens,rCLR,Bacteroides xylanisolvens,0.0020330026203733767,-0.001963598906840856,55
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.001998374162526188,-0.00033490426649977463,56
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.00199775776996428,-0.0014986717129813836,57
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Enterocloster bolteae,PA,Enterocloster bolteae,0.0019855692997399928,-0.0017144258680756234,58
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium sp. CAG:274,rCLR,Eubacterium sp. CAG:274,0.0019781646327628024,-0.0010429936104632955,59
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.0019665582678240158,0.001248626946424626,60
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Blautia sp. CAG:257,rCLR,Blautia sp. CAG:257,0.001961645484330245,0.0008376297484986575,61
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Enterocloster bolteae,rCLR,Enterocloster bolteae,0.0019563942074080657,-0.0018834694415428097,62
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Roseburia intestinalis,PA,Roseburia intestinalis,0.0019112575786096396,0.0005617319884798031,63
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Bacteroides caccae,PA,Bacteroides caccae,0.0019085195162726453,-0.0010940143813470014,64
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Gemmiger formicilis,rCLR,Gemmiger formicilis,0.001841902964762491,0.0007834277391844122,65
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.0017947319087831403,-0.001503890467935104,66
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Alistipes putredinis,rCLR,Alistipes putredinis,0.0017376684968285778,-0.0011085042762555605,67
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Gordonibacter pamelaeae,rCLR,Gordonibacter pamelaeae,0.001730675504144929,-0.0006596751779471993,68
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Streptococcus parasanguinis,rCLR,Streptococcus parasanguinis,0.0017067198961136809,-0.0003515147631665476,69
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Blautia wexlerae,rCLR,Blautia wexlerae,0.0016828655788118955,-0.0012007133946828248,70
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Parabacteroides distasonis,PA,Parabacteroides distasonis,0.0016107104503404952,-0.001417534077236945,71
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,0.0016085746313416439,-0.00023553305372747652,72
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.0015919964408089738,0.0010043351038809712,73
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Megamonas funiformis,rCLR,Megamonas funiformis,0.001546201087830935,-0.0013636223522006845,74
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.0015272696584991362,-0.0015108006926699755,75
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Flavonifractor plautii,PA,Flavonifractor plautii,0.0015134822134647001,-0.0013904672421755464,76
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Slackia isoflavoniconvertens,rCLR,Slackia isoflavoniconvertens,0.0014702259269171146,-0.0011357764509724948,77
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Lachnospira eligens,PA,Lachnospira eligens,0.001463532117340229,0.0011604018334330983,78
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.0014552795716794725,-0.0014018642572227508,79
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.0014193476974835887,-0.0002184148112456487,80
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Alistipes inops,rCLR,Alistipes inops,0.0014080336703378325,0.0013535792819537548,81
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Lawsonibacter asaccharolyticus,rCLR,Lawsonibacter asaccharolyticus,0.0013933504975958053,-0.0012407026423433402,82
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium ramulus,rCLR,Eubacterium ramulus,0.0013614677746832194,-0.0005336679775180369,83
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Erysipelatoclostridium ramosum,rCLR,Erysipelatoclostridium ramosum,0.0013561948833067496,-0.0006978182986246777,84
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.0013266981334039076,7.724903810197308e-05,85
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.0013077945448966232,-0.0010226195040648595,86
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.0012949206683674757,-0.0010395435654572177,87
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Oscillibacter sp. CAG:241,rCLR,Oscillibacter sp. CAG:241,0.0012564791045770168,-0.0008305407344018582,88
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Adlercreutzia equolifaciens_1,PA,Adlercreutzia equolifaciens_1,0.0012383365310131445,-0.0003657492177199956,89
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eggerthella lenta,rCLR,Eggerthella lenta,0.0012122010328297923,-0.00044265858294884964,90
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Phascolarctobacterium faecium,rCLR,Phascolarctobacterium faecium,0.001170424305842191,0.0010066656581113013,91
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Bifidobacterium adolescentis,PA,Bifidobacterium adolescentis,0.0011607222296749862,0.0005898072288559554,92
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_[Eubacterium] rectale,rCLR,[Eubacterium] rectale,0.0011497576697167735,0.0004127718589147811,93
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Barnesiella intestinihominis,rCLR,Barnesiella intestinihominis,0.0011405904529868875,0.000785580574070338,94
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Klebsiella variicola,rCLR,Klebsiella variicola,0.0011367138629645522,-0.000851811540053331,95
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Klebsiella pneumoniae,rCLR,Klebsiella pneumoniae,0.001134442787524325,-0.0008174778322454303,96
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Adlercreutzia equolifaciens_1,rCLR,Adlercreutzia equolifaciens_1,0.0011035474878370258,6.24073379843779e-05,97
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.001089022570126429,-0.0003462843058786883,98
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Acidaminococcus intestini,rCLR,Acidaminococcus intestini,0.0010614133680532435,-0.0009816478136655629,99
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.0010424653932907418,0.00012636054088605006,100
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Bacteroides fragilis,PA,Bacteroides fragilis,0.0010325767647128537,-0.0007778992766032406,101
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Ruminococcus bicirculans,rCLR,Ruminococcus bicirculans,0.001018368142271277,0.00039622395075520576,102
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_[Ruminococcus] gnavus,rCLR,[Ruminococcus] gnavus,0.000995960889591869,3.1650477409964734e-05,103
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bifidobacterium bifidum,rCLR,Bifidobacterium bifidum,0.0009813686428590677,0.00017948745814345103,104
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Bacteroides stercoris,PA,Bacteroides stercoris,0.0009658589808522591,-0.000753194043523721,105
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_[Ruminococcus] lactaris,rCLR,[Ruminococcus] lactaris,0.0009601737239434383,-0.00047294419057703705,106
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Eubacterium sp. CAG:38,PA,Eubacterium sp. CAG:38,0.000952435120735729,0.000873520584073082,107
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.0009454760933716523,0.0009310067809740939,108
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.0009289548789139537,6.417679370054569e-05,109
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Firmicutes bacterium CAG:110,PA,Firmicutes bacterium CAG:110,0.0009089790490442507,0.0005748473048399666,110
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Phocaeicola massiliensis,rCLR,Phocaeicola massiliensis,0.0008981154746762051,0.0007443996974815569,111
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Bacteroides thetaiotaomicron,PA,Bacteroides thetaiotaomicron,0.0008926112757551473,-0.0008355886346740586,112
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,0.000885944065692597,-0.00020413013845880146,113
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.0008732933119044148,-0.0002765988397478254,114
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.0008514479817771452,-0.00023924278338709757,115
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Phascolarctobacterium succinatutens,rCLR,Phascolarctobacterium succinatutens,0.0008335855568512752,-0.00038923004808482465,116
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Roseburia inulinivorans,rCLR,Roseburia inulinivorans,0.0008150769139298905,-2.900568471715892e-05,117
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Phocaeicola dorei,rCLR,Phocaeicola dorei,0.0007917160980257593,-0.0002374574625479982,118
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Eubacterium sp. CAG:251,PA,Eubacterium sp. CAG:251,0.0007883442521521157,0.0003378942337867634,119
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Anaerobutyricum hallii,PA,Anaerobutyricum hallii,0.0007852044422159467,-1.2082438702958135e-05,120
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Dialister invisus,rCLR,Dialister invisus,0.0007671983950559273,0.0005719970587644514,121
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.0007466962842183556,2.6092022065263225e-05,122
