Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,RandomForest,YuJ_2015,0.8335835835835838,PA_Parvimonas micra,PA,Parvimonas micra,0.035040698136116086,0.013119481132715471,1
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.024070561657971654,0.01640270494907533,2
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.01315454588400727,0.00516176376891412,3
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.012253373953358267,0.00025924592054604403,4
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.012068309242099394,0.004812710200475546,5
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.008823990124735172,-0.0024794715524233697,6
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.007829632911671639,0.0034580737874999284,7
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.007545778801343002,0.0012353820469948556,8
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.007082013571367731,0.0022577711645748733,9
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.006856507823214411,-0.0038087069345745933,10
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.00682372127910303,0.0018862552959969636,11
All,RandomForest,YuJ_2015,0.8335835835835838,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.006794431077570533,0.0016000577197503906,12
