Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.039699801572140626,0.03177828059991731,1
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.022062306389879417,0.018549993662084676,2
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.020468694232086485,0.019537543713129282,3
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Parvimonas micra,PA,Parvimonas micra,0.014002134347101234,-0.0076168743212349935,4
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.012169568229659944,0.005187839446978968,5
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.011882828224126729,0.00299198064145127,6
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,Age,covariate,Age,0.010709891583942133,0.00942988564501388,7
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.00934369491565339,0.005584405932943875,8
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.00816783277999876,0.005044571244357426,9
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.007090937743961371,0.0027585390673653307,10
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.006860978551624652,-0.005808637880426674,11
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.006372025279849572,-0.006372025279849572,12
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.005814356910739158,-7.303856801419449e-05,13
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.005799313093547865,-0.0029675599786684664,14
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.005723610213140746,-0.002943899471165014,15
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.004691389905861967,0.0013698305884677592,16
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.004633133804848447,-0.004372088204236299,17
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.004520340516360387,1.105331044406045e-05,18
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.004320294681526301,-0.00010772583095517777,19
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.004238252468066922,0.0020433305938491308,20
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_[Ruminococcus] gnavus,PA,[Ruminococcus] gnavus,0.003993050820898587,-0.002210836432098533,21
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.003946632099318499,-0.001612930933525227,22
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.003764906680686424,-0.000987938434876162,23
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.0036024369259074146,0.000792980605555036,24
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.0035652832542521773,-0.0013897036457863117,25
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Alistipes putredinis,rCLR,Alistipes putredinis,0.0034814057632614097,-0.0017778295327417776,26
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.003432354056099283,-0.0033048967090022648,27
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Oscillibacter sp. CAG:241,rCLR,Oscillibacter sp. CAG:241,0.0033513380259506107,0.00010482346606494439,28
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Parasutterella excrementihominis,rCLR,Parasutterella excrementihominis,0.0032148101947201283,-0.00012496932955247952,29
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Barnesiella intestinihominis,rCLR,Barnesiella intestinihominis,0.0030130831988736707,0.0013610417082852552,30
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.0030093673996493455,-0.002183322395448991,31
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.0029696239808763387,-0.00013219738625117674,32
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.002924965011338412,-0.0008782480889568904,33
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.0028634548716877633,0.001596526223425077,34
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Intestinibacter bartlettii,rCLR,Intestinibacter bartlettii,0.002729076429072313,-0.002714240875192242,35
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides ovatus,rCLR,Bacteroides ovatus,0.002725334422984228,9.281749812737735e-05,36
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.0025639931830700765,0.0005239019197719566,37
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.002526929360038672,8.32976815488637e-05,38
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides xylanisolvens,rCLR,Bacteroides xylanisolvens,0.0024852094947609323,-0.0011542725864073754,39
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Eubacterium ramulus,rCLR,Eubacterium ramulus,0.0024631482253238374,0.0010906133568557583,40
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.002454563776122989,-0.0016365524094100446,41
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.0024301474956053342,0.0011812346453341674,42
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.002329625490430027,0.0008287174202704289,43
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.0022966032904644935,-0.00019720529598452332,44
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.0022604782798122005,0.0022604782798122005,45
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.00223493670512874,-0.0007327563841497156,46
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.0022167712499470285,0.0013442141847912117,47
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Megamonas funiformis,rCLR,Megamonas funiformis,0.0022128238759309754,-0.0008482215179321346,48
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.002209498241315371,-0.0016001486539606769,49
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Phocaeicola dorei,rCLR,Phocaeicola dorei,0.0021542294267537306,6.74283571498033e-05,50
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.002152960682170417,0.000941031105141883,51
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.002120016498933408,0.0007283197599899996,52
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Enterocloster bolteae,rCLR,Enterocloster bolteae,0.0019703449669097556,0.0004783020412644407,53
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.0019673434543456803,-0.0018478720456590505,54
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.0019354377603877375,-1.8849267794434206e-05,55
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.0018932654806636288,-0.001577388642736872,56
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.0018929007064583396,0.0010045995435174742,57
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Gemmiger formicilis,rCLR,Gemmiger formicilis,0.00185819087890668,0.0003625157144599463,58
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Lawsonibacter asaccharolyticus,rCLR,Lawsonibacter asaccharolyticus,0.001780987750838156,0.0005905649813455673,59
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Ruminococcus bicirculans,rCLR,Ruminococcus bicirculans,0.0017733883014125675,-0.0005172414451321635,60
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.0017582829628581104,-0.0005846411999919171,61
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.0017381623780865956,0.0006153626271363041,62
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Eubacterium sp. CAG:274,rCLR,Eubacterium sp. CAG:274,0.001732357159402434,-0.00108671571665205,63
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.0017118895948279348,0.001679971568976503,64
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Firmicutes bacterium CAG:110,rCLR,Firmicutes bacterium CAG:110,0.0016859376206295532,4.3204080765804704e-05,65
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Gordonibacter pamelaeae,rCLR,Gordonibacter pamelaeae,0.001666410314370634,-0.0004333659639615135,66
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.001655329627918788,-0.0003714265782393519,67
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Erysipelatoclostridium ramosum,rCLR,Erysipelatoclostridium ramosum,0.0016462576309934664,-0.0009257465721111087,68
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Agathobaculum butyriciproducens,rCLR,Agathobaculum butyriciproducens,0.0016250894913992103,-0.00031331338255389586,69
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.0015932183742429823,6.088590257591033e-05,70
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Escherichia coli,rCLR,Escherichia coli,0.0015576888539217456,-0.0009156913699457365,71
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.0015310783389866926,0.0006187996745298682,72
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.0015258233645143945,0.0015252471062600496,73
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.0015188765898380239,0.0013834275397827287,74
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Anaerotignum lactatifermentans,rCLR,Anaerotignum lactatifermentans,0.0015022418595470695,-0.0014352110888933255,75
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Alistipes inops,rCLR,Alistipes inops,0.001498136368978173,0.0009067065632688906,76
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.0014821949099557297,0.0003597442215064923,77
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.0014818373811167284,-0.00023933664051291177,78
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Klebsiella variicola,rCLR,Klebsiella variicola,0.0014468246318633977,0.0005886277042585682,79
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Flavonifractor plautii,PA,Flavonifractor plautii,0.0013899456636913704,0.0013899456636913704,80
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Roseburia intestinalis,PA,Roseburia intestinalis,0.0013836167556067467,0.00017658776925986004,81
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_[Ruminococcus] lactaris,rCLR,[Ruminococcus] lactaris,0.0013716105127990245,-0.00018742286443033476,82
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.0013690706859266636,0.0004927833384291659,83
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,0.0013516031108189613,-0.0009184627208048599,84
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides eggerthii,rCLR,Bacteroides eggerthii,0.0013488614479710635,-5.3157153599357035e-05,85
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_[Ruminococcus] gnavus,rCLR,[Ruminococcus] gnavus,0.0013148120467308159,-0.0012355071617905816,86
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Bacteroides uniformis,rCLR,Bacteroides uniformis,0.00131408671911385,0.0008330700685916318,87
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.001296724827756393,-0.00018547690110900345,88
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Bacteroides caccae,PA,Bacteroides caccae,0.0012539157450825783,7.347171034326304e-05,89
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Dialister invisus,rCLR,Dialister invisus,0.0012202567230408046,0.0005273830804081161,90
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Roseburia inulinivorans,rCLR,Roseburia inulinivorans,0.001154030132218173,-0.000686443068460176,91
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Ruminococcus bicirculans,PA,Ruminococcus bicirculans,0.001145361993039501,0.0004357597063141084,92
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.0011277185923179636,0.00025773777917106276,93
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.0011272816536078908,-0.0005081142888442807,94
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.001119783726664075,-0.0008146810589433358,95
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Enterocloster bolteae,PA,Enterocloster bolteae,0.0010789831706634334,-0.0006262726092104402,96
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Blautia wexlerae,PA,Blautia wexlerae,0.0010530909985454944,-0.0010266269937080174,97
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Blautia obeum,rCLR,Blautia obeum,0.001028643421350088,-0.0010023901022726245,98
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Phascolarctobacterium faecium,rCLR,Phascolarctobacterium faecium,0.0010277116515171147,0.00012972919435614438,99
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Bacteroides fragilis,PA,Bacteroides fragilis,0.0010147852231567906,-9.374383029348898e-05,100
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Eubacterium sp. CAG:180,PA,Eubacterium sp. CAG:180,0.0010097010913610155,-0.0002926938930473789,101
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Blautia sp. CAG:257,rCLR,Blautia sp. CAG:257,0.0009849198297024932,0.0003378389189872741,102
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Roseburia hominis,rCLR,Roseburia hominis,0.000909978963837414,0.0002940930651352462,103
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Phocaeicola massiliensis,rCLR,Phocaeicola massiliensis,0.0009010000732387087,-0.0009010000732387087,104
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Alistipes shahii,rCLR,Alistipes shahii,0.0008863716130174521,-0.00034483223501794054,105
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,rCLR_Adlercreutzia equolifaciens_1,rCLR,Adlercreutzia equolifaciens_1,0.0008558493044950808,1.0455408177782075e-05,106
OnlyFemale,RandomForest,ThomasAM_2018a,0.7424242424242424,PA_Proteobacteria bacterium CAG:139,PA,Proteobacteria bacterium CAG:139,0.000850715065804237,-0.0002756378483072021,107
