Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,PA_Parvimonas micra,PA,Parvimonas micra,0.02285231587474291,0.00961781140071367,1
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.018188694709627497,-0.001969831773540478,2
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.017319549179433007,-0.01250707320847428,3
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.013219075121052965,0.0074738933347123,4
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.011993452728062686,-0.011595717981584288,5
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.011727617225400897,0.007354749130645328,6
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.01143040403125941,0.0006251923164887432,7
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.010942210165106539,0.0019786170893517853,8
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.01065324436060695,0.003839372903330952,9
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.008963889631691377,-0.003342536918362965,10
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.008097235550702391,-0.0007322818645870572,11
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.007642255729942974,0.00011812908629050262,12
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.006442859307067313,-0.004402975086776554,13
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.006228797693762616,-0.0009839036262409675,14
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.006148300390335939,0.00578297080798618,15
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.005447405864614934,-0.00044696917305608934,16
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.004978962591528558,0.0008379097671449382,17
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.004850031559805795,-0.0014189925620034206,18
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.004766658838693775,-0.0017796884544112814,19
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.0047527136603327845,0.0008125931338864283,20
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.004660567516988526,0.0036927357044498964,21
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.004446805382606421,-0.00218181375664398,22
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.004286447980021386,-0.0013662579250679346,23
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,Age,covariate,Age,0.004002471575235072,-0.0026376803747249645,24
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.0038853964064676236,-0.002854133897999577,25
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides intestinalis,rCLR,Bacteroides intestinalis,0.0038518279301506453,0.003532224412554841,26
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.003648554690129279,-0.0006215577731671252,27
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_[Ruminococcus] gnavus,rCLR,[Ruminococcus] gnavus,0.003634587479397452,0.0019485239258723922,28
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.003466242412492913,-0.0010324143289507082,29
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0032164385258854943,-0.0021573255208832114,30
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.0031314647923695892,-0.00038639542213278385,31
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.003123244631063944,-0.0019839983147227685,32
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.0031010060335415076,0.000632346194604578,33
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Roseburia inulinivorans,rCLR,Roseburia inulinivorans,0.0030557538828109004,0.0001711557584486869,34
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.003036597199170287,0.0004362462836301242,35
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.002918971273788909,-0.00048117285862972264,36
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.002917222282730898,0.0019415453603465764,37
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.0028929293520072665,0.0005946402375472761,38
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Barnesiella intestinihominis,rCLR,Barnesiella intestinihominis,0.0028722923383713503,-0.0023731325965026043,39
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Blautia obeum,rCLR,Blautia obeum,0.002759689738970385,8.320638360344511e-05,40
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.002746502574567673,-0.0003891352799997653,41
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.0026910196687994453,-0.00019613434094294853,42
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.0026208921219728555,-0.002582506245808338,43
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Parasutterella excrementihominis,rCLR,Parasutterella excrementihominis,0.0025986296618076507,0.0002684760511176845,44
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,PA_[Ruminococcus] gnavus,PA,[Ruminococcus] gnavus,0.0025400463668691095,0.0005883052301494092,45
