Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,PA_Parvimonas micra,PA,Parvimonas micra,0.02285231587474291,0.00961781140071367,1
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.018188694709627497,-0.001969831773540478,2
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.017319549179433007,-0.01250707320847428,3
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.013219075121052965,0.0074738933347123,4
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.011993452728062686,-0.011595717981584288,5
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.011727617225400897,0.007354749130645328,6
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.01143040403125941,0.0006251923164887432,7
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.010942210165106539,0.0019786170893517853,8
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.01065324436060695,0.003839372903330952,9
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.008963889631691377,-0.003342536918362965,10
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.008097235550702391,-0.0007322818645870572,11
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.007642255729942974,0.00011812908629050262,12
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.006442859307067313,-0.004402975086776554,13
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.006228797693762616,-0.0009839036262409675,14
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.006148300390335939,0.00578297080798618,15
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.005447405864614934,-0.00044696917305608934,16
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.004978962591528558,0.0008379097671449382,17
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.004850031559805795,-0.0014189925620034206,18
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.004766658838693775,-0.0017796884544112814,19
OnlyFemale,RandomForest,ThomasAM_2019_c,1.0,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.0047527136603327845,0.0008125931338864283,20
