Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.01858079909029427,-0.0011279040266130639,1
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,PA_Parvimonas micra,PA,Parvimonas micra,0.01221160879846159,-0.000747637021975502,2
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.0119908637617382,0.005838689279611235,3
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.009327090818891472,-0.0019536053855586026,4
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.009060050859015735,0.0009114478273061055,5
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.00740763502330168,0.0007990773565644193,6
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.007037513746586917,-0.0016335081939791605,7
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.006852217510909932,-0.001784251085690282,8
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0066885977210641495,0.0025793400344043186,9
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.006441085818147065,0.003181430065219258,10
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.006119884662371918,-0.0018253950228101223,11
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.006067780451744802,-0.0007813980097085007,12
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.00595070241392014,-0.003194861691244181,13
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.005881414789690704,-0.002212705845094503,14
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.005783984814758955,-0.0029002378727110726,15
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.005568902557398321,-0.002077452718688672,16
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.005263961683265191,-0.001542892003398353,17
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.005142030662296766,-0.0009174354397910671,18
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.004861862494628099,-0.0018897534622835375,19
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,Age,covariate,Age,0.004832432148657653,-0.0025165944314195212,20
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.004561090816454452,-0.0025785565036034784,21
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.004560744342117235,-0.0019363504667540459,22
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.004324850130322311,0.0010107203720010284,23
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.004203423789951403,-0.0011450875181029778,24
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.004179503956659155,-0.0014430868583174999,25
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.004020514769575061,-0.00023009477189617875,26
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.003974286277251786,0.0008984312892014768,27
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Coprococcus eutactus,rCLR,Coprococcus eutactus,0.0038930296557803073,-0.0018124842782604757,28
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.0038654251996391603,-0.00240713442585199,29
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_[Ruminococcus] lactaris,rCLR,[Ruminococcus] lactaris,0.003456957356647063,-0.0021627325931634035,30
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Megamonas funiformis,rCLR,Megamonas funiformis,0.0034518586462933595,-0.003207824518785314,31
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.003439427281480854,0.0025106352984494004,32
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.003360960119056733,0.0002572932956054408,33
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.0033447954275820156,-0.0015014947566245039,34
OnlyFemale,RandomForest,WirbelJ_2018,0.7998511904761905,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.0032851638775300636,-0.00020871526259870788,35
