Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,PA_Parvimonas micra,PA,Parvimonas micra,0.02793561833781438,0.010292607566022807,1
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.01795560924265186,-0.002467445880988501,2
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.017026373624312325,0.00654316018545674,3
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.012807451386604168,0.001389085599517872,4
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.009971830954686395,0.0039282489342837255,5
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.009427336690264167,0.00815523887072702,6
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.009177920965735421,-0.004646617603121494,7
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.00901262743667269,-0.0011950198551941987,8
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.008140165928622751,0.002857433868971731,9
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.007905237817811134,0.000498962973405601,10
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.006680224037280436,0.004055428999061465,11
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.005840623206871668,-0.0027504319255766164,12
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.005740075887650109,-0.0025193834511534592,13
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.005662577160230316,0.00233523071707891,14
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0049092130300098305,-0.001466804550472693,15
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.00469711706403907,-0.0005394314620818961,16
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.004657779113410969,-0.0021782022489740278,17
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.004431174983645242,-0.002034997229673522,18
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.004377531825383563,-0.0014441457045715762,19
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.004270673755385557,-0.002281520526010983,20
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.004244269564384512,-0.0008943822451987465,21
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.0041200925498473175,0.0019237488322058132,22
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.00405504417967547,0.003617259069616773,23
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.003970343881149531,0.0008824629982402774,24
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bacteroides ovatus,rCLR,Bacteroides ovatus,0.0038828883214458198,0.0015543120607099468,25
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.003813331355003811,-0.0014062853933957333,26
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.0037252247946910257,0.00260674338319536,27
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.0036557786161546843,-0.0005662774204767762,28
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.003608696223126516,0.00016110946845526055,29
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,PA_[Ruminococcus] gnavus,PA,[Ruminococcus] gnavus,0.0035479758860649854,-0.0008295246573230473,30
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.0034402406857353693,-0.00038300148608385215,31
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,PA_Flavonifractor plautii,PA,Flavonifractor plautii,0.003368782999582145,-0.00198159933935178,32
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.003295958827905269,-0.0005976520160396757,33
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.003230000916952289,0.0025558392962119216,34
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.003147323741360616,-0.0008449639360556406,35
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Phascolarctobacterium succinatutens,rCLR,Phascolarctobacterium succinatutens,0.002991334193098505,-0.00027684632995369325,36
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Blautia obeum,rCLR,Blautia obeum,0.002963548545316871,0.0013786016173040006,37
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.002902387371931548,0.0013004615904347791,38
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.002872861923963382,-0.0011323420459471926,39
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.0028597097940928034,0.00015558799188344986,40
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.0028198772213018134,-0.0018438522879242517,41
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.002799086236555543,-0.0008793199006381363,42
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.002798982443832377,-0.0017656370736777592,43
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.002718453842927628,-0.00027745763785175584,44
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.0026353957976049066,5.187405859063549e-05,45
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Barnesiella intestinihominis,rCLR,Barnesiella intestinihominis,0.0025651542922866767,0.0002044735951979168,46
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Eubacterium sp. CAG:274,rCLR,Eubacterium sp. CAG:274,0.002541802764310343,-0.000534676524473111,47
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Klebsiella variicola,rCLR,Klebsiella variicola,0.0025098015714396316,0.002332225446230153,48
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.0024985957550641385,0.0005882475960018362,49
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Eubacterium ramulus,rCLR,Eubacterium ramulus,0.0024966899434118507,0.0012317028529019564,50
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.0024726239613970537,-0.0004526098476120664,51
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.0024693682474724856,0.00031016463515934096,52
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.002423214894477653,-0.0003995732257669587,53
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,Age,covariate,Age,0.002386306511473789,0.0005727763786911723,54
OnlyFemale,RandomForest,ZellerG_2014,0.6767676767676767,rCLR_Erysipelatoclostridium ramosum,rCLR,Erysipelatoclostridium ramosum,0.0023605674269223664,-0.0011896569624558332,55
