Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
OnlyFemale,RandomForest,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.02279295798409147,0.021730393387766563,0.004361653721341499,1.5,1.0,1,10,10,10,1.0,1.0,1.0,1
OnlyFemale,RandomForest,PA_Parvimonas micra,PA,Parvimonas micra,0.01597019122157705,0.014268098328135616,-0.0008640481472719818,2.6,3.0,1,10,10,10,1.0,0.7006633905403403,0.8952321866891191,2
OnlyFemale,RandomForest,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.013305551941293575,0.013224926428316868,0.001167304797494894,4.4,3.5,2,10,10,10,1.0,0.5837571389628451,0.8543149986369958,3
OnlyFemale,RandomForest,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.011012066767232976,0.010283700064931824,0.00031720963749518126,6.6,6.5,1,10,10,10,1.0,0.4831346056496457,0.819097111977376,4
OnlyFemale,RandomForest,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.010307461721814418,0.009422977748501864,0.0003754674626930083,7.0,6.5,2,10,10,10,1.0,0.4522213277016785,0.8082774646955875,5
OnlyFemale,RandomForest,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.00962824626948956,0.009170670277312148,-0.0013465448922471575,7.8,7.5,3,10,10,10,1.0,0.4224219724447205,0.7978476903556522,6
OnlyFemale,RandomForest,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.00834000674927994,0.008780541712611136,-0.0001589504438162072,10.6,7.5,5,10,9,10,0.9,0.36590278256560277,0.713065973897961,7
OnlyFemale,RandomForest,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.0078164321761011,0.007666167866173785,-0.0004867287346259409,10.6,9.0,5,10,9,10,0.9,0.3429318906987256,0.705026161744554,8
OnlyFemale,RandomForest,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.006407876616927122,0.006157063168971308,-0.00044898548889845845,16.5,14.0,6,10,9,10,0.9,0.2811340512012329,0.6833969179204316,9
OnlyFemale,RandomForest,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.007026066683167019,0.007448291894690777,0.00036283343803161945,12.5,10.0,4,10,8,10,0.8,0.30825602750072717,0.6278896096252545,10
OnlyFemale,RandomForest,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.006364433428662328,0.005768628827526808,-0.002142427689099731,16.1,14.5,4,10,8,10,0.8,0.2792280595219118,0.6177298208326691,11
OnlyFemale,RandomForest,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.006886435521813223,0.005496036930287275,0.0016092288528917794,21.2,16.0,2,10,7,10,0.7,0.30212996165831857,0.5607454865804115,12
OnlyFemale,RandomForest,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0056484458969475945,0.00507335899039517,0.00025520802946105717,19.0,16.5,7,10,7,10,0.7,0.24781539547828646,0.5417353884174002,13
OnlyFemale,RandomForest,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.005124456808583699,0.005203921995141887,-0.00175533538056234,18.8,17.0,12,10,7,10,0.7,0.22482631750386917,0.5336892111263541,14
OnlyFemale,RandomForest,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.0050491190475873745,0.004448936170871975,-0.0006867762833264743,22.4,18.5,7,10,6,10,0.6,0.2215210088620989,0.46753235310173463,15
OnlyFemale,RandomForest,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.004683601838882169,0.004856448312664545,0.00303662302774332,26.5,19.5,12,10,6,10,0.6,0.2054845993289299,0.46191960976512547,16
OnlyFemale,RandomForest,Age,covariate,Age,0.004930400060743969,0.004623650459619829,3.309507811688707e-05,25.8,22.0,7,10,5,10,0.5,0.2163124270305408,0.40070934946068926,17
OnlyFemale,RandomForest,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.003968214737950936,0.004131512814933234,-0.0021707195523405906,35.7,24.5,11,10,5,10,0.5,0.17409827810504383,0.3859343973367654,18
OnlyFemale,RandomForest,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.0046296316290531,0.004480014943898452,-4.180606276378765e-05,24.1,23.0,13,10,4,10,0.4,0.20311675352906755,0.33109086373517366,19
OnlyFemale,RandomForest,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.004615093853142741,0.00399500960081541,-0.0004107563235294794,24.0,24.0,11,10,4,10,0.4,0.20247893478169368,0.3308676271735928,20
OnlyFemale,RandomForest,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.005000045933289393,0.004223843056899346,-0.0013175963144594822,31.5,22.5,4,10,3,10,0.3,0.21936801431298278,0.271778805009544,21
OnlyFemale,RandomForest,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.004620584110009518,0.0032964346570115003,-0.0022938088026557436,34.9,37.5,5,10,3,10,0.3,0.20271980991824282,0.265951933471385,22
OnlyFemale,RandomForest,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.003969736940216201,0.0030545843868898088,0.0008941660717366132,35.7,36.0,5,10,3,10,0.3,0.1741650619891859,0.2559577716962151,23
OnlyFemale,RandomForest,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.0035994438135529445,0.003256995011814926,0.0002504680843551541,40.8,39.5,9,10,3,10,0.3,0.15791911765314556,0.25027169117860093,24
OnlyFemale,RandomForest,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.0031984686797527986,0.002548321867825073,0.0015892208636170211,49.3,50.5,10,10,3,10,0.3,0.14032705548727795,0.2441144694205473,25
OnlyFemale,RandomForest,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.003170616998228219,0.0018267071076593269,0.0008804589723128434,56.8,71.5,10,10,3,10,0.3,0.1391051130985797,0.2436867895845029,26
OnlyFemale,RandomForest,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.003967953666549613,0.003835670588746211,-0.0010342995362858142,29.3,26.0,11,10,2,10,0.2,0.17408682406728773,0.1909303884235507,27
