Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
OnlyFemale,RandomForest,Ruthenibacterium lactatiformans,0.022969282648393128,1.0,1,0.00017632466430165757,0.02279295798409147,rCLR,1
OnlyFemale,RandomForest,Parvimonas micra,0.022334624650239377,1.0,2,0.01597019122157705,0.006364433428662328,PA,2
OnlyFemale,RandomForest,Anaerostipes hadrus,0.013434224273219164,1.0,3,0.00012867233192558885,0.013305551941293575,rCLR,3
OnlyFemale,RandomForest,Bacteroides fragilis,0.012642263601449277,1.0,4,0.0016301968342163,0.011012066767232976,rCLR,4
OnlyFemale,RandomForest,Dorea formicigenerans,0.010601189310767974,1.0,5,0.00029372758895355745,0.010307461721814418,rCLR,5
OnlyFemale,RandomForest,Bacteroides thetaiotaomicron,0.01002917092685059,1.0,6,0.00040092465736103007,0.00962824626948956,rCLR,6
OnlyFemale,RandomForest,Flavonifractor plautii,0.00881873075055381,0.9,9,0.002410854133626688,0.006407876616927122,rCLR,7
OnlyFemale,RandomForest,Anaerobutyricum hallii,0.008586611848306145,0.9,7,0.000246605099026205,0.00834000674927994,rCLR,8
OnlyFemale,RandomForest,Parabacteroides distasonis,0.008088644411873257,0.9,8,0.0002722122357721554,0.0078164321761011,rCLR,9
OnlyFemale,RandomForest,[Ruminococcus] torques,0.007305325283752652,0.8,10,0.00027925860058563337,0.007026066683167019,rCLR,10
OnlyFemale,RandomForest,Coprococcus comes,0.007203154204026651,0.7,12,0.0003167186822134285,0.006886435521813223,rCLR,11
OnlyFemale,RandomForest,Phocaeicola plebeius,0.006232919556735183,0.3,21,0.0012328736234457904,0.005000045933289393,rCLR,12
OnlyFemale,RandomForest,Bacteroides caccae,0.0059589755354324215,0.6,15,0.0009098564878450468,0.0050491190475873745,rCLR,13
OnlyFemale,RandomForest,Alistipes finegoldii,0.0059214110342739905,0.7,13,0.0002729651373263962,0.0056484458969475945,rCLR,14
OnlyFemale,RandomForest,[Ruminococcus] gnavus,0.0056075292421515245,0.1,38,0.0032581182433416055,0.002349410998809919,PA,15
OnlyFemale,RandomForest,Adlercreutzia equolifaciens,0.0054896223961478354,0.7,14,0.00036516558756413697,0.005124456808583699,rCLR,16
OnlyFemale,RandomForest,Eubacterium sp. CAG:251,0.004985115552609284,0.6,16,0.00030151371372711414,0.004683601838882169,rCLR,17
OnlyFemale,RandomForest,Parabacteroides merdae,0.004968444246801689,0.4,19,0.0003388126177485896,0.0046296316290531,rCLR,18
OnlyFemale,RandomForest,Eubacterium sp. CAG:180,0.004966815333516278,0.5,18,0.0009986005955653428,0.003968214737950936,rCLR,19
OnlyFemale,RandomForest,Bacteroides sp. CAG:144,0.004918001795869787,0.3,22,0.0002974176858602688,0.004620584110009518,rCLR,20
OnlyFemale,RandomForest,Paraprevotella xylaniphila,0.004850542517119601,0.4,20,0.0002354486639768599,0.004615093853142741,rCLR,21
OnlyFemale,RandomForest,Dorea longicatena,0.004227691496307912,0.3,23,0.0002579545560917112,0.003969736940216201,rCLR,22
OnlyFemale,RandomForest,Streptococcus salivarius,0.004209432873018327,0.2,29,0.0004072850581558142,0.003802147814862512,rCLR,23
OnlyFemale,RandomForest,Clostridium sp. CAG:58,0.004192206348490268,0.2,27,0.00022425268194065524,0.003967953666549613,rCLR,24
OnlyFemale,RandomForest,Coprobacter fastidiosus,0.004121299700012564,0.2,33,0.0007656995984807069,0.003355600101531857,rCLR,25
OnlyFemale,RandomForest,Desulfovibrio piger,0.004085859826700013,0.2,28,0.00018779516564872592,0.003898064661051287,rCLR,26
OnlyFemale,RandomForest,Proteobacteria bacterium CAG:139,0.004060021727686658,0.1,39,0.0008216230432241053,0.0032383986844625526,rCLR,27
OnlyFemale,RandomForest,Bacteroides finegoldii,0.00404264271867593,0.3,25,0.0008441740389231317,0.0031984686797527986,rCLR,28
OnlyFemale,RandomForest,Bifidobacterium adolescentis,0.004004952733129864,0.2,30,0.0002484210094774102,0.0037565317236524535,rCLR,29
OnlyFemale,RandomForest,Butyricimonas virosa,0.003935008186232781,0.1,37,0.0004218958690949132,0.0035131123171378677,rCLR,30
OnlyFemale,RandomForest,Veillonella parvula,0.003933108349991956,0.2,32,0.0003958698503485036,0.0035372384996434523,rCLR,31
OnlyFemale,RandomForest,Holdemanella biformis,0.003875521553671285,0.1,36,0.0003393039732307894,0.0035362175804404955,rCLR,32
OnlyFemale,RandomForest,Bacteroides stercoris,0.0038528697012341485,0.3,24,0.0002534258876812038,0.0035994438135529445,rCLR,33
OnlyFemale,RandomForest,Coprococcus catus,0.0038236223450051955,0.2,31,0.000249198972066015,0.0035744233729391806,rCLR,34
OnlyFemale,RandomForest,Faecalibacterium prausnitzii,0.003662099957563333,0.0,46,0.00015696727612351288,0.00350513268143982,rCLR,35
OnlyFemale,RandomForest,Ruminococcus bromii,0.0036597178733582866,0.3,26,0.0004891008751300676,0.003170616998228219,rCLR,36
OnlyFemale,RandomForest,Akkermansia muciniphila,0.0036029809446220264,0.2,35,0.0004769335983644717,0.0031260473462575546,rCLR,37
OnlyFemale,RandomForest,Parasutterella excrementihominis,0.00356764007338254,0.1,40,0.0003685864464506431,0.003199053626931897,rCLR,38
OnlyFemale,RandomForest,Veillonella atypica,0.0035616675984688254,0.0,47,0.00036226175915658195,0.0031994058393122436,rCLR,39
OnlyFemale,RandomForest,Firmicutes bacterium CAG:110,0.003531899133282815,0.0,66,0.0015351329118253644,0.001996766221457451,rCLR,40
OnlyFemale,RandomForest,Blautia obeum,0.003413423019548693,0.2,34,0.0002624490821784019,0.0031509739373702913,rCLR,41
