Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Parvimonas micra,PA,Parvimonas micra,0.02853654575494459,-0.012268274861629175,1
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.01717680411590713,-0.005674495028569732,2
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.017052232606600975,0.014904988195059348,3
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.012772611990929569,-0.003521926872334537,4
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.012321634110822044,-0.006386554993445206,5
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.012180985002406603,-0.0020359059490811684,6
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.011179951797110845,0.006540319753166324,7
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.010499646906994061,-0.0032593307354802847,8
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.010244815342784078,0.00917156187801864,9
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.009864839714320082,-0.0043931685702085135,10
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.00857834276000009,-0.004522209705041665,11
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.00803605421636313,0.004518604774200882,12
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.007234619098932291,-0.004499359196309993,13
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.006879895037348246,0.0034433665498631635,14
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Oscillibacter sp. 57_20,rCLR,Oscillibacter sp. 57_20,0.006508021226131247,0.0037742083612395095,15
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.006098426076661308,0.0013823045673821525,16
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.005999079972633328,0.0017570800742821764,17
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides cellulosilyticus,rCLR,Bacteroides cellulosilyticus,0.005684769348659153,0.0031817598483192336,18
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Alistipes putredinis,rCLR,Alistipes putredinis,0.005484219980926881,0.004750037345645118,19
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.005463434229708339,-0.0015986359148900003,20
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.005445962054790205,0.0010843112660318132,21
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.005279568077189893,0.0018423201233740952,22
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.005278022747089386,0.003064498841707182,23
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Oscillibacter sp. CAG:241,rCLR,Oscillibacter sp. CAG:241,0.005250705033128932,0.0023819270014811674,24
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.005149663794194665,-0.0024383579779015743,25
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,Age,covariate,Age,0.005107105110823717,-0.0003128702759307316,26
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.005018111648127604,-0.0009832243275589526,27
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.004863346577227563,-0.001782273667768208,28
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.004495565923054516,0.0019590131994701877,29
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides salyersiae,rCLR,Bacteroides salyersiae,0.004372616542617947,0.00106690805837863,30
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.004200675255009276,0.00412136573570355,31
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_[Eubacterium] rectale,rCLR,[Eubacterium] rectale,0.004170408888520964,-0.0012504763128246364,32
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.00409088019897885,0.0012201553261076826,33
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.0037841059707386065,-0.0009560921217043024,34
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Blautia obeum,rCLR,Blautia obeum,0.003750235853994324,0.00020441977630958675,35
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Coprobacter fastidiosus,rCLR,Coprobacter fastidiosus,0.003595330604150629,-0.0010123638724627764,36
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.0035793512716403597,-0.0005643630758005755,37
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.003458216590547485,0.0012704227131631364,38
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Streptococcus salivarius,PA,Streptococcus salivarius,0.0034564801626997452,-0.0013073103647268922,39
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Akkermansia muciniphila,PA,Akkermansia muciniphila,0.0033559871033168867,0.001549646256012941,40
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.0032462733893024965,0.001570903420994987,41
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Alistipes shahii,rCLR,Alistipes shahii,0.003074726350143903,0.002385821117891178,42
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Roseburia inulinivorans,rCLR,Roseburia inulinivorans,0.0030447890106648514,5.510033170098569e-05,43
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.002799797786332607,0.0006362321978738155,44
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Adlercreutzia equolifaciens_1,rCLR,Adlercreutzia equolifaciens_1,0.0027956596306404,0.0001533803474695541,45
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.0027935879518950005,-1.2587735485936353e-05,46
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Parabacteroides merdae,rCLR,Parabacteroides merdae,0.0027849367192318082,0.0009869204204218996,47
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.0027178469912106586,-0.0009053394859611642,48
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,0.002627999132826988,-0.0004534356224281071,49
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.0025844245266702067,0.0016121366438457312,50
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Anaerotignum lactatifermentans,rCLR,Anaerotignum lactatifermentans,0.0025830726291082274,0.0010264548510919298,51
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides xylanisolvens,rCLR,Bacteroides xylanisolvens,0.0025750952047867773,-0.0002198547908628155,52
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Phocaeicola plebeius,rCLR,Phocaeicola plebeius,0.0025686288728895023,-0.0017426776637032987,53
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Agathobaculum butyriciproducens,rCLR,Agathobaculum butyriciproducens,0.002500834777282335,0.0010900004935360619,54
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.002450032826992839,0.0006245974606739494,55
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,0.0024451118196259715,-9.435191174466832e-05,56
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.002369163033642504,-0.0019066735380795954,57
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Acidaminococcus intestini,rCLR,Acidaminococcus intestini,0.0023498453154440365,-0.0001627654922738254,58
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.0023272117797547274,-0.0010684382724505828,59
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.002301065157806755,0.0015044492341689593,60
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Blautia wexlerae,rCLR,Blautia wexlerae,0.0022326244682040956,0.00036499264171033246,61
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bifidobacterium longum,rCLR,Bifidobacterium longum,0.002224136891737441,0.0011509807014710928,62
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Escherichia coli,rCLR,Escherichia coli,0.0021815664518202186,-0.0002480962870799733,63
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Holdemanella biformis,rCLR,Holdemanella biformis,0.002162330990925407,0.000601751012240375,64
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Coprococcus comes,rCLR,Coprococcus comes,0.0021331942255539095,0.0003726088461398814,65
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Phocaeicola dorei,rCLR,Phocaeicola dorei,0.0021250448464875215,-0.001197024238659362,66
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bifidobacterium bifidum,rCLR,Bifidobacterium bifidum,0.002105406178732553,0.001501582232833678,67
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Phascolarctobacterium faecium,rCLR,Phascolarctobacterium faecium,0.002070689726064246,0.0006933706919544418,68
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Gordonibacter pamelaeae,rCLR,Gordonibacter pamelaeae,0.0019569814593949635,0.0001281024245942105,69
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.001952640049958123,-0.0009247814590353155,70
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Prevotella copri,rCLR,Prevotella copri,0.001951775559801899,-0.00041082306541840804,71
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Firmicutes bacterium CAG:83,rCLR,Firmicutes bacterium CAG:83,0.001943252261102809,0.001014909504777182,72
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.0019091828384151012,2.1509761823846327e-05,73
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Lawsonibacter asaccharolyticus,rCLR,Lawsonibacter asaccharolyticus,0.0018735073104271373,0.00016624267283683742,74
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Eggerthella lenta,rCLR,Eggerthella lenta,0.0018496891414725293,3.1343117565300134e-05,75
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Klebsiella variicola,rCLR,Klebsiella variicola,0.001821904723440131,-0.0013362690111437315,76
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Barnesiella intestinihominis,rCLR,Barnesiella intestinihominis,0.0017856564970227184,0.001310801464083345,77
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Eubacterium sp. CAG:274,rCLR,Eubacterium sp. CAG:274,0.0017499814380541533,-0.0008620771653810267,78
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Blautia sp. CAG:257,rCLR,Blautia sp. CAG:257,0.0017256048035967596,-0.0002603069653127612,79
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides eggerthii,rCLR,Bacteroides eggerthii,0.0017189237666722084,1.2147747501411696e-05,80
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides stercoris,rCLR,Bacteroides stercoris,0.0017147462441652703,6.764223521727617e-05,81
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Gemmiger formicilis,rCLR,Gemmiger formicilis,0.001699295934743922,0.00017108757672025594,82
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Phascolarctobacterium succinatutens,rCLR,Phascolarctobacterium succinatutens,0.0016790586962410713,0.0010556114721663318,83
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,0.0016384020516416505,0.0002500423728876644,84
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bifidobacterium adolescentis,rCLR,Bifidobacterium adolescentis,0.0015758124908013945,0.0010574205168983302,85
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Streptococcus salivarius,rCLR,Streptococcus salivarius,0.0015659979354669927,-0.00010773357293213376,86
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Roseburia hominis,rCLR,Roseburia hominis,0.001541402869493653,-0.00038651294218750834,87
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Firmicutes bacterium CAG:145,PA,Firmicutes bacterium CAG:145,0.0015249229770713545,0.0001616404457894898,88
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Erysipelatoclostridium ramosum,rCLR,Erysipelatoclostridium ramosum,0.001504090318626771,0.0003241841896934742,89
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Klebsiella pneumoniae,rCLR,Klebsiella pneumoniae,0.0014855584593886542,-0.0004939611765531224,90
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Bifidobacterium pseudocatenulatum,PA,Bifidobacterium pseudocatenulatum,0.0014685282672664804,0.0008005636436479518,91
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Adlercreutzia equolifaciens,rCLR,Adlercreutzia equolifaciens,0.0013814259446416485,0.0006035793366076155,92
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_[Ruminococcus] gnavus,rCLR,[Ruminococcus] gnavus,0.001381063514784976,0.0006446879229882942,93
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Firmicutes bacterium CAG:110,rCLR,Firmicutes bacterium CAG:110,0.001340186207582377,-0.00032992993562335464,94
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides uniformis,rCLR,Bacteroides uniformis,0.0013261318918093988,-0.00015826380716684924,95
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Slackia isoflavoniconvertens,rCLR,Slackia isoflavoniconvertens,0.0013038204566332336,-0.0001019537472211893,96
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides ovatus,rCLR,Bacteroides ovatus,0.001285881624183078,0.00014571701798905156,97
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Ruminococcus bicirculans,rCLR,Ruminococcus bicirculans,0.0011809255740293974,0.00031787101058371935,98
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Dialister invisus,rCLR,Dialister invisus,0.0011713850774749534,0.0006705846056585049,99
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Klebsiella quasipneumoniae,rCLR,Klebsiella quasipneumoniae,0.0011611401825505172,0.00014486709076951416,100
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Phocaeicola vulgatus,rCLR,Phocaeicola vulgatus,0.0011322190937650748,-6.62187487713435e-05,101
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides finegoldii,rCLR,Bacteroides finegoldii,0.0011295186199684567,0.000853496335921389,102
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,0.0011090933809112585,0.0008053816084987658,103
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.0010723069478346871,1.7945911691182307e-05,104
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Streptococcus parasanguinis,rCLR,Streptococcus parasanguinis,0.0010503778442376892,0.0001438605912347626,105
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Phocaeicola massiliensis,rCLR,Phocaeicola massiliensis,0.0009891273576185704,0.00021823553423847884,106
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Enterocloster bolteae,rCLR,Enterocloster bolteae,0.0009670511638894744,0.0002922720353336921,107
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Ruminococcus bromii,rCLR,Ruminococcus bromii,0.0009642648931306375,0.00019795342581984678,108
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Intestinibacter bartlettii,rCLR,Intestinibacter bartlettii,0.0009489856010108452,0.00036496306059155683,109
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Alistipes inops,rCLR,Alistipes inops,0.0009197694363622411,-0.00017052411510187098,110
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_[Ruminococcus] lactaris,rCLR,[Ruminococcus] lactaris,0.0009158680623940218,0.00018000646990480032,111
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Clostridium sp. CAG:58,PA,Clostridium sp. CAG:58,0.0008939585323148201,0.0006135149907364165,112
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,PA_Veillonella parvula,PA,Veillonella parvula,0.0008532061728331111,9.065921878318657e-05,113
OnlyMale,RandomForest,VogtmannE_2016,0.6552227903579255,rCLR_Bacteroides intestinalis,rCLR,Bacteroides intestinalis,0.0008424026868756405,9.889197635339183e-06,114
