Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,PA_Parvimonas micra,PA,Parvimonas micra,0.051006814345415506,0.03005749563632633,1
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.02374058487647965,0.010814133907383184,2
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.012422600995594495,0.0018710784543352814,3
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.011600486312486837,-0.004268173542459542,4
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.010703496729398777,-0.00372396681337096,5
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Methanobrevibacter smithii,rCLR,Methanobrevibacter smithii,0.010697289991916884,0.008326655716298521,6
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.009780468892284308,0.00584837886025507,7
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.009502527744380243,0.0042901162791290385,8
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.00936418982014159,-0.00011054033662978574,9
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.008933038950442684,-0.001034480730999608,10
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.008862181420827963,0.003260462317810978,11
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,0.008858268611382123,0.007072689131155301,12
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.008687551168741986,-0.00424580289614296,13
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.008532842568141259,-0.002751859607089007,14
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.006963261414054892,0.0047528000996675795,15
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.00673575252739487,-0.0017552203840477938,16
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.006409968289390017,0.0024663160080494817,17
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Phocaeicola coprocola,rCLR,Phocaeicola coprocola,0.006390210818084428,-0.0034150497908288064,18
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.0060282652676263435,0.0030952318461877457,19
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.005781779294640982,0.004351776435371326,20
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.005059955194985321,0.0004558452786659077,21
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.005037808620444368,0.003311429212602043,22
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.004873593700184651,-0.000509299810727367,23
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Blautia obeum,rCLR,Blautia obeum,0.004425061291913623,0.0032420996667975963,24
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,0.004210192657656264,0.003384043120373654,25
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.004110438560102554,-0.0011219568486507724,26
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.004102491033842717,0.0010768185696467217,27
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.004037509141198905,-0.0019420064775851839,28
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,Age,covariate,Age,0.0037982406799530397,0.0017846601762186946,29
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.003766839296102423,-2.6344139830241055e-05,30
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.003461865928947324,0.0006840594507461254,31
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Roseburia hominis,rCLR,Roseburia hominis,0.0034349162589052966,0.00022685460339252696,32
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_[Eubacterium] siraeum,rCLR,[Eubacterium] siraeum,0.0032505549757979118,0.0013324033544113195,33
OnlyMale,RandomForest,ZellerG_2014,0.769088669950739,rCLR_Veillonella atypica,rCLR,Veillonella atypica,0.0032426285495254148,-0.00135029826948881,34
