Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
OnlyMale,RandomForest,PA_Parvimonas micra,PA,Parvimonas micra,0.03453275779455908,0.03359855304708059,0.0002582258524900259,1.0,1.0,1,10,10,10,1.0,1.0,1.0,1
OnlyMale,RandomForest,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.016311480351879556,0.01307936690857598,-0.0003951882680870187,5.4,4.0,2,10,10,10,1.0,0.4723480368674628,0.8153218129036119,2
OnlyMale,RandomForest,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.011591287517136345,0.011454475675959367,0.0018384914595074345,6.1,5.0,3,10,10,10,1.0,0.33566063811337554,0.7674812233396815,3
OnlyMale,RandomForest,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.011018951369905513,0.01089974676939179,-0.00017654307419921218,7.4,7.5,2,10,10,10,1.0,0.31908692133593913,0.7616804224675787,4
OnlyMale,RandomForest,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.010975725151532341,0.010562604299686118,-0.0005038582401798877,6.8,6.5,3,10,10,10,1.0,0.31783517600385963,0.7612423116013509,5
OnlyMale,RandomForest,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.0108193473571882,0.010370392780038751,-0.0021238304007497,7.7,7.0,2,10,10,10,1.0,0.31330678602485884,0.7596573751087006,6
OnlyMale,RandomForest,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.010260094066871794,0.010180403041456027,0.0008167767960554292,8.4,8.0,4,10,10,10,1.0,0.2971119227694104,0.7539891729692937,7
OnlyMale,RandomForest,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.00978622950437922,0.009020513681169753,0.0039902432276765236,9.9,9.0,2,10,10,10,1.0,0.28338974728282834,0.7491864115489899,8
OnlyMale,RandomForest,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.0114250361974188,0.012186549151708203,-0.0003135169301104426,7.0,4.0,2,10,9,10,0.9,0.3308463304723061,0.7007962156653071,9
OnlyMale,RandomForest,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.008707949484879475,0.00787096905134553,-0.0014718663358411618,10.7,11.5,3,10,9,10,0.9,0.25216490199492503,0.6732577156982238,10
OnlyMale,RandomForest,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.007967317543277466,0.006644687186225365,-0.00043437028806081885,13.9,14.5,4,10,9,10,0.9,0.2307176736557305,0.6657511857795058,11
OnlyMale,RandomForest,rCLR_Firmicutes bacterium CAG:145,rCLR,Firmicutes bacterium CAG:145,0.0072666477575752345,0.0065842397302769366,-0.0026809656411750315,17.3,14.0,4,10,8,10,0.8,0.21042766988972292,0.593649684461403,12
OnlyMale,RandomForest,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.0068569478781213,0.006801363911397001,-4.55187782951328e-05,14.9,12.5,8,10,8,10,0.8,0.19856357603740724,0.5894972516130925,13
OnlyMale,RandomForest,rCLR_Bifidobacterium pseudocatenulatum,rCLR,Bifidobacterium pseudocatenulatum,0.005915918183010083,0.006739221865815726,0.002268932105811622,20.9,17.5,5,10,6,10,0.6,0.1713132272320916,0.4499596295312321,14
OnlyMale,RandomForest,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.006404997101699374,0.0056085723471651335,0.005148691717563715,29.6,18.5,4,10,5,10,0.5,0.18547598022155454,0.3899165930775441,15
OnlyMale,RandomForest,Age,covariate,Age,0.005257309707921542,0.005345990838588836,0.000714782001614346,24.3,23.0,10,10,5,10,0.5,0.15224123538577836,0.3782844323850224,16
OnlyMale,RandomForest,rCLR_Eubacterium sp. CAG:38,rCLR,Eubacterium sp. CAG:38,0.00481455419028373,0.005176598396809621,0.0002588140832620251,25.6,20.0,13,10,5,10,0.5,0.13941991598024941,0.3737969705930873,17
OnlyMale,RandomForest,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.004766479526679232,0.005079083763661474,-0.001535275619810122,25.3,20.0,12,10,5,10,0.5,0.13802776931503077,0.3733097192602608,18
