Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
OnlyMale,RandomForest,Parvimonas micra,0.05084423814643864,1.0,1,0.03453275779455908,0.016311480351879556,PA,1
OnlyMale,RandomForest,Roseburia intestinalis,0.012039189402576936,1.0,4,0.0010202380326714221,0.011018951369905513,rCLR,2
OnlyMale,RandomForest,Roseburia faecis,0.011956610803864731,0.9,9,0.0005315746064459311,0.0114250361974188,rCLR,3
OnlyMale,RandomForest,Ruthenibacterium lactatiformans,0.011885470890020901,1.0,3,0.0002941833728845564,0.011591287517136345,rCLR,4
OnlyMale,RandomForest,Odoribacter splanchnicus,0.011228012915831472,1.0,5,0.0002522877642991317,0.010975725151532341,rCLR,5
OnlyMale,RandomForest,Akkermansia muciniphila,0.011223606281774028,1.0,8,0.0014373767773948084,0.00978622950437922,rCLR,6
OnlyMale,RandomForest,Fusicatenibacter saccharivorans,0.011211583491766122,1.0,6,0.00039223613457792185,0.0108193473571882,rCLR,7
OnlyMale,RandomForest,Lachnospira eligens,0.010727361820442,1.0,7,0.0004672677535702068,0.010260094066871794,rCLR,8
OnlyMale,RandomForest,Eubacterium ventriosum,0.008939741763192267,0.9,10,0.00023179227831279244,0.008707949484879475,rCLR,9
OnlyMale,RandomForest,Lachnospira pectinoschiza,0.008189036851378255,0.9,11,0.0002217193081007888,0.007967317543277466,rCLR,10
OnlyMale,RandomForest,Firmicutes bacterium CAG:145,0.008061581061588548,0.8,12,0.0007949333040133136,0.0072666477575752345,rCLR,11
OnlyMale,RandomForest,Bacteroides caccae,0.007483359903625561,0.8,13,0.000626412025504261,0.0068569478781213,rCLR,12
OnlyMale,RandomForest,Methanobrevibacter smithii,0.007361628314807051,0.4,22,0.0022661497772846822,0.005095478537522369,rCLR,13
OnlyMale,RandomForest,Bifidobacterium pseudocatenulatum,0.0070351283878153795,0.6,14,0.0011192102048052967,0.005915918183010083,rCLR,14
OnlyMale,RandomForest,Eubacterium sp. CAG:251,0.006841974824450799,0.5,15,0.00043697772275142556,0.006404997101699374,rCLR,15
OnlyMale,RandomForest,Paraprevotella xylaniphila,0.0066665838964232215,0.4,20,0.000526335142104512,0.006140248754318709,rCLR,16
OnlyMale,RandomForest,Coprococcus catus,0.006111239169466533,0.4,21,0.000554197656784066,0.005557041512682467,rCLR,17
OnlyMale,RandomForest,Collinsella aerofaciens,0.005803559885053289,0.0,42,0.0018465531226886617,0.003957006762364627,rCLR,18
OnlyMale,RandomForest,Phocaeicola coprocola,0.005542089624838296,0.4,23,0.00046146460389001625,0.00508062502094828,rCLR,19
OnlyMale,RandomForest,Eubacterium sp. CAG:38,0.005293243162632179,0.5,17,0.00047868897234844857,0.00481455419028373,rCLR,20
OnlyMale,RandomForest,Butyricimonas virosa,0.005235928638042014,0.5,18,0.00046944911136278166,0.004766479526679232,rCLR,21
OnlyMale,RandomForest,Clostridium sp. CAG:58,0.005106022844252861,0.0,41,0.0009033934843695284,0.004202629359883333,rCLR,22
OnlyMale,RandomForest,Anaerostipes hadrus,0.005025692979753793,0.4,24,0.00030650068614065,0.004719192293613143,rCLR,23
OnlyMale,RandomForest,Anaerobutyricum hallii,0.004967181601283355,0.5,19,0.00028057106072725,0.004686610540556105,rCLR,24
OnlyMale,RandomForest,Faecalibacterium prausnitzii,0.0049245860438962286,0.2,28,0.00019164340897743793,0.004732942634918791,rCLR,25
OnlyMale,RandomForest,Parabacteroides distasonis,0.004832616986623818,0.3,25,0.00046510836931153664,0.004367508617312281,rCLR,26
OnlyMale,RandomForest,Escherichia coli,0.004807826844586512,0.3,27,0.0007974413444674542,0.004010385500119058,rCLR,27
OnlyMale,RandomForest,Bacteroides thetaiotaomicron,0.004648589480794769,0.1,32,0.0004897791374804992,0.00415881034331427,rCLR,28
OnlyMale,RandomForest,Streptococcus salivarius,0.004605859175722187,0.1,36,0.003252936880332949,0.0013529222953892384,PA,29
OnlyMale,RandomForest,Alistipes finegoldii,0.004497219275234669,0.1,33,0.0003565488143003697,0.0041406704609342985,rCLR,30
OnlyMale,RandomForest,Flavonifractor plautii,0.004495038338145648,0.3,26,0.00024926095058857206,0.004245777387557076,rCLR,31
