Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5505924002678099,0.5505924002678099,True,CRC-associated,1
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.1458675775965293,0.1458675775965293,True,CRC-associated,2
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.14018913164481359,0.14018913164481359,True,Control-associated,3
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.13681672321341087,0.13681672321341087,True,Control-associated,4
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,Age,covariate,Age,Age,age,0.11808396616588432,0.11808396616588432,True,CRC-associated,5
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.10816521751183482,0.10816521751183482,True,CRC-associated,6
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.08635097730955577,0.08635097730955577,True,CRC-associated,7
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,[Ruminococcus] torques,[ruminococcus] torques,0.08222958844555844,0.08222958844555844,True,CRC-associated,8
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.08051843123674263,0.08051843123674263,True,CRC-associated,9
All,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.07554656336857397,0.07554656336857397,True,Control-associated,10
