Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.4715841338281651,0.4715841338281651,True,CRC-associated,1
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.18444903243813268,0.18444903243813268,True,Control-associated,2
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.12241813991518387,0.12241813991518387,True,CRC-associated,3
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.11991807985921889,0.11991807985921889,True,CRC-associated,4
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.11131049859942733,0.11131049859942733,True,Control-associated,5
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.10976100506209814,0.10976100506209814,True,Control-associated,6
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,Streptococcus thermophilus,streptococcus thermophilus,-0.0870958043519215,0.0870958043519215,True,Control-associated,7
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,[Ruminococcus] torques,[ruminococcus] torques,0.0842066631068254,0.0842066631068254,True,CRC-associated,8
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.07925560717008483,0.07925560717008483,True,CRC-associated,9
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,Paraprevotella xylaniphila,paraprevotella xylaniphila,-0.07657120019505324,0.07657120019505324,True,Control-associated,10
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,Age,covariate,Age,Age,age,0.06844761112809365,0.06844761112809365,True,CRC-associated,11
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,Lachnospira pectinoschiza,lachnospira pectinoschiza,-0.06191078623701676,0.06191078623701676,True,Control-associated,12
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,Methanobrevibacter smithii,methanobrevibacter smithii,0.05900020592611881,0.05900020592611881,True,CRC-associated,13
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.04440832066973724,0.04440832066973724,True,Control-associated,14
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.04201359134764882,0.04201359134764882,True,CRC-associated,15
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Coprococcus comes,rCLR,Coprococcus comes,Coprococcus comes,coprococcus comes,-0.034296336471749345,0.034296336471749345,True,Control-associated,16
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.032264608832752874,0.032264608832752874,True,CRC-associated,17
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,PA_Roseburia intestinalis,PA,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.03220507137699847,0.03220507137699847,True,Control-associated,18
All,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.02765753975824537,0.02765753975824537,True,CRC-associated,19
