Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5337841136772439,0.5337841136772439,True,CRC-associated,1
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.23521201839419395,0.23521201839419395,True,CRC-associated,2
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.12967534528653654,0.12967534528653654,True,Control-associated,3
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.11513314088604265,0.11513314088604265,True,Control-associated,4
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.08000846804709968,0.08000846804709968,True,CRC-associated,5
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.048395063950118285,0.048395063950118285,True,CRC-associated,6
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,Age,covariate,Age,Age,age,0.04773866713208464,0.04773866713208464,True,CRC-associated,7
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.04380604841795714,0.04380604841795714,True,CRC-associated,8
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,PA_Escherichia coli,PA,Escherichia coli,Escherichia coli,escherichia coli,0.0394168177888446,0.0394168177888446,True,CRC-associated,9
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.030878470478433857,0.030878470478433857,True,Control-associated,10
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,Methanobrevibacter smithii,methanobrevibacter smithii,0.024973293206695533,0.024973293206695533,True,CRC-associated,11
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,PA_Roseburia intestinalis,PA,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.02487190947270933,0.02487190947270933,True,Control-associated,12
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,PA_Bacteroides fragilis,PA,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.020792428947743198,0.020792428947743198,True,CRC-associated,13
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,rCLR_Proteobacteria bacterium CAG:139,rCLR,Proteobacteria bacterium CAG:139,Proteobacteria bacterium CAG:139,proteobacteria bacterium cag:139,-0.0022777854228662525,0.0022777854228662525,True,Control-associated,14
All,LASSO_LogisticRegression,YachidaS_2019,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,PA_Bacteroides salyersiae,PA,Bacteroides salyersiae,Bacteroides salyersiae,bacteroides salyersiae,0.00019024512831267816,0.00019024512831267816,True,CRC-associated,15
