Arrangement,Model,Species_clean,Species_key,Species_MaxSelectionFrequency,Species_MaxTopKSelectionFrequency,Species_SumMeanAbsNonZeroCoef,Species_BestConsensusRank,N_Selected_FeatureTypes,Any_CRC_Associated,Any_Control_Associated,PA_MeanAbsNonZeroCoef,rCLR_MeanAbsNonZeroCoef,PA_SelectionFrequency,rCLR_SelectionFrequency,Dominant_Signal,SpeciesRank
All,LASSO_LogisticRegression,Parvimonas micra,parvimonas micra,1.0,1.0,0.5385733329976946,1,2,True,False,0.5246377306865514,0.013935602311143162,1.0,0.2,PA,1
All,LASSO_LogisticRegression,Streptococcus salivarius,streptococcus salivarius,1.0,1.0,0.1718544645580238,2,2,False,True,0.15567216969084174,0.01618229486718206,1.0,0.4,PA,2
All,LASSO_LogisticRegression,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,1.0,1.0,0.1580655924890484,3,2,True,False,0.009820098783556443,0.14824549370549195,0.1,1.0,rCLR,3
All,LASSO_LogisticRegression,Anaerostipes hadrus,anaerostipes hadrus,1.0,1.0,0.12926379436935048,4,2,False,True,0.0,0.12926379436935048,0.0,1.0,rCLR,4
All,LASSO_LogisticRegression,Dorea formicigenerans,dorea formicigenerans,1.0,1.0,0.07924053931356574,6,2,True,False,0.0,0.07924053931356574,0.0,1.0,rCLR,5
All,LASSO_LogisticRegression,Odoribacter splanchnicus,odoribacter splanchnicus,1.0,1.0,0.06424283317382407,7,2,True,False,0.0,0.06424283317382407,0.0,1.0,rCLR,6
All,LASSO_LogisticRegression,Roseburia intestinalis,roseburia intestinalis,1.0,0.9,0.06243050646547363,8,2,False,True,0.044510370556406255,0.01792013590906737,1.0,0.7,PA,7
All,LASSO_LogisticRegression,[Ruminococcus] torques,[ruminococcus] torques,0.9,0.9,0.09984408910639428,9,2,True,False,0.0,0.09984408910639428,0.0,0.9,rCLR,8
All,LASSO_LogisticRegression,Streptococcus thermophilus,streptococcus thermophilus,0.9,0.9,0.09568021315966502,11,2,False,True,0.014837834212151436,0.08084237894751357,0.2,0.9,rCLR,9
All,LASSO_LogisticRegression,Phocaeicola plebeius,phocaeicola plebeius,0.9,0.9,0.09054848811246383,10,2,True,False,0.09054848811246383,0.0,0.9,0.0,PA,10
All,LASSO_LogisticRegression,Flavonifractor plautii,flavonifractor plautii,0.9,0.8,0.08111539957342592,13,2,True,False,0.03183649929682739,0.04927890027659852,0.3,0.9,rCLR,11
All,LASSO_LogisticRegression,Eubacterium ventriosum,eubacterium ventriosum,0.9,0.9,0.07301868135630535,12,2,False,True,0.0,0.07301868135630535,0.0,0.9,rCLR,12
All,LASSO_LogisticRegression,Lachnospira eligens,lachnospira eligens,0.9,0.7,0.052616193757090195,16,2,False,True,0.018415310113405456,0.03420088364368474,0.4,0.9,rCLR,13
All,LASSO_LogisticRegression,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.9,0.9,0.045471344687775916,14,2,True,False,0.045471344687775916,0.0,0.9,0.0,PA,14
All,LASSO_LogisticRegression,Methanobrevibacter smithii,methanobrevibacter smithii,0.9,0.8,0.04153469697506321,15,2,True,False,0.04153469697506321,0.0,0.9,0.0,PA,15
All,LASSO_LogisticRegression,Eubacterium sp. CAG:38,eubacterium sp. cag:38,0.9,0.5,0.022592674404425438,17,2,False,True,0.022592674404425438,0.0,0.9,0.0,PA,16
All,LASSO_LogisticRegression,Paraprevotella xylaniphila,paraprevotella xylaniphila,0.8,0.7,0.05321470557028778,18,2,False,True,0.0,0.05321470557028778,0.0,0.8,rCLR,17
All,LASSO_LogisticRegression,Lachnospira pectinoschiza,lachnospira pectinoschiza,0.8,0.5,0.033387188200028665,19,2,False,True,0.0,0.033387188200028665,0.0,0.8,rCLR,18
All,LASSO_LogisticRegression,Bacteroides thetaiotaomicron,bacteroides thetaiotaomicron,0.8,0.4,0.027120587020752596,20,2,True,False,0.0,0.027120587020752596,0.0,0.8,rCLR,19
All,LASSO_LogisticRegression,Parabacteroides distasonis,parabacteroides distasonis,0.8,0.3,0.022149895901981607,21,2,True,False,0.0,0.022149895901981607,0.0,0.8,rCLR,20
All,LASSO_LogisticRegression,Eubacterium sp. CAG:180,eubacterium sp. cag:180,0.8,0.1,0.018175633785374866,22,2,True,False,0.018175633785374866,0.0,0.8,0.0,PA,21
All,LASSO_LogisticRegression,Collinsella aerofaciens,collinsella aerofaciens,0.7,0.5,0.032130614239503155,23,2,True,False,0.027140657186634044,0.004989957052869114,0.7,0.2,PA,22
All,LASSO_LogisticRegression,Bacteroides caccae,bacteroides caccae,0.7,0.1,0.026971918239385002,25,2,True,False,0.013334682969495668,0.013637235269889336,0.7,0.5,rCLR,23
All,LASSO_LogisticRegression,Faecalibacterium prausnitzii,faecalibacterium prausnitzii,0.6,0.2,0.01673006615541398,26,2,False,True,0.0,0.01673006615541398,0.0,0.6,rCLR,24
All,LASSO_LogisticRegression,Bifidobacterium bifidum,bifidobacterium bifidum,0.6,0.0,0.011376999252858443,27,2,False,True,0.011376999252858443,0.0,0.6,0.0,PA,25
All,LASSO_LogisticRegression,Ruminococcus bicirculans,ruminococcus bicirculans,0.6,0.0,0.011181782508319131,28,2,False,True,0.011181782508319131,0.0,0.6,0.0,PA,26
All,LASSO_LogisticRegression,Coprococcus comes,coprococcus comes,0.5,0.1,0.02102440334487611,29,2,False,True,0.0,0.02102440334487611,0.0,0.5,rCLR,27
All,LASSO_LogisticRegression,Parabacteroides merdae,parabacteroides merdae,0.3,0.1,0.021831622582921078,35,2,True,False,0.021831622582921078,0.0,0.3,0.0,PA,28
All,LASSO_LogisticRegression,Alistipes finegoldii,alistipes finegoldii,0.3,0.0,0.005445267225910564,36,2,True,False,0.0,0.005445267225910564,0.0,0.3,rCLR,29
All,LASSO_LogisticRegression,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,0.3,0.0,0.0019674640759286366,37,2,False,True,0.0,0.0019674640759286366,0.0,0.3,rCLR,30
All,LASSO_LogisticRegression,Bacteroides fragilis,bacteroides fragilis,0.2,0.1,0.052039950569562475,38,2,True,False,0.020792428947743198,0.031247521621819277,0.1,0.2,rCLR,31
All,LASSO_LogisticRegression,Roseburia faecis,roseburia faecis,0.2,0.1,0.022092764830892113,39,2,False,True,0.022092764830892113,0.0,0.2,0.0,PA,32
All,LASSO_LogisticRegression,Bifidobacterium longum,bifidobacterium longum,0.2,0.0,0.008744424385458995,42,2,False,True,0.0,0.008744424385458995,0.0,0.2,rCLR,33
All,LASSO_LogisticRegression,Clostridium sp. CAG:58,clostridium sp. cag:58,0.2,0.0,0.007798396109190886,43,2,True,False,0.007798396109190886,0.0,0.2,0.0,PA,34
All,LASSO_LogisticRegression,Butyricimonas virosa,butyricimonas virosa,0.2,0.0,0.007280674786953856,44,2,True,False,0.0,0.007280674786953856,0.0,0.2,rCLR,35
All,LASSO_LogisticRegression,Megamonas funiformis,megamonas funiformis,0.2,0.0,0.002929780839962159,46,2,True,False,0.002929780839962159,0.0,0.2,0.0,PA,36
All,LASSO_LogisticRegression,Escherichia coli,escherichia coli,0.1,0.1,0.0394168177888446,47,2,True,False,0.0394168177888446,0.0,0.1,0.0,PA,37
All,LASSO_LogisticRegression,Phocaeicola coprocola,phocaeicola coprocola,0.1,0.0,0.011207002130152103,49,2,True,False,0.011207002130152103,0.0,0.1,0.0,PA,38
All,LASSO_LogisticRegression,Prevotella copri,prevotella copri,0.1,0.0,0.0076291265082856575,51,2,True,False,0.0076291265082856575,0.0,0.1,0.0,PA,39
All,LASSO_LogisticRegression,Firmicutes bacterium CAG:110,firmicutes bacterium cag:110,0.1,0.0,0.005545366643245667,52,2,False,True,0.005545366643245667,0.0,0.1,0.0,PA,40
All,LASSO_LogisticRegression,Blautia sp. CAG:257,blautia sp. cag:257,0.1,0.0,0.005264180251031241,53,2,False,True,0.005264180251031241,0.0,0.1,0.0,PA,41
All,LASSO_LogisticRegression,Proteobacteria bacterium CAG:139,proteobacteria bacterium cag:139,0.1,0.1,0.0022777854228662525,54,2,False,True,0.0,0.0022777854228662525,0.0,0.1,rCLR,42
All,LASSO_LogisticRegression,Bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,0.1,0.0,0.0010554636155742515,55,2,False,True,0.0010554636155742515,0.0,0.1,0.0,PA,43
All,LASSO_LogisticRegression,Bacteroides salyersiae,bacteroides salyersiae,0.1,0.1,0.00019024512831267816,56,2,True,False,0.00019024512831267816,0.0,0.1,0.0,PA,44
All,LASSO_LogisticRegression,Acidaminococcus intestini,acidaminococcus intestini,0.0,0.0,0.0,57,2,False,False,0.0,0.0,0.0,0.0,PA,45
All,LASSO_LogisticRegression,Adlercreutzia equolifaciens,adlercreutzia equolifaciens,0.0,0.0,0.0,58,2,False,False,0.0,0.0,0.0,0.0,PA,46
All,LASSO_LogisticRegression,Adlercreutzia equolifaciens 1,adlercreutzia equolifaciens 1,0.0,0.0,0.0,59,2,False,False,0.0,0.0,0.0,0.0,PA,47
All,LASSO_LogisticRegression,Agathobaculum butyriciproducens,agathobaculum butyriciproducens,0.0,0.0,0.0,60,2,False,False,0.0,0.0,0.0,0.0,PA,48
All,LASSO_LogisticRegression,Akkermansia muciniphila,akkermansia muciniphila,0.0,0.0,0.0,61,2,False,False,0.0,0.0,0.0,0.0,PA,49
All,LASSO_LogisticRegression,Alistipes inops,alistipes inops,0.0,0.0,0.0,63,2,False,False,0.0,0.0,0.0,0.0,PA,50
All,LASSO_LogisticRegression,Alistipes putredinis,alistipes putredinis,0.0,0.0,0.0,64,2,False,False,0.0,0.0,0.0,0.0,PA,51
All,LASSO_LogisticRegression,Alistipes shahii,alistipes shahii,0.0,0.0,0.0,65,2,False,False,0.0,0.0,0.0,0.0,PA,52
