Arrangement,Model,Feature,Feature_Type,Species,Species_clean,Species_key,MeanCoefficient,MedianCoefficient,MeanAbsCoefficient,MedianAbsCoefficient,MaxAbsCoefficient,MeanAbsCoefRank,BestAbsCoefRank,N_Folds_Evaluated,N_Folds_NonZero,N_Positive,N_Negative,MeanNonZeroCoefficient,MeanAbsNonZeroCoefficient,N_Folds_TopK_NonZero,Total_Folds,SelectionFrequency,TopKSelectionFrequency,SignedConsistency,MeanAbsNonZeroCoef_Scaled,ConsensusScore,ConsensusDirection,ConsensusRank
OnlyFemale,LASSO_LogisticRegression,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.25614635541969966,0.25606269273297044,0.25614635541969966,0.25606269273297044,0.35503657238320085,1.0,1,10,10,10,0,0.25614635541969966,0.25614635541969966,10,10,1.0,1.0,1.0,1.0,1.0,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.029671074974519727,0.025208021975849492,0.029671074974519727,0.025208021975849492,0.06782967606969698,21.2,2,10,9,9,0,0.0329678610827997,0.0329678610827997,9,10,0.9,0.9,1.0,0.12870712538064952,0.7271767813451624,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.04588793626762131,0.039560033085887736,0.04588793626762131,0.039560033085887736,0.13251140641799858,27.7,2,10,8,8,0,0.05735992033452664,0.05735992033452664,8,10,0.8,0.8,1.0,0.22393416545217498,0.6959835413630437,CRC-associated,3
OnlyFemale,LASSO_LogisticRegression,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.04285382018393659,-0.05322236181938965,0.04285382018393659,0.05322236181938965,0.08124621429128898,24.4,2,10,8,0,8,-0.05356727522992074,0.05356727522992074,8,10,0.8,0.8,1.0,0.20912761043251993,0.69228190260813,Control-associated,4
OnlyFemale,LASSO_LogisticRegression,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.038454127202711214,0.04320360506676912,0.038454127202711214,0.04320360506676912,0.09145451543982927,10.0,2,10,8,8,0,0.04806765900338902,0.04806765900338902,8,10,0.8,0.8,1.0,0.18765700930871898,0.6869142523271798,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.012740801940018998,0.007457204653641664,0.012740801940018998,0.007457204653641664,0.042852042410408644,78.6,4,10,6,6,0,0.02123466990003166,0.02123466990003166,6,10,0.6,0.6,1.0,0.08290053498999951,0.5507251337474999,CRC-associated,6
OnlyFemale,LASSO_LogisticRegression,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,Anaerobutyricum hallii,anaerobutyricum hallii,-0.0050087329914537855,0.0,0.0050087329914537855,0.0,0.02315572782540787,87.9,4,10,3,0,3,-0.016695776638179286,0.016695776638179286,3,10,0.3,0.3,1.0,0.0651806136801088,0.38129515342002723,Control-associated,7
OnlyFemale,LASSO_LogisticRegression,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.0017679887232852735,0.0,0.0017679887232852735,0.0,0.013779072894888502,64.4,5,10,2,2,0,0.008839943616426368,0.008839943616426368,2,10,0.2,0.2,1.0,0.03451129961205963,0.31862782490301494,CRC-associated,8
OnlyFemale,LASSO_LogisticRegression,PA_[Ruminococcus] gnavus,PA,[Ruminococcus] gnavus,[Ruminococcus] gnavus,[ruminococcus] gnavus,0.0028814216193520123,0.0,0.0028814216193520123,0.0,0.028814216193520124,43.7,5,10,1,1,0,0.028814216193520124,0.028814216193520124,1,10,0.1,0.1,1.0,0.1124912206785359,0.283122805169634,CRC-associated,9
OnlyFemale,LASSO_LogisticRegression,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,bacteroides thetaiotaomicron,0.0016305724385108663,0.0,0.0016305724385108663,0.0,0.016305724385108664,125.5,4,10,1,1,0,0.016305724385108664,0.016305724385108664,1,10,0.1,0.1,1.0,0.0636578426360644,0.27091446065901614,CRC-associated,10
