Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
OnlyFemale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7177777777777778,0.6763858901227802,0.6666666666666666,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.24645284651182192,0.24645284651182192,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7177777777777778,0.6763858901227802,0.6666666666666666,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.054661569957329986,0.054661569957329986,True,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7177777777777778,0.6763858901227802,0.6666666666666666,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.04386717143885475,0.04386717143885475,True,CRC-associated,3
OnlyFemale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7177777777777778,0.6763858901227802,0.6666666666666666,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,bacteroides thetaiotaomicron,0.016305724385108664,0.016305724385108664,True,CRC-associated,4
OnlyFemale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7177777777777778,0.6763858901227802,0.6666666666666666,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.0037063653228335577,0.0037063653228335577,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.4789915966386554,0.325503663003663,0.0,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.2713458495575345,0.2713458495575345,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.4789915966386554,0.325503663003663,0.0,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.07794439862324017,0.07794439862324017,True,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.4789915966386554,0.325503663003663,0.0,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.05277311418464256,0.05277311418464256,True,Control-associated,3
OnlyFemale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.4789915966386554,0.325503663003663,0.0,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.04576125628616034,0.04576125628616034,True,CRC-associated,4
OnlyFemale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.4789915966386554,0.325503663003663,0.0,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.04566696758627212,0.04566696758627212,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.4789915966386554,0.325503663003663,0.0,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.012470167692356765,0.012470167692356765,True,CRC-associated,6
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7272727272727273,0.7493686868686869,0.5,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.2637845153485283,0.2637845153485283,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7272727272727273,0.7493686868686869,0.5,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.06730107778332095,0.06730107778332095,True,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7272727272727273,0.7493686868686869,0.5,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.060347314325827454,0.060347314325827454,True,CRC-associated,3
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7272727272727273,0.7493686868686869,0.5,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.054931940870143345,0.054931940870143345,True,Control-associated,4
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7272727272727273,0.7493686868686869,0.5,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.03525289473292073,0.03525289473292073,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7272727272727273,0.7493686868686869,0.5,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,Anaerobutyricum hallii,anaerobutyricum hallii,-0.02315572782540787,0.02315572782540787,True,Control-associated,6
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.7314814814814815,0.756432202510634,0.5333333333333333,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.24954887301056072,0.24954887301056072,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.7314814814814815,0.756432202510634,0.5333333333333333,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.09145451543982927,0.09145451543982927,True,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.7314814814814815,0.756432202510634,0.5333333333333333,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.08124621429128898,0.08124621429128898,True,Control-associated,3
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.7314814814814815,0.756432202510634,0.5333333333333333,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.052620259510519,0.052620259510519,True,CRC-associated,4
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.7314814814814815,0.756432202510634,0.5333333333333333,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.03780273212525827,0.03780273212525827,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.7314814814814815,0.756432202510634,0.5333333333333333,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.008339759947565957,0.008339759947565957,True,CRC-associated,6
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.7532894736842105,0.8254213178029188,0.6111111111111112,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.2625765124553801,0.2625765124553801,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.7532894736842105,0.8254213178029188,0.6111111111111112,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.06314910716663454,0.06314910716663454,True,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.7532894736842105,0.8254213178029188,0.6111111111111112,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.03117155268033051,0.03117155268033051,True,CRC-associated,3
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.7532894736842105,0.8254213178029188,0.6111111111111112,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.02409118374581992,0.02409118374581992,True,Control-associated,4
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.7532894736842105,0.8254213178029188,0.6111111111111112,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.019368667864882984,0.019368667864882984,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.7532894736842105,0.8254213178029188,0.6111111111111112,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,Anaerobutyricum hallii,anaerobutyricum hallii,-0.010297937202119285,0.010297937202119285,True,Control-associated,6
OnlyFemale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.7532894736842105,0.8254213178029188,0.6111111111111112,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.008130809515451285,0.008130809515451285,True,CRC-associated,7
OnlyFemale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6533333333333333,0.7052799625779165,0.3157894736842105,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.2814000503696292,0.2814000503696292,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6533333333333333,0.7052799625779165,0.3157894736842105,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.06410019185826711,0.06410019185826711,True,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6533333333333333,0.7052799625779165,0.3157894736842105,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.06195154806906019,0.06195154806906019,True,Control-associated,3
OnlyFemale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6533333333333333,0.7052799625779165,0.3157894736842105,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.042775021009730255,0.042775021009730255,True,CRC-associated,4
OnlyFemale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6533333333333333,0.7052799625779165,0.3157894736842105,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.042076284004133026,0.042076284004133026,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7589285714285715,0.7935569483631497,0.6666666666666666,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.211536148449817,0.211536148449817,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7589285714285715,0.7935569483631497,0.6666666666666666,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.03706576446791194,0.03706576446791194,True,Control-associated,2
OnlyFemale,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7589285714285715,0.7935569483631497,0.6666666666666666,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.020984546690865687,0.020984546690865687,True,CRC-associated,3
OnlyFemale,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7589285714285715,0.7935569483631497,0.6666666666666666,rCLR_Anaerobutyricum hallii,rCLR,Anaerobutyricum hallii,Anaerobutyricum hallii,anaerobutyricum hallii,-0.016633664887010697,0.016633664887010697,True,Control-associated,4
OnlyFemale,LASSO_LogisticRegression,WirbelJ_2018,0.03,0.7589285714285715,0.7935569483631497,0.6666666666666666,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.013779072894888502,0.013779072894888502,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,YachidaS_2019,0.03,0.59341102644554,0.5945910728314767,0.4473684210526316,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.20920958430448158,0.20920958430448158,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,YachidaS_2019,0.03,0.59341102644554,0.5945910728314767,0.4473684210526316,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.06782967606969698,0.06782967606969698,True,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,YachidaS_2019,0.03,0.59341102644554,0.5945910728314767,0.4473684210526316,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.05367160945413673,0.05367160945413673,True,Control-associated,3
OnlyFemale,LASSO_LogisticRegression,YachidaS_2019,0.03,0.59341102644554,0.5945910728314767,0.4473684210526316,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.042852042410408644,0.042852042410408644,True,CRC-associated,4
OnlyFemale,LASSO_LogisticRegression,YachidaS_2019,0.03,0.59341102644554,0.5945910728314767,0.4473684210526316,PA_[Ruminococcus] gnavus,PA,[Ruminococcus] gnavus,[Ruminococcus] gnavus,[ruminococcus] gnavus,0.028814216193520124,0.028814216193520124,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,YuJ_2015,0.03,0.7857142857142858,0.8700332812626231,0.782608695652174,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.21057260180604265,0.21057260180604265,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,YuJ_2015,0.03,0.7857142857142858,0.8700332812626231,0.782608695652174,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.06280682675636227,0.06280682675636227,True,Control-associated,2
OnlyFemale,LASSO_LogisticRegression,YuJ_2015,0.03,0.7857142857142858,0.8700332812626231,0.782608695652174,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.04363218912380798,0.04363218912380798,True,CRC-associated,3
OnlyFemale,LASSO_LogisticRegression,YuJ_2015,0.03,0.7857142857142858,0.8700332812626231,0.782608695652174,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.02141148741408226,0.02141148741408226,True,CRC-associated,4
OnlyFemale,LASSO_LogisticRegression,YuJ_2015,0.03,0.7857142857142858,0.8700332812626231,0.782608695652174,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,Bacteroides fragilis,bacteroides fragilis,0.011208043984449769,0.011208043984449769,True,CRC-associated,5
OnlyFemale,LASSO_LogisticRegression,YuJ_2015,0.03,0.7857142857142858,0.8700332812626231,0.782608695652174,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.007748419034831935,0.007748419034831935,True,CRC-associated,6
OnlyFemale,LASSO_LogisticRegression,YuJ_2015,0.03,0.7857142857142858,0.8700332812626231,0.782608695652174,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.003900814337964233,0.003900814337964233,True,CRC-associated,7
OnlyFemale,LASSO_LogisticRegression,ZellerG_2014,0.03,0.4393939393939394,0.46581138273630873,0.41509433962264153,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.35503657238320085,0.35503657238320085,True,CRC-associated,1
OnlyFemale,LASSO_LogisticRegression,ZellerG_2014,0.03,0.4393939393939394,0.46581138273630873,0.41509433962264153,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.13251140641799858,0.13251140641799858,True,CRC-associated,2
OnlyFemale,LASSO_LogisticRegression,ZellerG_2014,0.03,0.4393939393939394,0.46581138273630873,0.41509433962264153,PA_Flavonifractor plautii,PA,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.009577847226651344,0.009577847226651344,True,CRC-associated,3
OnlyFemale,LASSO_LogisticRegression,ZellerG_2014,0.03,0.4393939393939394,0.46581138273630873,0.41509433962264153,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.0018156606042003278,0.0018156606042003278,True,CRC-associated,4
