Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.4983413013993803,0.4983413013993803,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.13831865724432046,0.13831865724432046,True,Control-associated,2
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.10828703662803339,0.10828703662803339,True,CRC-associated,3
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.10333267329240794,0.10333267329240794,True,Control-associated,4
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,Age,covariate,Age,Age,age,0.09134867577879031,0.09134867577879031,True,CRC-associated,5
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.06059083283708356,0.06059083283708356,True,Control-associated,6
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.05140807636940874,0.05140807636940874,True,Control-associated,7
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.04333996498487159,0.04333996498487159,True,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.01308782253901218,0.01308782253901218,True,Control-associated,9
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.011805251092239392,0.011805251092239392,True,Control-associated,10
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,-0.007299272164165901,0.007299272164165901,True,Control-associated,11
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.0027198214164702826,0.0027198214164702826,True,CRC-associated,12
