Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5222759111704244,0.5222759111704244,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.1588475193031126,0.1588475193031126,True,Control-associated,2
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.12771472324878913,0.12771472324878913,True,Control-associated,3
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.10882767479514605,0.10882767479514605,True,CRC-associated,4
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.10471005809743401,0.10471005809743401,True,Control-associated,5
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,Age,covariate,Age,Age,age,0.07192726858975546,0.07192726858975546,True,CRC-associated,6
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.060120246772948645,0.060120246772948645,True,Control-associated,7
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.05434324856719878,0.05434324856719878,True,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,PA_Akkermansia muciniphila,PA,Akkermansia muciniphila,Akkermansia muciniphila,akkermansia muciniphila,0.046000677908793454,0.046000677908793454,True,CRC-associated,9
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.042516612853973595,0.042516612853973595,True,CRC-associated,10
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,PA_Bifidobacterium pseudocatenulatum,PA,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,-0.014747898007529342,0.014747898007529342,True,Control-associated,11
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.010907668791666818,0.010907668791666818,True,Control-associated,12
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.0031194103656585,0.0031194103656585,True,CRC-associated,13
