Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.46273482301994334,0.46273482301994334,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.13119749350058502,0.13119749350058502,True,Control-associated,2
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.10501292406975471,0.10501292406975471,True,CRC-associated,3
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.08926192987975985,0.08926192987975985,True,CRC-associated,4
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.06764118127581878,0.06764118127581878,True,Control-associated,5
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.06012581394070883,0.06012581394070883,True,Control-associated,6
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.033627323796859086,0.033627323796859086,True,Control-associated,7
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,Paraprevotella xylaniphila,paraprevotella xylaniphila,-0.022704096553628973,0.022704096553628973,True,Control-associated,8
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,Methanobrevibacter smithii,methanobrevibacter smithii,0.018373778737804377,0.018373778737804377,True,CRC-associated,9
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,Age,covariate,Age,Age,age,0.01759934435527332,0.01759934435527332,True,CRC-associated,10
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,rCLR_Roseburia faecis,rCLR,Roseburia faecis,Roseburia faecis,roseburia faecis,-0.008654254186428408,0.008654254186428408,True,Control-associated,11
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.008155996567744923,0.008155996567744923,True,CRC-associated,12
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,PA_Bifidobacterium pseudocatenulatum,PA,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,-0.006023081107948813,0.006023081107948813,True,Control-associated,13
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,Bacteroides caccae,bacteroides caccae,0.0051558676191702036,0.0051558676191702036,True,CRC-associated,14
OnlyMale,LASSO_LogisticRegression,YuJ_2015,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.002418619423790965,0.002418619423790965,True,Control-associated,15
