Arrangement,Model,Feature,Feature_Type,Species,Species_clean,Species_key,MeanCoefficient,MedianCoefficient,MeanAbsCoefficient,MedianAbsCoefficient,MaxAbsCoefficient,MeanAbsCoefRank,BestAbsCoefRank,N_Folds_Evaluated,N_Folds_NonZero,N_Positive,N_Negative,MeanNonZeroCoefficient,MeanAbsNonZeroCoefficient,N_Folds_TopK_NonZero,Total_Folds,SelectionFrequency,TopKSelectionFrequency,SignedConsistency,MeanAbsNonZeroCoef_Scaled,ConsensusScore,ConsensusDirection,ConsensusRank
OnlyMale,LASSO_LogisticRegression,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5026422115997258,0.4989804462869695,0.5026422115997258,0.4989804462869695,0.5512028654830708,1.0,1,10,10,10,0,0.5026422115997258,0.5026422115997258,10,10,1.0,1.0,1.0,1.0,1.0,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.11612236475737783,-0.1283538057615391,0.11612236475737783,0.1283538057615391,0.1588475193031126,2.7,2,10,10,0,10,-0.11612236475737783,0.11612236475737783,10,10,1.0,1.0,1.0,0.23102390145030388,0.807755975362576,Control-associated,2
OnlyMale,LASSO_LogisticRegression,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.11584480205832759,0.11241272883764127,0.11584480205832759,0.11241272883764127,0.17082477055203943,2.9,2,10,10,10,0,0.11584480205832759,0.11584480205832759,10,10,1.0,1.0,1.0,0.23047169414927585,0.8076179235373191,CRC-associated,3
OnlyMale,LASSO_LogisticRegression,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.09421837755583498,-0.0973265726015161,0.09421837755583498,0.0973265726015161,0.14692010051053478,3.7,2,10,10,0,10,-0.09421837755583498,0.09421837755583498,10,10,1.0,1.0,1.0,0.18744621001083941,0.7968615525027098,Control-associated,4
OnlyMale,LASSO_LogisticRegression,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.057383099020388496,-0.06008851423240361,0.057383099020388496,0.06008851423240361,0.09075201545476791,5.9,4,10,10,0,10,-0.057383099020388496,0.057383099020388496,10,10,1.0,1.0,1.0,0.11416291289535581,0.778540728223839,Control-associated,5
OnlyMale,LASSO_LogisticRegression,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.054376225918073576,0.04884160677603518,0.054376225918073576,0.04884160677603518,0.10501292406975471,23.3,3,10,9,9,0,0.06041802879785953,0.06041802879785953,9,10,0.9,0.9,1.0,0.12020086535424691,0.7250502163385617,CRC-associated,6
OnlyMale,LASSO_LogisticRegression,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.054142593740215794,-0.05850673699916628,0.054142593740215794,0.05850673699916628,0.10471005809743401,18.8,5,10,9,0,9,-0.06015843748912866,0.06015843748912866,9,10,0.9,0.9,1.0,0.11968441189542443,0.7249211029738563,Control-associated,7
OnlyMale,LASSO_LogisticRegression,Age,covariate,Age,Age,age,0.04247658847849326,0.04202013441025865,0.04247658847849326,0.04202013441025865,0.09134867577879031,29.5,5,10,9,9,0,0.047196209420548065,0.047196209420548065,9,10,0.9,0.9,1.0,0.09389623141745267,0.7184740578543631,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.009922502688395566,-0.010457927027750225,0.009922502688395566,0.010457927027750225,0.02066855259426561,27.3,9,10,8,0,8,-0.012403128360494457,0.012403128360494457,8,10,0.8,0.8,1.0,0.024675859039016736,0.6461689647597543,Control-associated,9
OnlyMale,LASSO_LogisticRegression,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.023930896141059938,0.027018883782226336,0.023930896141059938,0.027018883782226336,0.04719456411594883,18.9,6,10,7,7,0,0.034186994487228485,0.034186994487228485,7,10,0.7,0.7,1.0,0.0680145711965253,0.6020036427991313,CRC-associated,10
