Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.4895012069084885,0.4895012069084885,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.13167197339742637,0.13167197339742637,True,Control-associated,2
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.1127784714278242,0.1127784714278242,True,CRC-associated,3
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.08040599185234006,0.08040599185234006,True,Control-associated,4
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.07368262027101052,0.07368262027101052,True,Control-associated,5
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.07350834409690728,0.07350834409690728,True,CRC-associated,6
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.07222861872268663,0.07222861872268663,True,Control-associated,7
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,Age,covariate,Age,Age,age,0.06346342296348985,0.06346342296348985,True,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,Paraprevotella xylaniphila,paraprevotella xylaniphila,-0.05775479924180677,0.05775479924180677,True,Control-associated,9
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,PA_Bifidobacterium pseudocatenulatum,PA,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,-0.03729073922367244,0.03729073922367244,True,Control-associated,10
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.02977662079207032,0.02977662079207032,True,CRC-associated,11
OnlyMale,LASSO_LogisticRegression,FengQ_2015,0.03,0.7123015873015872,0.6791714255762785,0.6,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,Lachnospira pectinoschiza,lachnospira pectinoschiza,-0.0014055053300345958,0.0014055053300345958,True,Control-associated,12
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5434628719121744,0.5434628719121744,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.10716010583774724,0.10716010583774724,True,CRC-associated,2
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.09939795636831336,0.09939795636831336,True,Control-associated,3
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.0964760259689313,0.0964760259689313,True,Control-associated,4
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.09061751430332916,0.09061751430332916,True,CRC-associated,5
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.08636772364623503,0.08636772364623503,True,Control-associated,6
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.07879921712446399,0.07879921712446399,True,Control-associated,7
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,Age,covariate,Age,Age,age,0.0720159913999134,0.0720159913999134,True,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.034185508437915506,0.034185508437915506,True,CRC-associated,9
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.019539929255960337,0.019539929255960337,True,CRC-associated,10
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.018581476355780023,0.018581476355780023,True,Control-associated,11
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,-0.018375643199918815,0.018375643199918815,True,Control-associated,12
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,Paraprevotella xylaniphila,paraprevotella xylaniphila,-0.014055628658963948,0.014055628658963948,True,Control-associated,13
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,PA_Bacteroides salyersiae,PA,Bacteroides salyersiae,Bacteroides salyersiae,bacteroides salyersiae,0.012133534036771206,0.012133534036771206,True,CRC-associated,14
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Roseburia faecis,rCLR,Roseburia faecis,Roseburia faecis,roseburia faecis,-0.00428653252641155,0.00428653252641155,True,Control-associated,15
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,Bacteroides caccae,bacteroides caccae,0.00406164364076618,0.00406164364076618,True,CRC-associated,16
OnlyMale,LASSO_LogisticRegression,HanniganGD_2017,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,PA_Clostridium sp. CAG:58,PA,Clostridium sp. CAG:58,Clostridium sp. CAG:58,clostridium sp. cag:58,0.0031901951729448137,0.0031901951729448137,True,CRC-associated,17
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5322735509505497,0.5322735509505497,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.11848829831536961,0.11848829831536961,True,CRC-associated,2
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.11599875856610627,0.11599875856610627,True,Control-associated,3
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.08599901127649125,0.08599901127649125,True,Control-associated,4
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.056422641161248996,0.056422641161248996,True,Control-associated,5
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.05272987872255453,0.05272987872255453,True,Control-associated,6
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.03615713475744464,0.03615713475744464,True,CRC-associated,7
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,Methanobrevibacter smithii,methanobrevibacter smithii,0.030478747231936307,0.030478747231936307,True,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.0284370329509622,0.0284370329509622,True,CRC-associated,9
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,-0.02693368969978775,0.02693368969978775,True,Control-associated,10
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,Age,covariate,Age,Age,age,0.02404685218390061,0.02404685218390061,True,CRC-associated,11
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.02066855259426561,0.02066855259426561,True,Control-associated,12
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,Paraprevotella xylaniphila,paraprevotella xylaniphila,-0.019704454831720238,0.019704454831720238,True,Control-associated,13
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018a,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.0166425471488018,0.0166425471488018,True,CRC-associated,14
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.48724308321483434,0.48724308321483434,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.13183086553603102,0.13183086553603102,True,Control-associated,2
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.11676972580854884,0.11676972580854884,True,CRC-associated,3
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.09075201545476791,0.09075201545476791,True,Control-associated,4
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.09070552000427409,0.09070552000427409,True,Control-associated,5
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.062176313292704226,0.062176313292704226,True,Control-associated,6
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.05972585041700406,0.05972585041700406,True,CRC-associated,7
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,Age,covariate,Age,Age,age,0.05163969248391015,0.05163969248391015,True,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.03344930225447517,0.03344930225447517,True,CRC-associated,9
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.025600734613490474,0.025600734613490474,True,CRC-associated,10
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,-0.022398938700935116,0.022398938700935116,True,Control-associated,11
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,Paraprevotella xylaniphila,paraprevotella xylaniphila,-0.02105505016034094,0.02105505016034094,True,Control-associated,12
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.013657718794784196,0.013657718794784196,True,Control-associated,13
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,PA_Bacteroides salyersiae,PA,Bacteroides salyersiae,Bacteroides salyersiae,bacteroides salyersiae,0.0069877018493112375,0.0069877018493112375,True,CRC-associated,14
OnlyMale,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,Lachnospira pectinoschiza,lachnospira pectinoschiza,-0.0043872488255261915,0.0043872488255261915,True,Control-associated,15
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.4983413013993803,0.4983413013993803,True,CRC-associated,1
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.13831865724432046,0.13831865724432046,True,Control-associated,2
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.10828703662803339,0.10828703662803339,True,CRC-associated,3
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.10333267329240794,0.10333267329240794,True,Control-associated,4
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,Age,covariate,Age,Age,age,0.09134867577879031,0.09134867577879031,True,CRC-associated,5
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.06059083283708356,0.06059083283708356,True,Control-associated,6
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.05140807636940874,0.05140807636940874,True,Control-associated,7
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.04333996498487159,0.04333996498487159,True,CRC-associated,8
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,PA_Bifidobacterium bifidum,PA,Bifidobacterium bifidum,Bifidobacterium bifidum,bifidobacterium bifidum,-0.01308782253901218,0.01308782253901218,True,Control-associated,9
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.011805251092239392,0.011805251092239392,True,Control-associated,10
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,-0.007299272164165901,0.007299272164165901,True,Control-associated,11
OnlyMale,LASSO_LogisticRegression,ThomasAM_2019_c,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.0027198214164702826,0.0027198214164702826,True,CRC-associated,12
OnlyMale,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5222759111704244,0.5222759111704244,True,CRC-associated,1
