Arrangement,Model,Species_clean,Species_key,Species_MaxSelectionFrequency,Species_MaxTopKSelectionFrequency,Species_SumMeanAbsNonZeroCoef,Species_BestConsensusRank,N_Selected_FeatureTypes,Any_CRC_Associated,Any_Control_Associated,PA_MeanAbsNonZeroCoef,rCLR_MeanAbsNonZeroCoef,PA_SelectionFrequency,rCLR_SelectionFrequency,Dominant_Signal,SpeciesRank
OnlyMale,LASSO_LogisticRegression,Parvimonas micra,parvimonas micra,1.0,1.0,0.5026422115997258,1,2,True,False,0.5026422115997258,0.0,1.0,0.0,PA,1
OnlyMale,LASSO_LogisticRegression,Streptococcus salivarius,streptococcus salivarius,1.0,1.0,0.11612236475737783,2,2,False,True,0.11612236475737783,0.0,1.0,0.0,PA,2
OnlyMale,LASSO_LogisticRegression,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,1.0,1.0,0.11584480205832759,3,2,True,False,0.0,0.11584480205832759,0.0,1.0,rCLR,3
OnlyMale,LASSO_LogisticRegression,Eubacterium ventriosum,eubacterium ventriosum,1.0,1.0,0.09421837755583498,4,2,False,True,0.0,0.09421837755583498,0.0,1.0,rCLR,4
OnlyMale,LASSO_LogisticRegression,Lachnospira eligens,lachnospira eligens,1.0,1.0,0.057383099020388496,5,2,False,True,0.0,0.057383099020388496,0.0,1.0,rCLR,5
OnlyMale,LASSO_LogisticRegression,Odoribacter splanchnicus,odoribacter splanchnicus,0.9,0.9,0.06041802879785953,6,2,True,False,0.0,0.06041802879785953,0.0,0.9,rCLR,6
OnlyMale,LASSO_LogisticRegression,Roseburia intestinalis,roseburia intestinalis,0.9,0.9,0.06015843748912866,7,2,False,True,0.0,0.06015843748912866,0.0,0.9,rCLR,7
OnlyMale,LASSO_LogisticRegression,Bifidobacterium bifidum,bifidobacterium bifidum,0.8,0.8,0.012403128360494457,9,2,False,True,0.012403128360494457,0.0,0.8,0.0,PA,8
OnlyMale,LASSO_LogisticRegression,Collinsella aerofaciens,collinsella aerofaciens,0.7,0.7,0.034186994487228485,10,2,True,False,0.034186994487228485,0.0,0.7,0.0,PA,9
OnlyMale,LASSO_LogisticRegression,Paraprevotella xylaniphila,paraprevotella xylaniphila,0.6,0.6,0.025218866451266166,11,2,False,True,0.0,0.025218866451266166,0.0,0.6,rCLR,10
