Arrangement,Model,Species_clean,Species_key,Species_MaxSelectionFrequency,Species_MaxTopKSelectionFrequency,Species_SumMeanAbsNonZeroCoef,Species_BestConsensusRank,N_Selected_FeatureTypes,Any_CRC_Associated,Any_Control_Associated,PA_MeanAbsNonZeroCoef,rCLR_MeanAbsNonZeroCoef,PA_SelectionFrequency,rCLR_SelectionFrequency,Dominant_Signal,SpeciesRank,In_Phase3_1_BlockedWilcoxon_rCLR,In_Phase3_2_CMH_PA,In_Phase3_3_MetaAnalysis_rCLR,In_Any_Formal_Phase3,In_2plus_Formal_Phase3,N_Formal_Phase3_Supports,Species_clean_phase35,categories,is_early,is_late,is_progression,is_ordered_increasing,is_ordered_decreasing,best_trend_direction,best_trend_q
OnlyMale,LASSO_LogisticRegression,Parvimonas micra,parvimonas micra,1.0,1.0,0.5026422115997258,1,2,True,False,0.5026422115997258,0.0,1.0,0.0,PA,1,True,True,False,True,True,2,Parvimonas micra,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Streptococcus salivarius,streptococcus salivarius,1.0,1.0,0.11612236475737783,2,2,False,True,0.11612236475737783,0.0,1.0,0.0,PA,2,False,True,False,True,False,1,Streptococcus salivarius,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,1.0,1.0,0.11584480205832759,3,2,True,False,0.0,0.11584480205832759,0.0,1.0,rCLR,3,False,False,True,True,False,1,Ruthenibacterium lactatiformans,LATE;ORDERED_INCREASING,False,True,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Eubacterium ventriosum,eubacterium ventriosum,1.0,1.0,0.09421837755583498,4,2,False,True,0.0,0.09421837755583498,0.0,1.0,rCLR,4,True,False,True,True,True,2,Eubacterium ventriosum,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Lachnospira eligens,lachnospira eligens,1.0,1.0,0.057383099020388496,5,2,False,True,0.0,0.057383099020388496,0.0,1.0,rCLR,5,True,False,True,True,True,2,Lachnospira eligens,EARLY,True,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Odoribacter splanchnicus,odoribacter splanchnicus,0.9,0.9,0.06041802879785953,6,2,True,False,0.0,0.06041802879785953,0.0,0.9,rCLR,6,True,False,True,True,True,2,Odoribacter splanchnicus,LATE;PROGRESSION,False,True,True,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Roseburia intestinalis,roseburia intestinalis,0.9,0.9,0.06015843748912866,7,2,False,True,0.0,0.06015843748912866,0.0,0.9,rCLR,7,True,True,False,True,True,2,Roseburia intestinalis,EARLY,True,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Bifidobacterium bifidum,bifidobacterium bifidum,0.8,0.8,0.012403128360494457,9,2,False,True,0.012403128360494457,0.0,0.8,0.0,PA,8,False,True,False,True,False,1,Bifidobacterium bifidum,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Collinsella aerofaciens,collinsella aerofaciens,0.7,0.7,0.034186994487228485,10,2,True,False,0.034186994487228485,0.0,0.7,0.0,PA,9,False,True,False,True,False,1,Collinsella aerofaciens,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Paraprevotella xylaniphila,paraprevotella xylaniphila,0.6,0.6,0.025218866451266166,11,2,False,True,0.0,0.025218866451266166,0.0,0.6,rCLR,10,False,False,False,False,False,0,Paraprevotella xylaniphila,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
