Arrangement,Study,N_train,N_test,Selected_C,AUC,AUPRC,F1,N_nonzero_features,Percent_nonzero_features,N_features_total,CV_folds_used_for_C
All,FengQ_2015,1228,107,0.03,0.7523164647184604,0.7225632187442682,0.6265060240963856,28,12.962962962962964,216,0
All,HanniganGD_2017,1280,55,0.03,0.6018518518518519,0.5735906348094263,0.06896551724137931,36,16.666666666666668,216,0
All,ThomasAM_2018a,1282,53,0.03,0.7169540229885057,0.7674855335808639,0.7352941176470589,34,15.74074074074074,216,0
All,ThomasAM_2018b,1275,60,0.03,0.8046874999999999,0.8587348243585373,0.625,38,17.59259259259259,216,0
All,ThomasAM_2019_c,1255,80,0.03,0.8412499999999999,0.8569197027879785,0.7674418604651163,32,14.814814814814815,216,0
All,VogtmannE_2016,1231,104,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,30,13.88888888888889,216,0
All,WirbelJ_2018,1210,125,0.03,0.7741025641025642,0.8123156772381174,0.7037037037037037,34,15.74074074074074,216,0
All,YachidaS_2019,826,509,0.03,0.6646128663640014,0.6747118905963487,0.539906103286385,15,6.944444444444445,216,0
All,YuJ_2015,1207,128,0.03,0.8453453453453453,0.9019911835738469,0.8085106382978723,28,12.962962962962964,216,0
All,ZellerG_2014,1221,114,0.03,0.6801732137333746,0.6603605172641442,0.6666666666666666,28,12.962962962962964,216,0
OnlyMale,FengQ_2015,733,64,0.03,0.7123015873015872,0.6791714255762785,0.6,12,5.5813953488372094,215,0
OnlyMale,HanniganGD_2017,766,31,0.03,0.5909090909090909,0.7724495119240249,0.09523809523809523,17,7.906976744186046,215,0
OnlyMale,ThomasAM_2018a,761,36,0.03,0.7591973244147157,0.8657501900465567,0.5945945945945946,14,6.511627906976744,215,0
OnlyMale,ThomasAM_2018b,758,39,0.03,0.8260869565217392,0.9027186784943528,0.6857142857142857,15,6.976744186046512,215,0
OnlyMale,ThomasAM_2019_c,752,45,0.03,0.8630952380952381,0.8353806779469888,0.7804878048780488,12,5.5813953488372094,215,0
OnlyMale,VogtmannE_2016,723,74,0.03,0.5814463111760408,0.6155004821897117,0.41509433962264153,13,6.046511627906977,215,0
OnlyMale,WirbelJ_2018,724,73,0.03,0.8003003003003003,0.850605898008823,0.6984126984126984,15,6.976744186046512,215,0
OnlyMale,YachidaS_2019,500,297,0.03,0.6763564121300695,0.6977843450642618,0.549800796812749,5,2.3255813953488373,215,0
OnlyMale,YuJ_2015,716,81,0.03,0.8409090909090909,0.9004526933952341,0.7727272727272727,15,6.976744186046512,215,0
OnlyMale,ZellerG_2014,740,57,0.03,0.7352216748768473,0.7289542564798885,0.7076923076923077,15,6.976744186046512,215,0
OnlyFemale,FengQ_2015,495,43,0.03,0.7177777777777778,0.6763858901227802,0.6666666666666666,5,2.3255813953488373,215,0
OnlyFemale,HanniganGD_2017,514,24,0.03,0.4789915966386554,0.325503663003663,0.0,6,2.7906976744186047,215,0
OnlyFemale,ThomasAM_2018a,521,17,0.03,0.7272727272727273,0.7493686868686869,0.5,6,2.7906976744186047,215,0
OnlyFemale,ThomasAM_2018b,517,21,0.03,0.7314814814814815,0.756432202510634,0.5333333333333333,6,2.7906976744186047,215,0
OnlyFemale,ThomasAM_2019_c,503,35,0.03,0.7532894736842105,0.8254213178029188,0.6111111111111112,7,3.255813953488372,215,0
OnlyFemale,VogtmannE_2016,508,30,0.03,0.6533333333333333,0.7052799625779165,0.3157894736842105,5,2.3255813953488373,215,0
OnlyFemale,WirbelJ_2018,486,52,0.03,0.7589285714285715,0.7935569483631497,0.6666666666666666,5,2.3255813953488373,215,0
OnlyFemale,YachidaS_2019,326,212,0.03,0.59341102644554,0.5945910728314767,0.4473684210526316,5,2.3255813953488373,215,0
OnlyFemale,YuJ_2015,491,47,0.03,0.7857142857142858,0.8700332812626231,0.782608695652174,7,3.255813953488372,215,0
OnlyFemale,ZellerG_2014,481,57,0.03,0.4393939393939394,0.46581138273630873,0.41509433962264153,4,1.8604651162790697,215,0
