Subgroup,Value,N_Samples,AUC
Age_Group,>65,564,0.7165612348178138
Age_Group,<50,206,0.6820612542537677
Age_Group,50-65,564,0.6769025702932449
Gender,Male,797,0.7145008415271503
Gender,Female,538,0.6728146548721877
Study,ThomasAM_2019_c,80,0.8781249999999999
Study,FengQ_2015,107,0.7815395580898076
Study,YuJ_2015,128,0.7785285285285285
Study,ZellerG_2014,114,0.7695638725641818
Study,WirbelJ_2018,125,0.7520512820512821
Study,ThomasAM_2018a,53,0.7413793103448275
Study,ThomasAM_2018b,60,0.6997767857142857
Study,YachidaS_2019,509,0.6550696439050001
Study,VogtmannE_2016,104,0.6079881656804733
Study,HanniganGD_2017,55,0.5119047619047619
