contrast,study,feature,n_group1_in_study,n_group0_in_study,mean_diff_clr_in_study
CRC_vs_Control__within_Male,FengQ_2015,Romboutsia,28,36,-1.0318876080886783
CRC_vs_Control__within_Male,GuptaA_2019,Romboutsia,18,12,-0.534717887311779
CRC_vs_Control__within_Male,HanniganGD_2017,Romboutsia,20,11,-0.07816965041907808
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Romboutsia,20,62,-0.1467527192060296
CRC_vs_Control__within_Male,SINHA_CRC_2016,Romboutsia,25,56,0.014897845100303786
CRC_vs_Control__within_Male,ThomasAM_2018a,Romboutsia,23,13,0.06634333938206494
CRC_vs_Control__within_Male,ThomasAM_2018b,Romboutsia,23,16,-0.35158672120070156
CRC_vs_Control__within_Male,ThomasAM_2019_c,Romboutsia,21,24,-1.210142853884689
CRC_vs_Control__within_Male,VogtmannE_2016,Romboutsia,37,37,-0.13164812003368365
CRC_vs_Control__within_Male,WirbelJ_2018,Romboutsia,36,37,-0.5558299350300393
CRC_vs_Control__within_Male,YachidaS_2019,Romboutsia,161,136,-0.3401046552272686
CRC_vs_Control__within_Male,YuJ_2015,Romboutsia,48,33,-0.884414133574275
CRC_vs_Control__within_Male,ZellerG_2014,Romboutsia,29,28,-0.49711655042792513
CRC_vs_Control__within_Male,FengQ_2015,Parvimonas,28,36,1.89752822207301
CRC_vs_Control__within_Male,GuptaA_2019,Parvimonas,18,12,0.8848535982023036
CRC_vs_Control__within_Male,HanniganGD_2017,Parvimonas,20,11,-0.15772036040756876
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Parvimonas,20,62,-0.1467527192060296
CRC_vs_Control__within_Male,SINHA_CRC_2016,Parvimonas,25,56,0.014897845100303786
CRC_vs_Control__within_Male,ThomasAM_2018a,Parvimonas,23,13,0.3455237779520619
CRC_vs_Control__within_Male,ThomasAM_2018b,Parvimonas,23,16,2.254184152208232
CRC_vs_Control__within_Male,ThomasAM_2019_c,Parvimonas,21,24,1.991680177902134
CRC_vs_Control__within_Male,VogtmannE_2016,Parvimonas,37,37,1.2317848513358167
CRC_vs_Control__within_Male,WirbelJ_2018,Parvimonas,36,37,2.0204859766375938
CRC_vs_Control__within_Male,YachidaS_2019,Parvimonas,161,136,0.9817204133773214
CRC_vs_Control__within_Male,YuJ_2015,Parvimonas,48,33,2.653055444177962
CRC_vs_Control__within_Male,ZellerG_2014,Parvimonas,29,28,2.258156338152178
CRC_vs_Control__within_Male,FengQ_2015,Ruthenibacterium,28,36,-0.08135824896357091
CRC_vs_Control__within_Male,GuptaA_2019,Ruthenibacterium,18,12,2.690595925130466
CRC_vs_Control__within_Male,HanniganGD_2017,Ruthenibacterium,20,11,-0.6842853932945432
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Ruthenibacterium,20,62,-0.24032838147624452
CRC_vs_Control__within_Male,SINHA_CRC_2016,Ruthenibacterium,25,56,0.014897845100303786
