contrast,group1_label,group0_label,n_group1,n_group0,feature,mean_group1,mean_group0,median_group1,median_group0,mean_diff_clr,median_diff_clr,abs_mean_diff,ranksum_stat,p_value,rank_biserial,fdr_bh,significant_fdr_0_05
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Slackia,-0.8819584527101565,-1.4327968609942616,-1.3817117019703566,-1.9905301971181684,0.5508384082841051,0.6088184951478117,0.5508384082841051,3.7663847595885764,0.0001656284807349316,0.14756944444444442,0.007536095873439387,True
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Allisonella,-1.707168179779086,-2.1240196355355825,-1.8005297493483514,-2.3378668954694235,0.4168514557564964,0.5373371461210721,0.4168514557564964,3.783365994151005,0.0001547216425954842,0.14823478043912175,0.007536095873439387,True
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Acidaminococcus,-1.0783974433430539,-1.6721584866122914,-1.854845827397428,-2.3120301763413376,0.5937610432692375,0.4571843489439096,0.5937610432692375,2.9210376765276957,0.0034886763505437316,0.1144481869594145,0.10582318263315986,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Holdemanella,-0.9935806316595565,-1.4862640695727647,-1.613757087795463,-2.165568634559339,0.49268343791320823,0.5518115467638758,0.49268343791320823,2.815966287672671,0.004863076941421436,0.11033142049234868,0.11063500041733766,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Akkermansia,-0.2934719702085254,0.4293931974861442,-0.9728976410592614,-0.7674627229802744,-0.7228651676946696,-0.20543491807898695,0.7228651676946696,-2.704261604066698,0.006845637116969661,-0.10595475715236191,0.12459059552884784,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Eisenbergiella,-1.224171822798006,-0.8151508257570569,-1.437205173210236,-1.137909854892184,-0.4090209970409492,-0.299295318318052,0.4090209970409492,-2.4147846211353037,0.015744516578160096,-0.09461285761809712,0.23879183476876145,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Ruthenibacterium,0.9873620587222794,1.3186659149055393,1.0328558161137589,1.5512150692655515,-0.33130385618325986,-0.5183592531517927,0.33130385618325986,-2.34049171992468,0.019258365443678035,-0.09170201264138389,0.24869662055435315,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Turicimonas,-1.7791670982579106,-1.5502616419191766,-1.9339355885497265,-1.5975042745043506,-0.22890545633873405,-0.33643131404537585,0.22890545633873405,-2.292731997717851,0.021863439169613464,-0.08983075515635397,0.24869662055435315,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Megamonas,-1.337045157980992,-1.9018303035898965,-2.174373289685668,-2.409593917263697,0.5647851456089044,0.23522062757802908,0.5647851456089044,2.227460377368517,0.025916521083192794,0.08727336992681312,0.26204482428561604,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Gordonibacter,-0.21172541480958462,0.09853821143978307,-0.7122228318064465,-0.273597923044151,-0.3102636262493677,-0.43862490876229554,0.3102636262493677,-2.1298182786345548,0.03318661901630021,-0.08344768795741853,0.3019982330483319,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Prevotella,1.67429005587871,1.047434200858569,0.1068615275001745,-0.36411681216788727,0.6268558550201409,0.4709783396680618,0.6268558550201409,2.060566681434652,0.03934439816654599,0.08073436460412498,0.3254854757414259,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Alistipes,3.2050793281395067,3.4967598221946257,4.231175048997764,4.45902782270435,-0.291680494055119,-0.2278527737065854,0.291680494055119,-1.8658131475468032,0.06206751222925268,-0.07310379241516962,0.4344725856047687,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Lawsonibacter,0.21816175905925803,0.46501496926477603,0.3525835903154126,0.5332578243550372,-0.246853210205518,-0.18067423403962463,0.246853210205518,-1.871915778717676,0.06121825627245658,-0.07334289753825685,0.4344725856047687,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Paraprevotella,-0.9040199699347665,-1.1975453765917685,-1.5353201183354963,-1.9482138811832241,0.293525406657002,0.41289376284772783,0.293525406657002,1.6883061800114205,0.09135246952418632,0.06614895209580829,0.5589299995997561,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Anaeromassilibacillus,-1.403562333372445,-1.1165963799337961,-1.437205173210236,-1.2987704693599487,-0.28696595343864884,-0.13843470385028733,0.28696595343864884,-1.6532823837264121,0.09827340652303404,-0.06477669660678642,0.5589299995997561,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Veillonella,-0.06028012707203503,0.20113146776201554,-0.6560457016772494,-0.3948643243862495,-0.2614115948340506,-0.2611813772909999,0.2614115948340506,-1.6572623605769814,0.09746644356649518,-0.0649326347305389,0.5589299995997561,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Anaerobutyricum,1.7869641880198637,2.0475971071628187,2.248194291544401,2.480799177039091,-0.26063291914295506,-0.23260488549469027,0.26063291914295506,-1.5797854778859024,0.1141560024255039,-0.061897039254823705,0.6110703659247562,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Fusobacterium,-1.3889647774211293,-1.714983843660696,-2.1449231356854286,-2.298578481052694,0.32601906623956656,0.15365534536726555,0.32601906623956656,1.513717862166455,0.13009741263591723,0.059308466400532334,0.6314149051812382,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Megasphaera,-1.3222863483657958,-1.581426837882848,-1.8614936667210424,-2.165568634559339,0.25914048951705215,0.30407496783829635,0.25914048951705215,1.4744487572408398,0.1403608049744278,0.05776987691284097,0.6314149051812382,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Flavonifractor,1.9668480767969085,1.715932500381282,2.3268868317807176,2.1009526054995824,0.25091557641562656,0.22593422628113524,0.25091557641562656,1.450038232557349,0.14704785794056208,0.05681345642049229,0.6314149051812382,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Parabacteroides,4.163747130775269,3.927606181362448,4.780024534774391,4.617531254823627,0.2361409494128206,0.16249327995076435,0.2361409494128206,1.4747140890308776,0.14028942662851682,0.05778027278775788,0.6314149051812382,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Anaerotruncus,-1.3458784040534324,-1.1123933576779592,-1.33599363548349,-1.2742585285404027,-0.23348504637547318,-0.06173510694308737,0.23348504637547318,-1.3746840041865738,0.1692294324408825,-0.05386102794411174,0.6314149051812382,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Lactobacillus,-0.9369716412276755,-0.7695041523492959,-1.258778673910533,-1.1979124000095798,-0.1674674888783796,-0.06086627390095334,0.1674674888783796,-1.3611520828946388,0.17346563329154896,-0.05333083832335328,0.6314149051812382,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Dielma,-2.001958185562855,-2.1634991667290167,-2.2068169116943084,-2.3218238403583897,0.16154098116616167,0.11500692866408135,0.16154098116616167,1.378663981037143,0.16799837981095556,0.054016966067864214,0.6314149051812382,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Faecalibacterium,5.355894782981178,5.225505909949444,5.672787806206275,5.588711324304692,0.13038887303173397,0.08407648190158223,0.13038887303173397,1.415014436272341,0.15706426337727647,0.055441200931470425,0.6314149051812382,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Gemella,-0.9466894202849435,-1.1153810641154287,-1.0045223915684849,-1.1641666650657232,0.16869164383048518,0.1596442734972383,0.16869164383048518,1.3306389270402756,0.18330784741628947,0.0521353127079176,0.6415774659570131,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Turicibacter,-1.3068950173171847,-1.5827369500750865,-1.755258497911404,-1.9724699261841825,0.2758419327579018,0.2172114282727784,0.2758419327579018,1.1369467203125785,0.25556055942926237,0.04454632401862946,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Intestinimonas,-1.0309024846087125,-0.7951376669062018,-1.0892607920035084,-1.1757302560319052,-0.23576481770251068,0.08646946402839673,0.23576481770251068,-1.2815525458832564,0.19999965590461855,-0.05021207584830334,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Desulfovibrio,-1.4767850722062144,-1.6933001670397694,-2.1401157843841885,-2.250818349340472,0.21651509483355502,0.11070256495628339,0.21651509483355502,1.1812571292489147,0.23750059241897126,0.04628243512974062,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Adlercreutzia,0.2455869637896157,0.4602661542335497,-0.2562281787980112,0.46783369261018004,-0.21467919044393402,-0.7240618714081912,0.21467919044393402,-1.1852371060994837,0.23592371268346446,-0.04643837325349298,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Collinsella,3.0807244498454502,2.8972684000050926,3.779489593533921,3.7644371524251343,0.18345604984035768,0.015052441108786674,0.18345604984035768,1.2173422526940747,0.22347402451946297,0.047696274118429915,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Actinomyces,-0.9629099660697125,-1.1160783088946375,-1.0704290393363296,-1.2893703094886422,0.15316834282492509,0.21894127015231257,0.15316834282492509,1.1868290968397115,0.23529503922286588,0.046500748502994016,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Anaerostipes,3.013694575438376,3.141694768432887,3.296309765790455,3.7494755200992875,-0.1280001929945107,-0.45316575430883255,0.1280001929945107,-1.1348240659922748,0.25644904064964413,-0.04446315701929471,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Roseburia,4.543610694748211,4.420467597766476,5.040752896596836,5.025598395401529,0.12314309698173531,0.015154501195307368,0.12314309698173531,1.2552846986695003,0.209375427789541,0.04918288423153694,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Tractidigestivibacter,-1.9408843835055434,-2.031362406874468,-2.150923974618016,-2.2803536404798876,0.09047802336892463,0.12942966586187143,0.09047802336892463,1.165867885426714,0.24366786504865756,0.0456794743845641,0.6667675056890747,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Eggerthella,0.2562294129811612,0.4463141827356334,-0.1372007877013255,0.2690469694947301,-0.1900847697544722,-0.4062477571960556,0.1900847697544722,-1.098473610757077,0.27199773470851096,-0.04303892215568861,0.6718196154206436,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Eubacterium,3.209057040010147,3.068399595979979,4.08736690097861,3.7951293842275255,0.14065744403016778,0.29223751675108467,0.14065744403016778,1.0958202928566976,0.2731574260501518,0.042934963406520366,0.6718196154206436,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Parasutterella,-0.5070100405600758,-0.23825413621147007,-0.9439376850298746,-0.9381747311234281,-0.26875590434860575,-0.005762953906446544,0.26875590434860575,-0.9825236185104966,0.3258419531146468,-0.03849592481703257,0.673900403032565,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Oscillibacter,0.5302327199148158,0.769111450447639,-0.7004701966473235,-0.31615003353731597,-0.23887873053282316,-0.3843201631100075,0.23887873053282316,-1.00401549350357,0.31537114568918756,-0.03933799068529609,0.673900403032565,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Ruminococcus,2.8182453317881166,3.042907815263298,4.112460597747512,4.2221339595519005,-0.22466248347518114,-0.10967336180438814,0.22466248347518114,-0.9957902080123937,0.3193520889743948,-0.039015718562874224,0.673900403032565,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Barnesiella,0.7580385249284123,0.5368335323105153,-0.5917955464168934,-0.7270289063380799,0.22120499261789695,0.13523335992118657,0.22120499261789695,1.0268340274468328,0.30449862359719604,0.04023203592814362,0.673900403032565,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Blautia,2.902547404224958,3.06855007404419,3.3407704994790333,3.6635619471016776,-0.16600266981923184,-0.32279144762264433,0.16600266981923184,-1.043549930219223,0.29669366856345225,-0.040886976047904144,0.673900403032565,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Intestinibacter,-0.9633134547600317,-0.8037023943937336,-1.218054594078014,-1.144040552639217,-0.15961106036629813,-0.07401404143879708,0.15961106036629813,-1.0151594286851633,0.31002983673065254,-0.039774617431803105,0.673900403032565,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Romboutsia,-2.0892708977403536,-2.180125708582308,-2.201407040799012,-2.2565320547483463,0.09085481084195424,0.055125013949334445,0.09085481084195424,1.026038032076719,0.30487365754770424,0.04020084830339332,0.673900403032565,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Lachnoclostridium,-2.1701707964587844,-2.038828827703313,-2.356102755632322,-2.209161452957722,-0.13134196875547133,-0.14694130267460004,0.13134196875547133,-0.9573170984568922,0.33840722765963405,-0.037508316699933486,0.6819802040726967,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Bilophila,-0.20259072094671712,-0.3230153868828236,-0.5924347004229409,-0.7255293547081942,0.12042466593610648,0.13309465428525336,0.12042466593610648,0.944846504325109,0.34473724601476974,0.037019710578842346,0.6819802040726967,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Coprobacter,-0.6811009089184431,-0.4698779242000783,-1.071464019316359,-1.1095192145276016,-0.21122298471836481,0.038055195211242676,0.21122298471836481,-0.8939028006378242,0.371373899193598,-0.03502370259481036,0.6936129514557356,False
Male_vs_Female__within_Control,Male_Control,Female_Control,501,384,Butyricimonas,-0.0749641053130693,-0.23003828911503477,-0.5756349696926026,-0.7341372641139225,0.15507418380196547,0.1585022944213199,0.15507418380196547,0.8803708793458892,0.3786584266359051,0.03449351297405179,0.6936129514557356,False
