feature,CRC_vs_Control__within_Female,CRC_vs_Control__within_Male,Male_vs_Female__within_CRC,Male_vs_Female__within_Control
Prevotella,0.6624841130164987,1.0614505087934607,1.0258222507971029,0.6268558550201409
Fusobacterium,1.2587729102364031,1.1599838822948552,0.22723003829801863,0.32601906623956656
Parvimonas,1.0648500698446062,1.1218884862873781,0.04446663932127426,-0.012571777121497707
Lachnospira,-0.561379916874452,-1.0721841528122287,-0.38113218972168994,0.12967204621608674
Peptostreptococcus,0.9984849773394164,0.7853342623740007,-0.23007483612142,-0.01692412115600428
Flavonifractor,0.9917759828876196,0.2545569825740044,-0.48630342389798864,0.25091557641562656
Ruthenibacterium,0.6537797459668024,0.885319796304774,-0.09976380584528832,-0.33130385618325986
Akkermansia,-0.1990717993534353,0.747314756196285,0.22352138785505063,-0.7228651676946696
Collinsella,-0.12262709950255823,0.5865532801690785,0.8926364295119944,0.18345604984035768
Eisenbergiella,0.37499995852684165,0.36027690327264605,-0.4237440522951448,-0.4090209970409492
Phascolarctobacterium,0.10794085487596883,0.7654320784350863,0.5402848840943211,-0.11720633946479642
Turicibacter,-0.3119324679776383,-0.7564135146126236,-0.16863911387708352,0.2758419327579018
Faecalibacterium,-0.27656059252549703,-0.7470401291066873,-0.3400906635494563,0.13038887303173397
Coprobacter,-0.7063741693408625,-0.04008974987082836,0.4550614347516694,-0.21122298471836481
Gemmiger,-0.6904005810158671,-0.286435547133572,0.2623547123494413,-0.1416103215328538
Holdemanella,-0.10812713259096185,0.07084459611529526,0.6716551666194653,0.49268343791320823
Acidaminococcus,-0.0693179640971453,-0.11909138313955636,0.5439876242268264,0.5937610432692375
Gemella,0.6622104015382047,0.4138960050016385,-0.07962275270608099,0.16869164383048518
Turicimonas,-0.5678373743390333,-0.4309071748907536,-0.09197525689045438,-0.22890545633873405
Lactobacillus,-0.30953968127038445,-0.4622362343343783,-0.32016404194237347,-0.1674674888783796
Anaerobutyricum,-0.6228955614898608,-0.14962046025197728,0.21264218209492847,-0.26063291914295506
Hungatella,0.5174586222892886,0.24555791359891055,-0.37184144166454225,-0.09994073297416417
Eggerthella,0.22205268595055172,-0.20293132366446853,-0.6150687793694924,-0.1900847697544722
Megamonas,-0.04455496312091989,-0.06577481271002394,0.5435652960198003,0.5647851456089044
Butyrivibrio,-0.6020744877113062,-0.2878112065667311,0.13819306326156156,-0.17607021788301358
Romboutsia,-0.3516019387228466,-0.5963908808632516,-0.1539341312984508,0.09085481084195424
Alistipes,0.12054060428531388,0.5779924577833881,0.1657713594429553,-0.291680494055119
Slackia,0.11381343122313115,-0.031239640193210017,0.40578533686776397,0.5508384082841051
Monoglobus,-0.3349264668269456,-0.3752200242465471,-0.20687498990523112,-0.16658143248562962
Gordonibacter,0.02180754062526108,-0.1979329047577612,-0.5300040716323899,-0.3102636262493677
Lactococcus,-0.13691560657076862,-0.4877933799589156,-0.376949921193968,-0.02607214780582101
Bacteroides,0.5023929529054421,0.020658032004697624,-0.42374027008239423,0.0579946508183502
Allisonella,-0.058253141658454854,-0.17843272734987425,0.296671870065077,0.4168514557564964
