genus,prevalence,kept
Abiotrophia,0.03291139240506329,False
Acetivibrio,0.005063291139240506,False
Acidaminococcus,0.20506329113924052,True
Acinetobacter,0.004556962025316456,False
Actinobaculum,0.02481012658227848,False
Actinomyces,0.4562025316455696,True
Actinotignum,0.0015189873417721519,False
Adlercreutzia,0.5863291139240506,True
Aeriscardovia,0.07544303797468355,False
Aerococcus,0.0,False
Aeromonas,0.03291139240506329,False
Agathobaculum,0.7949367088607595,True
Aggregatibacter,0.035443037974683546,False
Akkermansia,0.4562025316455696,True
Alcaligenes,0.0015189873417721519,False
Aliarcobacter,0.03291139240506329,False
Alistipes,0.8162025316455697,True
Allisonella,0.19544303797468354,True
Alloprevotella,0.0389873417721519,False
Alloscardovia,0.06329113924050633,False
Amedibacillus,0.07139240506329114,False
Anaerobiospirillum,0.007088607594936709,False
Anaerobutyricum,0.7564556962025316,True
Anaerococcus,0.025822784810126582,False
Anaerocolumna,0.0005063291139240507,False
Anaerofilum,0.02278481012658228,False
Anaerofustis,0.026329113924050632,False
Anaeroglobus,0.018227848101265823,False
Anaeromassilibacillus,0.3493670886075949,True
Anaerosporobacter,0.0005063291139240507,False
Anaerostipes,0.850632911392405,True
Anaerotignum,0.25063291139240507,True
Anaerotruncus,0.3843037974683544,True
Arachnia,0.008607594936708861,False
Atlantibacter,0.0010126582278481013,False
Atopobium,0.021772151898734177,False
Bacillus,0.0020253164556962027,False
Bacteroides,0.9777215189873417,True
Barnesiella,0.5022784810126583,True
Bavariicoccus,0.0005063291139240507,False
Bifidobacterium,0.7949367088607595,True
Bilophila,0.5630379746835443,True
Blautia,0.8045569620253165,True
Brachyspira,0.0420253164556962,False
Brevibacterium,0.0015189873417721519,False
Butyricicoccus,0.0410126582278481,False
Butyricimonas,0.5321518987341772,True
Butyrivibrio,0.10329113924050633,True
Campylobacter,0.09012658227848101,False
Cardiobacterium,0.004556962025316456,False
Carnobacterium,0.005569620253164557,False
Catenibacterium,0.13924050632911392,True
Catonella,0.0010126582278481013,False
Cellulosilyticum,0.002531645569620253,False
Centipeda,0.0010126582278481013,False
Cetobacterium,0.002531645569620253,False
Chlamydia,0.0015189873417721519,False
Christensenella,0.20708860759493672,True
Citrobacter,0.10329113924050633,True
Cloacibacillus,0.08556962025316456,False
Clostridioides,0.06936708860759494,False
Clostridium,0.7463291139240507,True
Collinsella,0.8415189873417721,True
Comamonas,0.017721518987341773,False
Companilactobacillus,0.002531645569620253,False
Coprobacillus,0.13063291139240507,True
Coprobacter,0.3848101265822785,True
Coprococcus,0.730632911392405,True
Corynebacterium,0.05974683544303797,False
Criibacterium,0.005063291139240506,False
Cronobacter,0.0030379746835443038,False
Cutibacterium,0.010126582278481013,False
Dellaglioa,0.0010126582278481013,False
Denitrobacterium,0.061265822784810124,False
Desulfomicrobium,0.0005063291139240507,False
Desulfovibrio,0.20405063291139242,True
Dialister,0.3989873417721519,True
Dielma,0.1488607594936709,True
Dolosigranulum,0.0005063291139240507,False
Dorea,0.7630379746835443,True
Duncaniella,0.006582278481012658,False
Dysgonomonas,0.004050632911392405,False
Edwardsiella,0.002531645569620253,False
Eggerthella,0.6010126582278481,True
Eggerthia,0.007088607594936709,False
Eikenella,0.02278481012658228,False
Eisenbergiella,0.43291139240506327,True
Enorma,0.27189873417721516,True
Enterobacter,0.0410126582278481,False
Enterocloster,0.6840506329113925,True
Enterococcus,0.1837974683544304,True
Eremococcus,0.0005063291139240507,False
Erysipelatoclostridium,0.43341772151898733,True
Erysipelothrix,0.013670886075949367,False
Escherichia,0.659746835443038,True
Eubacterium,0.7367088607594937,True
Ezakiella,0.004050632911392405,False
Facklamia,0.0005063291139240507,False
Faecalibacterium,0.9437974683544303,True
Faecalicoccus,0.05924050632911392,False
Faecalitalea,0.1230379746835443,True
Fannyhessea,0.0035443037974683543,False
Filifactor,0.012658227848101266,False
Finegoldia,0.013164556962025316,False
Flavobacterium,0.002531645569620253,False
Flavonifractor,0.8010126582278481,True
Fretibacterium,0.07848101265822785,False
Fructilactobacillus,0.035949367088607596,False
Fusicatenibacter,0.790379746835443,True
Fusobacterium,0.289620253164557,True
Gemella,0.4491139240506329,True
Gemmiger,0.6951898734177215,True
Gleimia,0.0010126582278481013,False
Gordonibacter,0.6010126582278481,True
Granulicatella,0.0379746835443038,False
Haemophilus,0.42075949367088605,True
Hafnia,0.0410126582278481,False
Harryflintia,0.130126582278481,True
Helicobacter,0.009113924050632912,False
Holdemanella,0.25569620253164554,True
Holdemania,0.4010126582278481,True
Hungatella,0.3589873417721519,True
Intestinibacter,0.35443037974683544,True
Intestinimonas,0.44151898734177214,True
Jonquetella,0.0015189873417721519,False
Kingella,0.0010126582278481013,False
Klebsiella,0.2582278481012658,True
Kluyvera,0.013670886075949367,False
Kosakonia,0.0030379746835443038,False
Lachnoanaerobaculum,0.017721518987341773,False
Lachnoclostridium,0.1351898734177215,True
Lachnospira,0.7625316455696203,True
Lacrimispora,0.1691139240506329,True
Lacticaseibacillus,0.0389873417721519,False
Lactiplantibacillus,0.017721518987341773,False
Lactobacillus,0.3589873417721519,True
Lactococcus,0.17873417721518986,True
Lactonifactor,0.06683544303797469,False
Lancefieldella,0.11746835443037974,True
Latilactobacillus,0.04607594936708861,False
Lautropia,0.006582278481012658,False
Lawsonella,0.0060759493670886075,False
Lawsonibacter,0.6718987341772152,True
Leclercia,0.006582278481012658,False
Lelliottia,0.0005063291139240507,False
Lentilactobacillus,0.006582278481012658,False
Leptotrichia,0.009113924050632912,False
Leucobacter,0.0005063291139240507,False
Leuconostoc,0.06379746835443038,False
Levilactobacillus,0.004050632911392405,False
Ligilactobacillus,0.11341772151898734,True
Limosilactobacillus,0.1260759493670886,True
Macrococcus,0.0010126582278481013,False
Mageeibacillus,0.0015189873417721519,False
Mammaliicoccus,0.0005063291139240507,False
Marvinbryantia,0.007594936708860759,False
Megamonas,0.16,True
Megasphaera,0.22784810126582278,True
Meiothermus,0.0015189873417721519,False
Mitsuokella,0.07949367088607595,False
Mogibacterium,0.31949367088607594,True
Monoglobus,0.1529113924050633,True
Moraxella,0.002531645569620253,False
Morganella,0.022278481012658228,False
Muribaculum,0.005569620253164557,False
Murimonas,0.007594936708860759,False
Negativicoccus,0.0020253164556962027,False
Neisseria,0.05468354430379747,False
Odoribacter,0.7073417721518988,True
Oenococcus,0.0005063291139240507,False
Olsenella,0.03645569620253165,False
Oribacterium,0.08253164556962025,False
Oscillibacter,0.509873417721519,True
Oxalobacter,0.061265822784810124,False
Pantoea,0.005063291139240506,False
Parabacteroides,0.900759493670886,True
Paraclostridium,0.0035443037974683543,False
Paraprevotella,0.2627848101265823,True
Parascardovia,0.04708860759493671,False
Parasutterella,0.3989873417721519,True
Parvimonas,0.21569620253164556,True
Pasteurella,0.0005063291139240507,False
Pauljensenia,0.006582278481012658,False
Pediococcus,0.017721518987341773,False
Peptacetobacter,0.0035443037974683543,False
Peptoanaerobacter,0.0005063291139240507,False
Peptococcus,0.013164556962025316,False
Peptoniphilus,0.022278481012658228,False
Peptostreptococcus,0.14632911392405062,True
Phascolarctobacterium,0.5848101265822785,True
Phocaeicola,0.8886075949367088,True
Photobacterium,0.0005063291139240507,False
Phytobacter,0.0015189873417721519,False
Pluralibacter,0.0010126582278481013,False
Porphyromonas,0.09620253164556962,False
Prevotella,0.6283544303797468,True
Propionibacterium,0.05670886075949367,False
Proteus,0.016708860759493672,False
Providencia,0.0015189873417721519,False
Pseudoflavonifractor,0.20354430379746835,True
Pseudomonas,0.007594936708860759,False
Pseudoramibacter,0.0015189873417721519,False
Pyramidobacter,0.033924050632911394,False
Ralstonia,0.0060759493670886075,False
Rhodococcus,0.0020253164556962027,False
Rikenella,0.006582278481012658,False
Robinsoniella,0.0010126582278481013,False
Romboutsia,0.1220253164556962,True
Roseburia,0.9103797468354431,True
Rothia,0.3372151898734177,True
Ruminococcus,0.6891139240506329,True
Ruthenibacterium,0.7650632911392405,True
Salmonella,0.0005063291139240507,False
Scardovia,0.05518987341772152,False
Schwartzia,0.0010126582278481013,False
Sediminibacterium,0.0010126582278481013,False
Selenomonas,0.021772151898734177,False
Sellimonas,0.22886075949367088,True
Serratia,0.007088607594936709,False
Sharpea,0.02278481012658228,False
Shewanella,0.0015189873417721519,False
Shuttleworthia,0.0030379746835443038,False
Slackia,0.3382278481012658,True
Sneathia,0.0020253164556962027,False
Sodalis,0.0005063291139240507,False
Staphylococcus,0.017721518987341773,False
Stenotrophomonas,0.0030379746835443038,False
Stomatobaculum,0.018734177215189874,False
Streptococcus,0.880506329113924,True
Succinatimonas,0.02531645569620253,False
Synergistes,0.0030379746835443038,False
