species,n_studies_above_threshold,kept_cross,overall_mean
Faecalibacterium prausnitzii,11,True,4.932526539900249
Bacteroides stercoris,11,True,2.2683985473815462
Bifidobacterium longum,11,True,1.575167849127182
Collinsella aerofaciens,11,True,2.11270292394015
Dorea longicatena,11,True,1.0321034912718203
Phocaeicola vulgatus,11,True,6.70549304862843
Roseburia intestinalis,11,True,0.6916398753117207
Roseburia inulinivorans,11,True,1.190313908977556
Agathobaculum butyriciproducens,11,True,0.36228639027431425
[Eubacterium] rectale,11,True,2.687030436408978
Coprococcus eutactus,11,True,0.5639685099750624
Bacteroides uniformis,11,True,5.019594021197007
Bifidobacterium adolescentis,11,True,1.8374764089775562
Bacteroides ovatus,11,True,0.9248856920199502
Roseburia hominis,11,True,0.3199256172069825
Alistipes putredinis,11,True,2.1429154177057357
Firmicutes bacterium CAG:83,11,True,0.3477506047381546
Ruminococcus bromii,11,True,2.6652772506234417
Oscillibacter sp. 57_20,11,True,0.26760322319201996
Akkermansia muciniphila,11,True,1.4574925935162095
Escherichia coli,11,True,2.308962325436409
Ruminococcus bicirculans,11,True,0.6319285349127183
Parabacteroides merdae,11,True,0.9946682793017455
Eubacterium sp. CAG:180,11,True,1.5938016895261846
[Eubacterium] siraeum,11,True,0.8887968952618454
Phocaeicola dorei,11,True,2.6081702306733168
Ruthenibacterium lactatiformans,11,True,0.34338598503740647
Bacteroides eggerthii,11,True,0.6151614775561097
Roseburia faecis,11,True,1.5426476558603488
[Ruminococcus] gnavus,11,True,1.3176032917705736
Bacteroides caccae,11,True,0.8340167082294264
Prevotella copri,11,True,6.299643173316708
Bacteroides fragilis,10,True,0.9787598129675811
Parabacteroides distasonis,10,True,1.8318523192019949
Barnesiella intestinihominis,10,True,0.568430355361596
Phascolarctobacterium succinatutens,10,True,0.5757020261845387
Flavonifractor plautii,10,True,0.47769230049875316
Alistipes finegoldii,10,True,0.5407269201995013
Bacteroides thetaiotaomicron,10,True,1.0558151807980052
Eubacterium sp. CAG:251,10,True,0.33646780548628424
[Ruminococcus] lactaris,10,True,0.3513643765586035
Bacteroides xylanisolvens,10,True,0.40466243142144637
Fusicatenibacter saccharivorans,10,True,1.3079988341645885
Lachnospira eligens,10,True,1.448609501246883
[Ruminococcus] torques,10,True,1.1624359663341648
Coprococcus comes,10,True,0.6773987032418953
Anaerostipes hadrus,9,True,1.7492600935162097
Streptococcus salivarius,9,True,0.5757581546134664
Phocaeicola plebeius,9,True,2.210805866583541
Blautia obeum,9,True,0.7095721633416459
Dorea formicigenerans,9,True,0.39437269950124687
Blautia wexlerae,9,True,0.8012579862842893
Holdemanella biformis,9,True,0.20201704488778055
Anaerobutyricum hallii,9,True,0.7449882356608479
Bacteroides cellulosilyticus,9,True,0.4386958790523691
Odoribacter splanchnicus,9,True,0.39510562967581053
Lachnospira pectinoschiza,9,True,0.8424458852867831
Bifidobacterium bifidum,9,True,0.3539420947630922
Clostridium sp. CAG:58,9,True,0.1369524875311721
Bacteroides intestinalis,9,True,0.17100254987531172
Oscillibacter sp. CAG:241,9,True,0.28947982543640893
Bifidobacterium pseudocatenulatum,9,True,0.6041736720698255
Acidaminococcus intestini,9,True,0.29389162094763094
Alistipes inops,8,True,0.1944366583541147
Paraprevotella xylaniphila,8,True,0.1541479114713217
Phocaeicola massiliensis,8,True,0.3210534351620947
Phascolarctobacterium faecium,8,True,0.19639714463840396
Methanobrevibacter smithii,8,True,0.5062858852867831
Streptococcus parasanguinis,8,True,0.292987493765586
Gemmiger formicilis,8,True,0.1739708229426434
Klebsiella pneumoniae,8,True,0.4571853179551123
Alistipes shahii,8,True,0.1569426059850374
Eubacterium sp. CAG:38,8,True,0.4171043640897755
Firmicutes bacterium CAG:110,7,True,0.15488453241895261
Eubacterium ventriosum,7,True,0.15926120324189527
Coprococcus catus,7,True,0.17978122817955114
Bacteroides salyersiae,7,True,0.1605370885286783
Eubacterium ramulus,7,True,0.13874700124688277
Parasutterella excrementihominis,6,True,0.14115137780548628
Bacteroides finegoldii,6,True,0.2495151932668329
Streptococcus thermophilus,6,True,0.24001003740648377
Blautia sp. CAG:257,6,True,0.21808582917705735
Phocaeicola coprocola,6,True,0.4238760847880299
Erysipelatoclostridium ramosum,6,True,0.21548806109725682
Slackia isoflavoniconvertens,6,True,0.11461060473815463
Veillonella parvula,5,True,0.20649648379052368
Eubacterium sp. CAG:274,5,True,0.11594874688279301
Dialister invisus,5,True,0.08391486907730673
Coprobacter fastidiosus,5,True,0.09369524937655861
Desulfovibrio piger,5,True,0.1235760162094763
Butyricimonas virosa,5,True,0.0846673940149626
Eggerthella lenta,5,True,0.17785889650872816
Proteobacteria bacterium CAG:139,4,True,0.10701802992518704
Klebsiella variicola,4,True,0.1705189027431422
Enterocloster bolteae,4,True,0.11910160224438904
Klebsiella quasipneumoniae,4,True,0.1038355922693267
Intestinibacter bartlettii,3,True,0.06022087905236908
Adlercreutzia equolifaciens,3,True,0.09552661471321694
Firmicutes bacterium CAG:145,3,True,0.06049354738154614
Gordonibacter pamelaeae,3,True,0.07911374064837906
Adlercreutzia equolifaciens_1,3,True,0.08848435785536161
Bacteroides sp. CAG:144,3,True,0.08823161471321694
