comparison,description,feature,species,group_col,group1,group2,filters,n_group1,n_group2,prevalence_group1,prevalence_group2,prevalence_diff_group1_minus_group2,n_strata_total,n_strata_used,cmh_statistic,p_value,common_odds_ratio,common_odds_ratio_ci_low,common_odds_ratio_ci_high,q_value_bh,significant_fdr_0_05
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Parvimonas micra,Parvimonas micra,Condition,CRC,Control,none,671,664,0.4157973174366617,0.13253012048192772,0.283267196954734,10,10,140.71491466535494,0.0,4.954975365285836,3.740147554688001,6.564388305968209,0.0,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Methanobrevibacter smithii,Methanobrevibacter smithii,Condition,CRC,Control,none,671,664,0.31594634873323396,0.2289156626506024,0.08703068608263156,10,10,20.28714061666126,6.66470196952762e-06,1.8384889482224633,1.4063337184721971,2.4034420623919375,0.0002507597277914275,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Streptococcus salivarius,Streptococcus salivarius,Condition,CRC,Control,none,671,664,0.8286140089418778,0.9096385542168675,-0.0810245452749897,10,10,20.184879816950055,7.030646573591426e-06,0.4533304280002561,0.31889621315946004,0.6444368683930827,0.0002507597277914275,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Roseburia intestinalis,Roseburia intestinalis,Condition,CRC,Control,none,671,664,0.5499254843517138,0.6566265060240963,-0.10670102167238249,10,10,15.420102351067243,8.606782975695282e-05,0.630194320168514,0.5003362048583991,0.7937560330759035,0.002302314445998488,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,Condition,CRC,Control,none,671,664,0.2608047690014903,0.18072289156626506,0.08008187743522524,10,10,12.787402449811143,0.0003489613246622225,1.6317457765163295,1.2459089374465628,2.1370697321071894,0.0074677723477715625,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Bacteroides fragilis,Bacteroides fragilis,Condition,CRC,Control,none,671,664,0.5782414307004471,0.48343373493975905,0.09480769576068804,10,10,12.104304818132261,0.0005030554839704493,1.4908249918114809,1.1900402496127191,1.8676336005719143,0.008971156130806346,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Escherichia coli,Escherichia coli,Condition,CRC,Control,none,671,664,0.7481371087928465,0.661144578313253,0.08699253047959343,10,10,11.76157337190924,0.0006046609329728447,1.537571879230266,1.2004030312409208,1.9694446134110197,0.009242674261156342,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Phocaeicola plebeius,Phocaeicola plebeius,Condition,CRC,Control,none,671,664,0.4008941877794337,0.3072289156626506,0.0936652721167831,10,10,10.925140955620398,0.0009486798490617732,1.476075802071052,1.1702352075296962,1.861847737480937,0.012688592981201218,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Collinsella aerofaciens,Collinsella aerofaciens,Condition,CRC,Control,none,671,664,0.8673621460506706,0.8057228915662651,0.06163925448440555,10,10,10.428238145129207,0.001241030749052796,1.6247059982422067,1.206208533694053,2.188402342537017,0.014754476683183243,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Ruminococcus bicirculans,Ruminococcus bicirculans,Condition,CRC,Control,none,671,664,0.46050670640834573,0.5481927710843374,-0.08768606467599166,10,10,10.040282549910678,0.0015315371011931367,0.695819155980218,0.5554810579303834,0.871612615618122,0.01565105150759652,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Bacteroides caccae,Bacteroides caccae,Condition,CRC,Control,none,671,664,0.6676602086438153,0.5813253012048193,0.08633490743899597,10,10,9.943120118976822,0.0016145166134401423,1.4402379596960888,1.147329058329297,1.8079254294927904,0.01565105150759652,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Enterocloster bolteae,Enterocloster bolteae,Condition,CRC,Control,none,671,664,0.6870342771982116,0.5993975903614458,0.08763668683676584,10,10,9.78934671837658,0.0017552581130014788,1.4821143292197054,1.1576262136608322,1.8975580018456355,0.01565105150759652,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Megamonas funiformis,Megamonas funiformis,Condition,CRC,Control,none,671,664,0.19225037257824143,0.125,0.06725037257824143,10,10,9.270475587012648,0.002328772262284895,1.6196462980065243,1.186068204501647,2.211722834057808,0.019167587081883368,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,Condition,CRC,Control,none,671,664,0.4336810730253353,0.35240963855421686,0.08127143447111845,10,10,9.049891716456901,0.0026271037839102895,1.426149645480086,1.1312960316315421,1.7978519807673183,0.020078578919885785,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Parabacteroides merdae,Parabacteroides merdae,Condition,CRC,Control,none,671,664,0.736214605067064,0.6686746987951807,0.06753990627188333,10,10,8.39039680491237,0.003772085538472303,1.4278411999280662,1.1214925917168002,1.8178724561087793,0.026022569425858146,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Lachnospira eligens,Lachnospira eligens,Condition,CRC,Control,none,671,664,0.6289120715350224,0.7003012048192772,-0.07138913328425478,10,10,8.333889655461501,0.0038912253347077597,0.698321028988689,0.5470506013400475,0.8914207540093646,0.026022569425858146,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Roseburia faecis,Roseburia faecis,Condition,CRC,Control,none,671,664,0.639344262295082,0.7108433734939759,-0.07149911119889385,10,10,7.981499997462049,0.004725776947466009,0.6980179289699799,0.5433754233402689,0.8966710827081901,0.02974459608110959,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Butyricimonas virosa,Butyricimonas virosa,Condition,CRC,Control,none,671,664,0.5901639344262295,0.516566265060241,0.07359766936598855,10,10,7.526199501018619,0.0060808052659987455,1.3698503132529467,1.0931943892112184,1.7165198607295777,0.036147009081214765,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Holdemanella biformis,Holdemanella biformis,Condition,CRC,Control,none,671,664,0.30700447093889716,0.24849397590361447,0.05851049503528269,10,10,7.144568460290944,0.007519136543556959,1.392107992765175,1.09094382931232,1.7764110410178378,0.04234461106108393,True
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Clostridium sp. CAG:58,Clostridium sp. CAG:58,Condition,CRC,Control,none,671,664,0.45156482861400893,0.39156626506024095,0.05999856355376798,10,10,6.385407089450051,0.011506236863080388,1.344735405612979,1.068809496069851,1.6918948772054347,0.0609084666822199,False
CRC_vs_Control__all,"CRC vs Control, all samples",PA_[Ruminococcus] gnavus,[Ruminococcus] gnavus,Condition,CRC,Control,none,671,664,0.7540983606557377,0.6957831325301205,0.05831522812561718,10,10,6.273306394826494,0.012257021362811038,1.376663999532136,1.0716748657437782,1.7684503277889996,0.0609084666822199,False
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Flavonifractor plautii,Flavonifractor plautii,Condition,CRC,Control,none,671,664,0.910581222056632,0.8644578313253012,0.04612339073133076,10,10,6.235243659530001,0.012523236140269511,1.6216531789700581,1.1052387973369409,2.379358233894853,0.0609084666822199,False
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Paraprevotella xylaniphila,Paraprevotella xylaniphila,Condition,CRC,Control,none,671,664,0.33681073025335323,0.2786144578313253,0.058196272422027906,10,10,6.073877622634716,0.013719544694322572,1.348700434131154,1.0632197097729883,1.7108344063843044,0.06382570792576153,False
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Alistipes shahii,Alistipes shahii,Condition,CRC,Control,none,671,664,0.6795827123695977,0.6234939759036144,0.056088736465983224,10,10,5.737187842011801,0.016609364707943386,1.3368110685735064,1.05343780108842,1.696411341243149,0.07227004373944848,False
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Parabacteroides distasonis,Parabacteroides distasonis,Condition,CRC,Control,none,671,664,0.8777943368107303,0.8313253012048193,0.04646903560591098,10,10,5.708233332645634,0.016885524238188898,1.5060578350892997,1.0758007970362835,2.1083923797812245,0.07227004373944848,False
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Phascolarctobacterium succinatutens,Phascolarctobacterium succinatutens,Condition,CRC,Control,none,671,664,0.3353204172876304,0.2786144578313253,0.05670595945630508,10,10,5.549583354406013,0.018485086595206535,1.3311343526340045,1.0490144114483069,1.6891270943703967,0.07332643942905742,False
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Slackia isoflavoniconvertens,Slackia isoflavoniconvertens,Condition,CRC,Control,none,671,664,0.38450074515648286,0.34186746987951805,0.04263327527696481,10,10,5.471427028677094,0.019329835984675525,1.3307056014922618,1.0462821311639436,1.6924473285928807,0.07332643942905742,False
CRC_vs_Control__all,"CRC vs Control, all samples",PA_Firmicutes bacterium CAG:145,Firmicutes bacterium CAG:145,Condition,CRC,Control,none,671,664,0.3889716840536513,0.34186746987951805,0.04710421417413324,10,10,5.462052132147364,0.01943381016902379,1.3195842628832781,1.0453494228690452,1.6657613126815147,0.07332643942905742,False
