comparison,stratum,species,feature,study,group1,group0,n_group1,n_group0,mean_group1,mean_group0,sd_group1,sd_group0,hedges_g,variance,se
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,FengQ_2015,CRC,Control,46,61,2.829574533220554,2.3166889071887207,0.9993613254374073,1.9670414069701905,0.31345706481047064,0.03860045558858864,0.19646998648289424
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,HanniganGD_2017,CRC,Control,27,28,0.7011763909100421,0.9317650549543964,1.8541752996720517,1.829487558957965,-0.12342812223010326,0.0728950444622402,0.26999082292226195
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,ThomasAM_2018a,CRC,Control,29,24,2.3167010599790854,3.038208369078168,1.9751943160761851,2.4656856115025443,-0.3216615426294959,0.07716379928742287,0.2777837275425306
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,ThomasAM_2018b,CRC,Control,32,28,3.0355862467586654,2.817971089573747,0.9219776956565933,1.398697873871644,0.18383899421530445,0.06725563722975204,0.2593369183702005
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,ThomasAM_2019_c,CRC,Control,40,40,1.9201555565180393,2.079452861409804,1.4595992282189632,1.4510086416459476,-0.10840346405718562,0.0500753289167923,0.2237751749341117
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,VogtmannE_2016,CRC,Control,52,52,2.3336433007508606,3.049883966838565,2.2840629223107207,1.6443256018516292,-0.3572545534262787,0.03908717971616498,0.1977047791940422
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,WirbelJ_2018,CRC,Control,60,65,2.9686192147259662,3.6325311626251837,1.6575774934276128,1.1264517957225342,-0.4691552215386695,0.032946024416717,0.18151039754437484
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,YachidaS_2019,CRC,Control,258,251,1.8039615919388536,2.1597945941245302,1.517500025646542,1.3246893460643885,-0.2492174195721391,0.007921284534327347,0.08900159849310206
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,YuJ_2015,CRC,Control,74,54,1.971855076294315,2.7981633571167976,2.097482639946472,1.3599943066819389,-0.4503246200641962,0.03283676323614299,0.18120916984563168
CRC_vs_Control,All,Faecalibacterium prausnitzii,rCLR_Faecalibacterium prausnitzii,ZellerG_2014,CRC,Control,53,61,2.2672697180549384,2.5954490218091912,1.7825876804782295,1.4065757406823627,-0.20472914991417218,0.035448483333505296,0.1882776761421951
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,FengQ_2015,CRC,Control,46,61,-0.3021971552981338,0.18234501815378404,1.977564690040382,1.7200353558797796,-0.26218843955653875,0.038459919618862436,0.19611200783955693
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,HanniganGD_2017,CRC,Control,27,28,-0.6241847677707708,-0.35611776146383517,1.3911107187587555,1.247204703448288,-0.20022971418091146,0.07312954858567151,0.27042475586689824
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,ThomasAM_2018a,CRC,Control,29,24,-0.21702284771437463,-0.9651416125065806,0.9430411571780529,1.876648467468434,0.5114885872582967,0.07871433288437092,0.2805607472266406
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,ThomasAM_2018b,CRC,Control,32,28,-0.00519586759854157,0.09244218250161226,1.688246831003316,1.6831787875563047,-0.0571627176573991,0.06699245447540622,0.2588290062481526
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,ThomasAM_2019_c,CRC,Control,40,40,-0.927499180123349,-0.4062057247656884,2.087026981743268,2.1161867218388934,-0.2456465525646255,0.050386809158890294,0.2244700629457975
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,VogtmannE_2016,CRC,Control,52,52,-1.1805375014445834,-0.9832878654164694,2.066834325839962,1.6269420929231748,-0.105269972946131,0.038515860849793755,0.1962545817294306
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,WirbelJ_2018,CRC,Control,60,65,-1.466990425142502,-1.419610711814439,1.599319189367539,1.697974321240886,-0.028515549066657122,0.032054587484365675,0.17903794984406426
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,YachidaS_2019,CRC,Control,258,251,-0.7401256159229038,-0.7139494576277979,1.956222691423449,1.9553469213991446,-0.013364116301302971,0.007860208871000245,0.08865781900656165
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,YuJ_2015,CRC,Control,74,54,-0.21422374176597106,-0.06954218749606175,1.8197767170962122,1.712158392825734,-0.08101072202146124,0.03205807463950203,0.17904768817134173
CRC_vs_Control,All,Streptococcus salivarius,rCLR_Streptococcus salivarius,ZellerG_2014,CRC,Control,53,61,-0.8149716395812611,-0.4285405520760163,1.925380055722831,1.8189833840033522,-0.20535571449795173,0.035449630407846294,0.1882807223478981
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,FengQ_2015,CRC,Control,46,61,2.065177871277545,2.979223597930103,1.7242290600892372,1.692599188893122,-0.5318761418725196,0.03947967891627246,0.1986949393323153
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,HanniganGD_2017,CRC,Control,27,28,1.6967195663129586,1.8157326849690467,1.006686089548709,1.2223910371203943,-0.10458574596804027,0.07285451311226324,0.26991575187873573
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,ThomasAM_2018a,CRC,Control,29,24,-1.0962189696138154,-1.0030050951158855,1.8077600780374596,1.3710707779278546,-0.05650035272302438,0.07618072224674678,0.2760085546622546
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,ThomasAM_2018b,CRC,Control,32,28,1.215351017975662,1.1512903256782454,1.44738682582705,1.5579287274295952,0.042156428319031186,0.06697960609746345,0.25880418485307277
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,ThomasAM_2019_c,CRC,Control,40,40,0.2825396217832741,0.4731002763639429,1.4995260979751182,1.1267421408554301,-0.14229277322519174,0.050129789957128953,0.22389682882329742
CRC_vs_Control,All,Anaerostipes hadrus,rCLR_Anaerostipes hadrus,VogtmannE_2016,CRC,Control,52,52,0.5774044495610758,0.8178111631341325,1.4378762284433344,1.5142117788892606,-0.16161776509630257,0.03858957915759103,0.19644230490805953
