Sample,PA_Faecalibacterium prausnitzii,PA_Streptococcus salivarius,PA_Anaerostipes hadrus,PA_Bacteroides stercoris,PA_Collinsella aerofaciens,PA_Bifidobacterium longum,PA_Phocaeicola plebeius,PA_Phocaeicola vulgatus,PA_Dorea longicatena,PA_Eubacterium sp. CAG:251,PA_Fusicatenibacter saccharivorans,PA_Coprococcus comes,PA_[Ruminococcus] torques,PA_Anaerobutyricum hallii,PA_Holdemanella biformis,PA_Bacteroides uniformis,PA_Blautia wexlerae,PA_Gemmiger formicilis,PA_Dorea formicigenerans,PA_Streptococcus parasanguinis,PA_Coprococcus eutactus,PA_[Ruminococcus] lactaris,PA_Coprococcus catus,PA_Roseburia intestinalis,PA_Roseburia inulinivorans,PA_Phascolarctobacterium succinatutens,PA_[Eubacterium] rectale,PA_Blautia obeum,PA_Agathobaculum butyriciproducens,PA_Bacteroides xylanisolvens,PA_Bacteroides ovatus,PA_Bacteroides thetaiotaomicron,PA_Streptococcus thermophilus,PA_Eubacterium ramulus,PA_Bifidobacterium adolescentis,PA_Eubacterium sp. CAG:274,PA_Eubacterium ventriosum,PA_Flavonifractor plautii,PA_Oscillibacter sp. 57_20,PA_Roseburia hominis,PA_Alistipes finegoldii,PA_Alistipes putredinis,PA_Veillonella atypica,PA_Ruminococcus bromii,PA_Firmicutes bacterium CAG:83,PA_Veillonella parvula,PA_Lachnospira eligens,PA_[Ruminococcus] gnavus,PA_Bacteroides eggerthii,PA_Roseburia faecis,PA_Phocaeicola coprocola,PA_Adlercreutzia equolifaciens,PA_Gordonibacter pamelaeae,PA_Eubacterium sp. CAG:180,PA_Parabacteroides merdae,PA_Phocaeicola dorei,PA_[Eubacterium] siraeum,PA_Barnesiella intestinihominis,PA_Methanobrevibacter smithii,PA_Firmicutes bacterium CAG:145,PA_Bacteroides cellulosilyticus,PA_Adlercreutzia equolifaciens_1,PA_Ruminococcus bicirculans,PA_Firmicutes bacterium CAG:110,PA_Parabacteroides distasonis,PA_Ruthenibacterium lactatiformans,PA_Odoribacter splanchnicus,PA_Oscillibacter sp. CAG:241,PA_Alistipes shahii,PA_Eggerthella lenta,PA_Escherichia coli,PA_Butyricimonas virosa,PA_Bacteroides sp. CAG:144,PA_Intestinibacter bartlettii,PA_Erysipelatoclostridium ramosum,PA_Slackia isoflavoniconvertens,PA_Clostridium sp. CAG:58,PA_Akkermansia muciniphila,PA_Bacteroides intestinalis,PA_Bifidobacterium pseudocatenulatum,PA_Eubacterium sp. CAG:38,PA_Bacteroides fragilis,PA_Bifidobacterium bifidum,PA_Blautia sp. CAG:257,PA_Parasutterella excrementihominis,PA_Proteobacteria bacterium CAG:139,PA_Lawsonibacter asaccharolyticus,PA_Coprobacter fastidiosus,PA_Alistipes inops,PA_Bacteroides finegoldii,PA_Paraprevotella xylaniphila,PA_Dialister invisus,PA_Enterocloster bolteae,PA_Bacteroides caccae,PA_Desulfovibrio piger,PA_Lachnospira pectinoschiza,PA_Prevotella copri,PA_Phocaeicola massiliensis,PA_Megamonas funiformis,PA_Phascolarctobacterium faecium,PA_Acidaminococcus intestini,PA_Anaerotignum lactatifermentans,PA_Bacteroides salyersiae,PA_Parvimonas micra,PA_Klebsiella pneumoniae,PA_Klebsiella variicola,PA_Klebsiella quasipneumoniae,rCLR_Faecalibacterium prausnitzii,rCLR_Streptococcus salivarius,rCLR_Anaerostipes hadrus,rCLR_Bacteroides stercoris,rCLR_Collinsella aerofaciens,rCLR_Bifidobacterium longum,rCLR_Phocaeicola plebeius,rCLR_Phocaeicola vulgatus,rCLR_Dorea longicatena,rCLR_Eubacterium sp. CAG:251,rCLR_Fusicatenibacter saccharivorans,rCLR_Coprococcus comes,rCLR_[Ruminococcus] torques,rCLR_Anaerobutyricum hallii,rCLR_Holdemanella biformis,rCLR_Bacteroides uniformis,rCLR_Blautia wexlerae,rCLR_Gemmiger formicilis,rCLR_Dorea formicigenerans,rCLR_Streptococcus parasanguinis,rCLR_Coprococcus eutactus,rCLR_[Ruminococcus] lactaris,rCLR_Coprococcus catus,rCLR_Roseburia intestinalis,rCLR_Roseburia inulinivorans,rCLR_Phascolarctobacterium succinatutens,rCLR_[Eubacterium] rectale,rCLR_Blautia obeum,rCLR_Agathobaculum butyriciproducens,rCLR_Bacteroides xylanisolvens,rCLR_Bacteroides ovatus,rCLR_Bacteroides thetaiotaomicron,rCLR_Streptococcus thermophilus,rCLR_Eubacterium ramulus,rCLR_Bifidobacterium adolescentis,rCLR_Eubacterium sp. CAG:274,rCLR_Eubacterium ventriosum,rCLR_Flavonifractor plautii,rCLR_Oscillibacter sp. 57_20,rCLR_Roseburia hominis,rCLR_Alistipes finegoldii,rCLR_Alistipes putredinis,rCLR_Veillonella atypica,rCLR_Ruminococcus bromii,rCLR_Firmicutes bacterium CAG:83,rCLR_Veillonella parvula,rCLR_Lachnospira eligens,rCLR_[Ruminococcus] gnavus,rCLR_Bacteroides eggerthii,rCLR_Roseburia faecis,rCLR_Phocaeicola coprocola,rCLR_Adlercreutzia equolifaciens,rCLR_Gordonibacter pamelaeae,rCLR_Eubacterium sp. CAG:180,rCLR_Parabacteroides merdae,rCLR_Phocaeicola dorei,rCLR_[Eubacterium] siraeum,rCLR_Barnesiella intestinihominis,rCLR_Methanobrevibacter smithii,rCLR_Firmicutes bacterium CAG:145,rCLR_Bacteroides cellulosilyticus,rCLR_Adlercreutzia equolifaciens_1,rCLR_Ruminococcus bicirculans,rCLR_Firmicutes bacterium CAG:110,rCLR_Parabacteroides distasonis,rCLR_Ruthenibacterium lactatiformans,rCLR_Odoribacter splanchnicus,rCLR_Oscillibacter sp. CAG:241,rCLR_Alistipes shahii,rCLR_Eggerthella lenta,rCLR_Escherichia coli,rCLR_Butyricimonas virosa,rCLR_Bacteroides sp. CAG:144,rCLR_Intestinibacter bartlettii,rCLR_Erysipelatoclostridium ramosum,rCLR_Slackia isoflavoniconvertens,rCLR_Clostridium sp. CAG:58,rCLR_Akkermansia muciniphila,rCLR_Bacteroides intestinalis,rCLR_Bifidobacterium pseudocatenulatum,rCLR_Eubacterium sp. CAG:38,rCLR_Bacteroides fragilis,rCLR_Bifidobacterium bifidum,rCLR_Blautia sp. CAG:257,rCLR_Parasutterella excrementihominis,rCLR_Proteobacteria bacterium CAG:139,rCLR_Lawsonibacter asaccharolyticus,rCLR_Coprobacter fastidiosus,rCLR_Alistipes inops,rCLR_Bacteroides finegoldii,rCLR_Paraprevotella xylaniphila,rCLR_Dialister invisus,rCLR_Enterocloster bolteae,rCLR_Bacteroides caccae,rCLR_Desulfovibrio piger,rCLR_Lachnospira pectinoschiza,rCLR_Prevotella copri,rCLR_Phocaeicola massiliensis,rCLR_Megamonas funiformis,rCLR_Phascolarctobacterium faecium,rCLR_Acidaminococcus intestini,rCLR_Anaerotignum lactatifermentans,rCLR_Bacteroides salyersiae,rCLR_Parvimonas micra,rCLR_Klebsiella pneumoniae,rCLR_Klebsiella variicola,rCLR_Klebsiella quasipneumoniae
SID31030,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2194804058869275,-0.6615651359828729,1.2630444142987054,0.6760720816891445,1.9770915453051965,1.1677686432245296,0.0,1.2711488243635685,1.5556941792018253,1.6127106924059134,1.811369161711268,1.3891491305697838,2.2062751067735498,1.927082058829393,0.0,0.6157119054765882,1.1682288623992467,-0.3627453443289987,-0.048869659970949,-2.017481863171954,0.0,0.0,0.2122612899673157,0.5994481807643935,2.698910704237899,0.0,2.204542745255368,0.3461350532962283,1.0181699206345112,-1.8984906336182577,-3.026058174538396,0.0,0.0,-0.5968553638965313,0.0,0.0,1.2821850767573617,0.0,-2.3503503143906608,-0.0354236180560736,0.0,0.0,0.0,0.0,1.272457881937,-0.7238799439626571,0.7980630730370197,-1.396751169752095,1.7786350532317166,2.696012543249317,0.0,-0.4195340420816693,-0.2867283116557173,0.0,-5.0291666185878245,1.5607409014164642,0.0,0.0,0.0,0.0,-0.0249168276203932,-0.7456147133665438,-0.2446525038734139,1.622314357125605,-0.0553134723250694,-1.553275171901316,-1.893672402658674,1.6386465078895331,-0.1197315132096714,-0.940449249646524,0.0,-2.631271345789453,0.0,-2.7155869120926863,0.0,0.0,0.2217904655450571,5.040165996581505,0.0,0.0,-3.1439259595486164,0.1762196454536306,0.0,-3.435939800781806,0.0,0.0,-2.135172173157169,0.0,1.1394448974165166,-0.2075081443296604,-1.6777649315971193,-2.166248120117692,-4.622027869921629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31137,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.8548583269400427,0.5840527213427715,5.236077514982026,0.0,-2.619752850604431,0.0,0.0,0.0,0.0,0.0,-4.876400848411452,-3.2669629359773507,4.292907047711161,-4.984031512603817,-3.7846145248137417,0.0,6.376912886919775,0.0,0.0,-1.3280744658593897,-3.009319372644797,0.0,0.0,0.0,0.0,0.0,-2.1959386038280706,-4.0232890181588274,4.2080060159288255,0.0,0.0,0.0,-0.7705580195019777,0.0,0.0,1.744325206191709,0.0,1.7490456511904229,0.0,0.0,0.0,0.0,-3.7119753411737695,-0.8753956202709601,0.0,-1.943847476478992,-0.334192196366609,4.486721920781366,0.0,-2.812383777057247,0.0,3.263652861793692,2.2664910824096367,0.0,0.0,0.0,0.0,0.0,0.0,0.5962984763017789,0.0,2.7337040365892853,0.0,0.0,2.485842911804563,1.6469816339648735,-0.8870389442949764,0.0,-0.592673550501051,2.071771445138445,0.0,0.0,0.0,-2.910287992038618,1.439215450929703,-4.876400848411452,0.0,3.1152742779784006,0.0,0.0,0.0,0.0,0.0,3.900156822188202,0.0,0.0,-2.1508181685476004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0983402235415585,0.0,0.0,0.0,0.0,0.0
SID31233,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6426800479840864,1.465051055732433,4.331045321048669,0.0,4.66427085939752,-0.2669119762011065,0.0,-0.8423426967845971,3.6606959609935954,0.0,4.767233471486443,3.5490771004615738,4.447867326648461,3.9055769173544217,4.5649855055677175,-0.1243405317047825,1.1257655044471315,0.840251622406464,2.880944616672952,-1.7842585664615758,1.900411219748693,-1.2636449363294218,2.760756918017941,-1.9731590943535728,-2.447793892974876,0.0,3.962939258370759,2.120525183922453,1.1738555343217092,0.0,-2.4544472774656123,-5.161163255554686,4.197293627214163,1.6898100093284665,0.0,0.0,0.0,0.0,-4.075973987218717,-2.044984828924828,-5.266523771212513,-0.2897900287919381,0.0,5.126313097972415,-0.2684110021151471,0.0,-2.7032852781546053,-4.8536785558067255,0.0,-2.85857816256064,0.0,2.784533855895413,1.863379007633692,0.0,-3.3366139635036403,-0.5183120025989063,0.0,-2.2542621957073106,0.0,0.3857314635643702,0.0,1.6891959342861418,-0.292245147410445,-0.951408841821758,-4.562326754465982,-1.7048465746714516,-5.815089722961351,-5.121942542401405,0.0,0.2987626261897635,0.0,0.0,0.0,-2.174471726652844,0.0,-3.352874484375421,0.0,0.0,0.0,0.0,-1.2443517333947431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.790919514086826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31256,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.2225564129056554,0.6216851666874696,2.904494362014528,0.0,3.969583705268883,4.294115049577843,0.0,-3.463206252890876,3.447548555260451,0.0,3.2283587313212925,3.546637258180413,3.331946098863516,2.636072450461201,0.0,-0.169462376139156,1.3802820881049518,2.0383591301336126,2.28826490907608,0.4620089218526054,0.0,0.0,1.7446259681785934,0.6098789763930899,-3.9976050443749336,0.0,2.509265218178121,3.1126959434428665,0.0,0.0,-3.804258855865669,0.0,-3.567969575338956,0.1762881020503741,-3.772628311979063,0.0,-0.1872287660917713,-2.1698056386636817,0.0,-3.217733225178577,0.0,0.0,0.0,0.0,0.1039003620366159,-3.305605310871465,-0.8254939133909498,-2.994379391033186,0.0,-0.6220391715858455,0.0,1.6015641718845304,1.534178557571769,1.831043713202598,0.0,0.0,0.0,-3.607548561619614,0.0,0.0,-5.0126522546970005,1.7421731179978917,0.0,0.0,0.0,-0.5294351794601555,0.0,-3.846736284132784,0.0,2.6720705782724083,0.0,0.0,0.0,-0.4838028085525558,0.7072859306564029,2.176601460442789,0.0,1.143696302645952,0.0,0.0,-2.43320288485071,-2.449164529651587,0.0,-0.3758975452626905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345693874868372,0.0,0.0,0.0,0.0,0.0,-4.127212298543322,0.0,0.0,0.0,0.0,0.0,-3.4198069373563205,0.0,0.0,0.0
SID31275,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.3596353947129158,-2.652501051186067,0.8916915443954785,0.0,2.8683300387465738,0.0,0.0,3.094331058412827,0.4588170585685385,0.0,-0.3105171982119539,1.1977384822056842,2.18545004781876,1.5528362838615857,0.0,-0.162924253575605,-1.6508257793075565,0.156827269850414,0.9357904311605852,0.0,0.0,0.0,0.8001089593067875,-2.486254509972244,-0.977714760452066,1.7793587074068773,2.112417872835338,0.4199064430545123,-0.1275628426466606,0.0,-3.98122556048448,2.9668548063634645,-2.703794345573617,-0.3085607725101069,-3.9835592838307,0.0,-4.286940265825584,1.2282351165971257,-0.0058010437058373,-1.5982750577219118,-2.526249176496864,0.0,0.0,2.234663768093761,-0.2496238206457568,0.0,-1.4710011027121892,0.0,-1.915573294066121,-1.9394907271267097,0.0,-0.552591405310813,-3.709402851272806,0.0,0.8747124138576432,3.969685147740149,2.377476827341632,0.0,1.309487206678338,0.0,0.0,-0.7719998784301518,0.0,0.8860040201212663,-0.3251029072057432,3.118772756689889,-0.6863388133164707,4.14635109330166,-1.1602907731166496,0.0,2.3462407496189903,-2.156225208434808,0.0,0.0,0.0,2.100897550687027,0.3848232906756055,3.071757591336296,0.2350890637482212,0.0,-2.3055024015778662,0.0,0.0,0.0,0.0,0.0,-1.481089700699575,0.0,0.0,0.0,-4.299679291603014,0.0,-2.6239015966617023,2.092897956899741,0.6812454793409527,-0.8624920843871968,0.4345773266401722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31282,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.845851794888032,-0.6312652424987513,2.2620112407337,0.0,4.104675622326911,0.0,0.0,1.6060074996721778,2.4301934104957983,0.0,3.204041137793391,2.2436831916732705,1.4042274326523865,1.89879963403641,1.6319891409296354,1.314369525611183,0.2453271806624456,0.3455405078612993,0.8057906301338646,-2.918232488164988,0.0,2.21249301473408,0.9072275475728342,2.9311597330510324,2.018931683120002,0.0,3.552981097338592,0.8848393334746032,1.7927440343916228,0.0,-1.4830274918337465,-0.0248783242407029,-2.2637748525552217,0.1673902102294089,0.0,0.0,2.121013415657616,-1.8173036774543203,-1.4792700665067748,-0.8007051397326377,-1.8357735794246444,0.2729646129383457,0.0,0.0,0.7854483317307541,0.0,-0.090204271831392,-3.3218018611082534,-1.7413793379851916,2.709131492646836,0.7226605583770186,0.6066200353834726,-0.2023279089476335,2.172116553747592,0.0010585332378429,-1.431237407751139,1.1295679624721455,-1.298474826457071,0.0,-1.9056545368386808,-2.247795383242344,-0.2341656846232616,-0.2731393760710616,-2.7007978010710985,-1.1545896821387411,-0.2141115652026672,-3.678747404426258,-2.8333845291629207,-2.210954125681305,-2.448070743652894,-0.3940990434049991,0.0,0.0,-0.7962247434310932,0.0,1.4707512307027109,-0.896395938427867,0.8901433407880491,0.0,0.0,-1.829578963866528,0.0,0.0,0.0,0.0,0.0,-4.83300687180876,0.0,-0.539377669847195,-1.934088053334136,-1.690817447682225,0.0,0.0,0.0,0.0,0.0,0.0,-0.5370946306585593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SID31337,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,4.105966800306556,0.0,-3.845257576479184,0.0,0.0,-0.3225638972497986,-1.9113236184705864,0.0,0.0,0.0,0.0,0.0,0.0,-1.440717760962145,3.176166607706381,-2.042631438021737,0.0,-0.4693400168181418,0.0,0.0,0.0,-1.4036837868473282,-5.098576254908275,0.0,0.0,0.6268636401820905,-1.0685800027753685,0.0,-0.904627009708428,0.0,-0.4284785184059885,0.0,-3.629250540734294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.630804502830216,0.0,0.0,0.0,0.0,-1.936867999335072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.687660404331972,0.0,0.0,0.0,-0.035316516481337,1.979040000806463,0.0,0.0,0.5432618233913257,2.3508040387007707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119330569531128,1.8130276397708784,0.5042889096399028
SID31398,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,2.880665429067162,3.2792123397430943,4.044058714278493,0.0,2.3851111785491623,1.0787483826650406,-2.059558897322732,1.0383772323059397,3.86397413636242,0.0,2.253297713774182,1.4744978782449731,-0.2978807173864095,4.479106308094463,2.0345679951370257,2.0873635013963563,1.1652261039370626,0.3138857316907342,1.6135514714107098,2.81003270244967,2.2448183629340623,0.0,0.0364448808591317,-0.4146937267760235,2.476447992956229,0.0,0.9233593305759416,0.9851548593059744,0.970970224314018,0.0,-1.6472530183983989,0.0,0.6873062629493549,0.8905211765160815,-0.2336495674991048,0.0,1.0707244647610312,-2.5725633537616326,0.0915256091450427,1.455227234843547,-0.1498861853157795,1.531521093444521,0.0,3.210068551072178,-0.5878658769916161,0.0,-1.1119213560171306,4.890331747383235,-1.6164712822864788,3.0534177939312626,0.0,-2.020164339991344,-1.0432660285114697,0.6245676905948174,0.1510805153315708,-0.0370837472667608,-3.2359562732397857,0.5082839248607764,0.0,-4.162889758046379,0.0,-2.6259782896805413,0.773388508931814,-1.125249659945898,-0.5295360643485063,-1.8942062167280151,-0.7230785794555543,-1.6572798403711513,-3.700113831922097,0.4904040953111397,-0.6733901091294827,-2.7683986297223098,-2.75723666705694,2.841798027901305,-0.5943428832111444,0.0,-0.5656338720104754,1.0451561533056766,-0.5116438000151833,-1.977624844880042,-2.4326555218246138,-1.1429668547447451,0.0,-0.1778763947686599,0.0,0.0,-2.408870616801172,-3.518224147300694,0.0405736804387946,0.0,0.0,-0.3975828604001634,-4.9738199742627085,-2.4966592965893635,0.0,1.4972948106242696,0.0,-2.938146506363237,0.0,0.0,0.0,0.0,0.0,-3.666989784497064,-0.4924928153108752,-1.3509616212465656,0.0
SID31424,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.67433207365621,1.448124448706262,3.3524345730402407,-1.602256911794413,4.843208136247068,4.23295990543715,0.0,1.0119789557776346,4.201969765085416,0.0,5.002003915624741,3.710304446155911,3.893943599136765,4.129599347130325,0.0,-0.1481841722860459,4.018808269457958,2.941604416318206,3.126067339892729,-0.0716374623465219,0.0,0.0,1.939005316708172,-3.154686268024092,-1.0567074177725564,0.0,5.442627041102275,4.516817111228001,1.8263649581186625,0.0,-2.469532735144893,-6.339129896470809,0.0,1.5804780107582828,5.09193287231775,2.112104278202032,-2.616220693770561,0.0,0.0,-3.1707379770346,0.0,-0.0417372904159987,0.0,0.0,-1.1853937587338796,-2.549709213134995,0.0,-2.592344444779431,0.0,0.0,0.0,-1.447624698756136,-3.157876063392192,0.0,0.0,-3.65705518177186,-0.5956337335465856,-2.73237865652143,0.0,-1.6520253020795312,0.0,-2.5121621405397434,-2.675568250341162,-3.167506956453153,-4.319111775261773,-0.7452767632383437,0.0,-2.592344444779431,-5.768585038003196,-5.438343351132619,0.0,0.0,0.0,1.883630280952432,0.0,2.1734835933333136,0.0,-3.816482918699961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3507339606112987,0.0,-2.108373478758831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.119889620014084,0.0,0.0,0.0
SID31431,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3.285336755277973,0.8850730148569601,0.2427786720451574,1.2299096652558568,2.661569969086248,2.767156621859681,0.0,1.0186235867249387,1.3036068834139962,0.0,2.0293526917671603,1.4168306346751962,-0.5142869674124559,1.6979550693327532,-2.880540421752701,2.662706627743946,-1.7210826388210965,0.9140324945742768,0.2051258369535689,-0.2720018361837175,4.542064580196122,0.0,0.9891545959860262,-1.1116831432532002,-2.54246008754236,0.0,0.2096281032422493,-0.2839809671090338,-0.6753950109250377,0.0336597430530101,-1.287808544359124,0.1756215456429937,-1.3649690663066685,-1.5850600678270554,3.3603436735554686,0.0,-0.6029843133564372,-1.1127007248888607,-0.6650751518958422,2.073838869592028,-1.5153417701204064,0.6921886095889407,-4.450349894612296,1.6063520734541494,-2.288785497674961,-4.135957671832942,1.9444649995328225,-1.0295996982957805,1.8396905942577744,3.3516979595168683,0.0,0.2586924388164602,-3.834992123668639,0.0,0.0,1.5070950398207683,0.4725557564965128,-3.3071012393484613,1.3369577031004476,0.0,-3.0303928638499507,0.3274881824366442,0.979986973821582,1.183734273262762,-0.1795395282884613,0.8391227398740106,0.0,1.1626271008193605,-1.4988956870765793,0.0,1.3859775521330295,-6.248499161939123,-2.98892442704833,0.0,0.0,0.7451691346464987,-2.8479430114627737,2.7529679482262024,0.0,0.0,0.0,0.0,1.09081373297804,0.0,0.0,0.0,-3.573025131271525,0.0,0.7336497626738968,0.0,0.0,0.0,0.0,0.8750651440662645,0.0,0.397816425026658,0.0,-1.639107131261476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
