Study,Algorithm,AUC_F,AUC_M,TPR_F,TPR_M,Equal_Opportunity,PPV_F,PPV_M,DP_F,DP_M
ThomasAM_2019_c,RandomForest,1.0,0.9980158730158729,1.0,1.0,0.0,1.0,0.9130434782608695,0.5428571428571428,0.5111111111111111
WirbelJ_2018,RandomForest,0.8102678571428572,0.8340840840840841,0.6666666666666666,0.6388888888888888,0.02777777777777779,0.8,0.8518518518518519,0.38461538461538464,0.3698630136986301
YuJ_2015,RandomForest,0.815018315018315,0.8497474747474747,0.8076923076923077,0.7916666666666666,0.01602564102564108,0.6774193548387096,0.7916666666666666,0.6595744680851063,0.5925925925925926
VogtmannE_2016,RandomForest,0.6422222222222222,0.6921110299488678,0.6666666666666666,0.6216216216216216,0.04504504504504503,0.5555555555555556,0.696969696969697,0.6,0.44594594594594594
YachidaS_2019,RandomForest,0.666069027341999,0.754521373766898,0.5154639175257731,0.6521739130434783,0.13670999551770513,0.5813953488372093,0.7142857142857143,0.4056603773584906,0.494949494949495
ThomasAM_2018b,RandomForest,0.7592592592592593,0.8328804347826086,0.5555555555555556,0.6086956521739131,0.0531400966183575,0.625,0.9333333333333333,0.38095238095238093,0.38461538461538464
ZellerG_2014,RandomForest,0.6609848484848485,0.6945812807881774,0.75,0.9310344827586207,0.18103448275862066,0.5,0.6428571428571429,0.631578947368421,0.7368421052631579
FengQ_2015,RandomForest,0.7388888888888888,0.7604166666666666,0.8888888888888888,0.75,0.13888888888888884,0.5714285714285714,0.6176470588235294,0.6511627906976745,0.53125
ThomasAM_2018a,RandomForest,0.8106060606060607,0.7541806020066889,1.0,0.8260869565217391,0.17391304347826086,0.42857142857142855,0.8260869565217391,0.8235294117647058,0.6388888888888888
HanniganGD_2017,RandomForest,0.6260504201680672,0.5181818181818182,0.2857142857142857,0.1,0.1857142857142857,0.2857142857142857,0.6666666666666666,0.2916666666666667,0.0967741935483871
ThomasAM_2019_c,LASSO,0.8651315789473684,0.9226190476190476,0.8421052631578947,0.8571428571428571,0.015037593984962405,0.8,0.782608695652174,0.5714285714285714,0.5111111111111111
WirbelJ_2018,LASSO,0.681547619047619,0.78003003003003,0.625,0.7222222222222222,0.09722222222222221,0.625,0.7428571428571429,0.46153846153846156,0.4794520547945205
YuJ_2015,LASSO,0.728937728937729,0.7960858585858586,0.6538461538461539,0.6875,0.033653846153846145,0.7391304347826086,0.7674418604651163,0.48936170212765956,0.5308641975308642
VogtmannE_2016,LASSO,0.5511111111111111,0.614317019722425,0.4666666666666667,0.6756756756756757,0.20900900900900898,0.5,0.5319148936170213,0.4666666666666667,0.6351351351351351
YachidaS_2019,LASSO,0.6236665172568355,0.6645049324077458,0.5257731958762887,0.639751552795031,0.11397835691874236,0.6,0.6602564102564102,0.4009433962264151,0.5252525252525253
ThomasAM_2018b,LASSO,0.6018518518518519,0.7391304347826086,0.3333333333333333,0.4782608695652174,0.1449275362318841,0.6,0.8461538461538461,0.23809523809523808,0.3333333333333333
ZellerG_2014,LASSO,0.7512626262626263,0.79064039408867,0.75,0.8620689655172413,0.11206896551724133,0.75,0.6756756756756757,0.42105263157894735,0.6491228070175439
FengQ_2015,LASSO,0.6444444444444445,0.824404761904762,0.5,0.6428571428571429,0.1428571428571429,0.5294117647058824,0.6666666666666666,0.3953488372093023,0.421875
ThomasAM_2018a,LASSO,0.8787878787878787,0.8127090301003345,0.8333333333333334,0.7391304347826086,0.09420289855072472,0.5,0.85,0.5882352941176471,0.5555555555555556
HanniganGD_2017,LASSO,0.6638655462184874,0.5181818181818182,0.2857142857142857,0.15,0.1357142857142857,0.4,0.5,0.20833333333333334,0.1935483870967742
