Study,AUC,AUPRC,F1,TP,FP,TN,FN
FengQ_2015,0.7430555555555556,0.7276466724231232,0.6071428571428571,17,11,25,11
HanniganGD_2017,0.4954545454545455,0.6669893879553412,0.4,6,4,7,14
ThomasAM_2018a,0.8394648829431438,0.9088883713192688,0.7619047619047619,16,3,10,7
ThomasAM_2018b,0.7282608695652174,0.8205241497325764,0.65,13,4,12,10
ThomasAM_2019_c,0.9642857142857144,0.9712852733686068,0.926829268292683,19,1,23,2
VogtmannE_2016,0.6274653031409788,0.6612199212417906,0.6075949367088608,24,18,19,13
WirbelJ_2018,0.743993993993994,0.7633584240843451,0.6933333333333334,26,13,24,10
YachidaS_2019,0.6392948483741323,0.6598659748290306,0.4962962962962963,67,42,94,94
YuJ_2015,0.76010101010101,0.8214981196425369,0.6172839506172839,25,8,25,23
ZellerG_2014,0.7992610837438424,0.8005782181046578,0.746268656716418,25,13,15,4
