Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,RandomForest,HanniganGD_2017,0.498015873015873,PA_Parvimonas micra,PA,Parvimonas micra,0.028566545351130564,-0.028566545351130564,1
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.015534435918286675,0.0021468678709620275,2
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.015260923791167641,0.015260923791167641,3
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.013192769643974842,0.013192769643974842,4
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.01199390388632407,-0.008534226011498622,5
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.010189580985172163,-0.007691159673314386,6
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.008881108051252288,0.0084945505733079,7
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.008533905448809333,0.0019504735963860502,8
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.0084488361271097,-0.008432970733391864,9
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.008303021728339561,-0.008303021728339561,10
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.00820198047298219,0.005924411112852646,11
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.008200489158933207,-0.008200489158933207,12
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.007848404076495204,0.006153728232333575,13
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.007695585740549861,0.005359672100241437,14
All,RandomForest,HanniganGD_2017,0.498015873015873,Age,covariate,Age,0.0074283203089193775,-0.004472666144791357,15
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.007405276067902953,-0.0035713055380082823,16
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.006867253391475418,-0.0031319924094429215,17
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.006599534128624124,-0.006264396470514988,18
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.0065185747194737645,-0.005873193077979438,19
All,RandomForest,HanniganGD_2017,0.498015873015873,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.006127469771862968,-0.0023283113218240782,20
