Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,RandomForest,YachidaS_2019,0.7216560116124648,PA_Parvimonas micra,PA,Parvimonas micra,0.04213960326820844,-0.0012350383743312287,1
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.024451327138116808,-0.004996361400685137,2
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.015185289391635255,-0.007981277148144448,3
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.012488955308041193,0.0004661684545221029,4
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.012091823459513321,0.005487924720013382,5
All,RandomForest,YachidaS_2019,0.7216560116124648,Age,covariate,Age,0.009995052247436043,-0.002650140866527682,6
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.009625974247089001,0.0021064745751161375,7
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.008804904754464257,0.002546632139898861,8
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.008144355879724377,0.0011563788602493362,9
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.008030284660978514,-0.00017068266718469263,10
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.007805345472495732,-7.78093992821053e-05,11
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.0071519489314857175,0.0036021566437333444,12
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.006805599443411734,-0.003179154826076813,13
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.006741557400796334,0.003673430763195961,14
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.006622593726627123,0.00026927436737561556,15
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.005965391878329563,-0.0007298797628569601,16
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.005633104121535549,0.0032489091226253265,17
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.005397902218962708,-0.0022257293054296773,18
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.005367231471318997,-0.0009253644952259256,19
All,RandomForest,YachidaS_2019,0.7216560116124648,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.005316846420490691,-0.0021896697521652936,20
