Model,Algorithm,Study,Fold_AUC,Feature,Feature_Type,Species,MeanAbsSHAP,MeanSignedSHAP,Rank
All,RandomForest,FengQ_2015,0.7508909479686385,PA_Parvimonas micra,PA,Parvimonas micra,0.026081139727200383,-0.002354317317223789,1
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.01702423228625685,0.010933649064813004,2
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.016104129505668856,-0.00224366784580976,3
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.01388746085372109,0.011166683712416789,4
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.011780006797387986,0.008850078517304159,5
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.009198421339379363,-0.0034078181461392664,6
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.008333925141167155,-0.00018308896102961017,7
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.007749936187650845,-0.006145458137567146,8
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.007338756908136218,0.004428408097386811,9
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.007221661484322393,0.0011893836713674126,10
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.006895792899801051,-0.005463813669914078,11
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.006701674927994798,0.004364301245604647,12
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.006595609864264136,0.0025396327284738325,13
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.005857724051086359,-0.0020881015893541256,14
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.0056366249726644505,-0.003751180956861134,15
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Blautia obeum,rCLR,Blautia obeum,0.00562720476007651,0.0044839301381435475,16
All,RandomForest,FengQ_2015,0.7508909479686385,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.005390443896709237,-0.003566849937294027,17
