Model,Algorithm,Feature,Feature_Type,Species,MeanAbsSHAP_Mean,MeanAbsSHAP_Median,MeanSignedSHAP_Mean,MeanRank,MedianRank,BestRank,N_Folds_Evaluated,N_Folds_TopK,Total_Folds,StabilityScore,MeanAbsSHAP_Scaled,ConsensusScore,ConsensusRank
All,RandomForest,PA_Parvimonas micra,PA,Parvimonas micra,0.03573199086630286,0.033479942759122985,-0.0006246871564605794,1.1,1.0,1,10,10,10,1.0,1.0,1.0,1
All,RandomForest,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,0.015598187370879934,0.014185014254006537,0.003271481422235509,3.4,3.0,1,10,10,10,1.0,0.4365328377375648,0.8027864932081477,2
All,RandomForest,rCLR_Parvimonas micra,rCLR,Parvimonas micra,0.013963703163212332,0.01174860934786023,0.00022197209887531936,5.3,4.5,2,10,10,10,1.0,0.3907899566934244,0.7867764848426986,3
All,RandomForest,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,0.010677959129310832,0.01099226563050145,0.0008913982003436148,6.4,5.0,3,10,10,10,1.0,0.29883471002956924,0.7545921485103493,4
All,RandomForest,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,0.009244864803066894,0.008640215738232784,0.0001123242985958186,8.6,7.0,2,10,10,10,1.0,0.2587279515898815,0.7405547830564585,5
All,RandomForest,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,0.007289662790672438,0.006966936227586408,-6.654107407939604e-05,12.7,12.5,7,10,10,10,1.0,0.2040094216397825,0.7214032975739239,6
All,RandomForest,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,0.009329813235138205,0.009381301091736552,0.0024689068108446305,10.0,8.5,2,10,9,10,0.9,0.2611053291166238,0.6763868651908184,7
All,RandomForest,rCLR_Eubacterium sp. CAG:251,rCLR,Eubacterium sp. CAG:251,0.009294914994912579,0.009148455689064824,0.007354377031392835,11.1,7.0,3,10,9,10,0.9,0.2601286625671387,0.6760450318984986,8
All,RandomForest,rCLR_Bacteroides caccae,rCLR,Bacteroides caccae,0.008032333483098857,0.007629203451116823,-0.0007539388273600422,10.3,9.5,4,10,9,10,0.9,0.22479389724331783,0.6636778640351613,9
All,RandomForest,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,0.007491206840213762,0.0068207514096793815,0.001066151539582835,14.2,16.5,4,10,9,10,0.9,0.20964985881260711,0.6583774505844125,10
All,RandomForest,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,0.007328964506730222,0.007484464160357652,-0.0004037516938524124,13.3,12.0,8,10,9,10,0.9,0.20510932441891502,0.6567882635466203,11
All,RandomForest,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,0.006836863400573952,0.00667292068284956,-2.6211194392203103e-05,13.3,13.5,6,10,9,10,0.9,0.1913373208382148,0.6519680622933752,12
All,RandomForest,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,0.007695366886452499,0.006863960275706514,-0.0020631002298354857,13.5,14.0,2,10,8,10,0.8,0.21536350759872247,0.5953772276595529,13
All,RandomForest,rCLR_Clostridium sp. CAG:58,rCLR,Clostridium sp. CAG:58,0.006826893432758071,0.006797752737583671,-0.0015485969501768837,14.0,12.5,6,10,8,10,0.8,0.19105830006231725,0.5868704050218111,14
All,RandomForest,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,0.005749868662938921,0.006173410847315172,-0.0008136350874920645,18.6,17.5,11,10,7,10,0.7,0.16091654910729725,0.511320792187554,15
All,RandomForest,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,0.006717393480650565,0.005803656790482682,0.00011079578194110262,15.5,18.5,3,10,6,10,0.6,0.1879938206013989,0.4557978372104896,16
All,RandomForest,rCLR_Butyricimonas virosa,rCLR,Butyricimonas virosa,0.006020385410917062,0.005735812698974803,-0.0020545232036514468,17.5,16.5,8,10,6,10,0.6,0.16848726491180768,0.4489705427191327,17
All,RandomForest,rCLR_Fusicatenibacter saccharivorans,rCLR,Fusicatenibacter saccharivorans,0.0053087983983409175,0.0056348645471,-0.0009465294857906195,22.1,16.5,13,10,6,10,0.6,0.14857270109031043,0.44200044538160865,18
All,RandomForest,rCLR_Alistipes finegoldii,rCLR,Alistipes finegoldii,0.0064613164875360505,0.005491107194909849,0.001480555793597607,18.7,20.0,5,10,5,10,0.5,0.1808272175964707,0.3882895261587648,19
All,RandomForest,Age,covariate,Age,0.0056597990600661206,0.005237211719003145,-3.8492246791407036e-05,21.8,21.0,6,10,5,10,0.5,0.15839584984903843,0.38043854744716343,20
All,RandomForest,rCLR_Roseburia faecis,rCLR,Roseburia faecis,0.005547983752604716,0.005023567853293111,-0.00039858755289960994,21.4,23.0,9,10,4,10,0.4,0.1552665725613614,0.3143433003964765,21
All,RandomForest,rCLR_Veillonella parvula,rCLR,Veillonella parvula,0.004472584198948189,0.004052687043427165,-4.907795803148988e-05,27.3,28.5,11,10,4,10,0.4,0.12517030511070878,0.3038096067887481,22
All,RandomForest,rCLR_Faecalibacterium prausnitzii,rCLR,Faecalibacterium prausnitzii,0.005132081708489923,0.004830253769316548,-1.0159553532857915e-05,23.1,23.5,13,10,3,10,0.3,0.1436270855349889,0.24526947993724613,23
All,RandomForest,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,0.005103790221505016,0.004725313813125955,9.92807801706132e-07,23.2,24.5,9,10,3,10,0.3,0.1428353164144055,0.24499236074504194,24
All,RandomForest,rCLR_Bacteroides sp. CAG:144,rCLR,Bacteroides sp. CAG:144,0.003822471743021601,0.0034699575255314843,-0.002796870012747089,36.7,31.5,15,10,3,10,0.3,0.10697617597978264,0.23244166159292393,25
All,RandomForest,rCLR_Dorea longicatena,rCLR,Dorea longicatena,0.0031265005209167814,0.002270224495834793,0.0011351403981862474,43.3,48.5,16,10,3,10,0.3,0.08749863763861071,0.22562452317351375,26
All,RandomForest,rCLR_Bacteroides fragilis,rCLR,Bacteroides fragilis,0.004630683320861007,0.003228927895608291,0.0006818322796879896,34.4,32.5,3,10,2,10,0.2,0.12959488706317743,0.17535821047211209,27
All,RandomForest,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,0.004514972807362313,0.0030487992979499187,-2.7438674342120755e-05,36.4,34.5,3,10,2,10,0.2,0.12635659804839391,0.17422480931693787,28
All,RandomForest,rCLR_Coprococcus catus,rCLR,Coprococcus catus,0.004467145371058773,0.004008629273670621,0.0009737233900186812,28.9,26.5,5,10,2,10,0.2,0.1250180933878925,0.17375633268576238,29
All,RandomForest,rCLR_Blautia obeum,rCLR,Blautia obeum,0.0026706141233044734,0.0019855244872156643,0.000951720668839142,51.5,55.5,16,10,2,10,0.2,0.0747401434556786,0.1561590502094875,30
All,RandomForest,rCLR_Akkermansia muciniphila,rCLR,Akkermansia muciniphila,0.003946097930309018,0.0035171061607365568,0.0016729196875719687,31.0,33.0,15,10,1,10,0.1,0.11043599403889905,0.10365259791361467,31
All,RandomForest,rCLR_Collinsella aerofaciens,rCLR,Collinsella aerofaciens,0.003255453522844595,0.0032066629243313813,0.00010113317623318722,36.4,33.0,18,10,1,10,0.1,0.09110753260363834,0.09688763641127342,32
All,RandomForest,rCLR_Eubacterium sp. CAG:180,rCLR,Eubacterium sp. CAG:180,0.0032381525515678285,0.0030179344934815663,-0.0016537396951857648,36.5,36.5,19,10,1,10,0.1,0.09062334544089386,0.09671817090431285,33
All,RandomForest,rCLR_Desulfovibrio piger,rCLR,Desulfovibrio piger,0.0029618952788452125,0.0027112325635146677,-0.0015893170460242589,50.2,40.5,10,10,1,10,0.1,0.08289197458735598,0.0940121911055746,34
