Model,Algorithm,Species,Species_MeanAbsSHAP,Species_MaxStability,Species_BestRank,PA_SHAP,rCLR_SHAP,Dominant_Signal,SpeciesRank
All,RandomForest,Parvimonas micra,0.049695694029515194,1.0,1,0.03573199086630286,0.013963703163212332,PA,1
All,RandomForest,Ruthenibacterium lactatiformans,0.01583581118770879,1.0,2,0.00023762381682885595,0.015598187370879934,rCLR,2
All,RandomForest,Anaerostipes hadrus,0.010864693634529075,1.0,4,0.0001867345052182439,0.010677959129310832,rCLR,3
All,RandomForest,Roseburia intestinalis,0.01068563371526384,1.0,5,0.0014407689121969445,0.009244864803066894,rCLR,4
All,RandomForest,Eubacterium sp. CAG:251,0.009822190845179437,0.9,8,0.0005272758502668569,0.009294914994912579,rCLR,5
All,RandomForest,Lachnospira pectinoschiza,0.0096429868561294,0.9,7,0.0003131736209911944,0.009329813235138205,rCLR,6
All,RandomForest,Bacteroides caccae,0.008970862268061276,0.9,9,0.000938528784962419,0.008032333483098857,rCLR,7
All,RandomForest,Eubacterium ventriosum,0.008020603462847654,0.8,13,0.0003252365763951546,0.007695366886452499,rCLR,8
All,RandomForest,Lachnospira eligens,0.007881412714168333,0.9,12,0.0010445493135943801,0.006836863400573952,rCLR,9
All,RandomForest,Parabacteroides distasonis,0.007865901548156532,0.9,11,0.0005369370414263097,0.007328964506730222,rCLR,10
All,RandomForest,Dorea formicigenerans,0.007712320011338216,0.9,10,0.00022111317112445415,0.007491206840213762,rCLR,11
All,RandomForest,[Ruminococcus] torques,0.007604259478414222,1.0,6,0.0003145966877417839,0.007289662790672438,rCLR,12
All,RandomForest,Clostridium sp. CAG:58,0.007338286010428164,0.8,14,0.0005113925776700926,0.006826893432758071,rCLR,13
All,RandomForest,Odoribacter splanchnicus,0.006892289825059038,0.6,16,0.00017489634440847284,0.006717393480650565,rCLR,14
All,RandomForest,Alistipes finegoldii,0.0067460837832564935,0.5,19,0.00028476729572044326,0.0064613164875360505,rCLR,15
All,RandomForest,Butyricimonas virosa,0.006712004697518348,0.6,17,0.0006916192866012862,0.006020385410917062,rCLR,16
All,RandomForest,Roseburia faecis,0.006350461771004567,0.4,21,0.000802478018399851,0.005547983752604716,rCLR,17
All,RandomForest,Bacteroides thetaiotaomicron,0.006092535818939411,0.7,15,0.00034266715600049004,0.005749868662938921,rCLR,18
All,RandomForest,Bacteroides fragilis,0.0060613594001622285,0.2,27,0.001430676079301221,0.004630683320861007,rCLR,19
All,RandomForest,Flavonifractor plautii,0.005682990630106416,0.3,24,0.0005792004086013992,0.005103790221505016,rCLR,20
All,RandomForest,Fusicatenibacter saccharivorans,0.005505457620776955,0.6,18,0.00019665922243603746,0.0053087983983409175,rCLR,21
All,RandomForest,Faecalibacterium prausnitzii,0.005225345151462525,0.3,23,9.32634429726022e-05,0.005132081708489923,rCLR,22
All,RandomForest,Paraprevotella xylaniphila,0.004935536367691593,0.2,28,0.00042056356032928004,0.004514972807362313,rCLR,23
