Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.5197705537683158,0.5197705537683158,True,CRC-associated,1
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.1593006370990542,0.1593006370990542,True,Control-associated,2
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.15207947210657358,0.15207947210657358,True,Control-associated,3
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.12541744977985936,0.12541744977985936,True,CRC-associated,4
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,Age,covariate,Age,Age,age,0.12215143571617179,0.12215143571617179,True,CRC-associated,5
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,Streptococcus thermophilus,streptococcus thermophilus,-0.10922732628822329,0.10922732628822329,True,Control-associated,6
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.09978778253184693,0.09978778253184693,True,CRC-associated,7
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,[Ruminococcus] torques,[ruminococcus] torques,0.09631421926706975,0.09631421926706975,True,CRC-associated,8
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.0820569443120746,0.0820569443120746,True,CRC-associated,9
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.07411454152514364,0.07411454152514364,True,CRC-associated,10
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Paraprevotella xylaniphila,rCLR,Paraprevotella xylaniphila,Paraprevotella xylaniphila,paraprevotella xylaniphila,-0.05882193186448356,0.05882193186448356,True,Control-associated,11
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.056918229902786235,0.056918229902786235,True,Control-associated,12
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.05647018837421054,0.05647018837421054,True,CRC-associated,13
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,PA_Roseburia intestinalis,PA,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.05640417180863684,0.05640417180863684,True,Control-associated,14
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,PA_Eubacterium sp. CAG:38,PA,Eubacterium sp. CAG:38,Eubacterium sp. CAG:38,eubacterium sp. cag:38,-0.05027916926954044,0.05027916926954044,True,Control-associated,15
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.049905644358511754,0.049905644358511754,True,Control-associated,16
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Lachnospira pectinoschiza,rCLR,Lachnospira pectinoschiza,Lachnospira pectinoschiza,lachnospira pectinoschiza,-0.03677702935797869,0.03677702935797869,True,Control-associated,17
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.033761897197013335,0.033761897197013335,True,CRC-associated,18
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,PA_Eubacterium sp. CAG:180,PA,Eubacterium sp. CAG:180,Eubacterium sp. CAG:180,eubacterium sp. cag:180,0.02783460575218234,0.02783460575218234,True,CRC-associated,19
All,LASSO_LogisticRegression,ThomasAM_2018b,0.03,0.8046874999999999,0.8587348243585373,0.625,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,bacteroides thetaiotaomicron,0.026384671380967638,0.026384671380967638,True,CRC-associated,20
