Arrangement,Model,Study,Selected_C,Fold_AUC,Fold_AUPRC,Fold_F1,Feature,Feature_Type,Species,Species_clean,Species_key,Coefficient,AbsCoefficient,IsNonZero,Direction,AbsCoefRank
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,PA_Parvimonas micra,PA,Parvimonas micra,Parvimonas micra,parvimonas micra,0.54012785126382,0.54012785126382,True,CRC-associated,1
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,PA_Streptococcus salivarius,PA,Streptococcus salivarius,Streptococcus salivarius,streptococcus salivarius,-0.18600296511877154,0.18600296511877154,True,Control-associated,2
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Ruthenibacterium lactatiformans,rCLR,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,ruthenibacterium lactatiformans,0.15616133951976133,0.15616133951976133,True,CRC-associated,3
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Anaerostipes hadrus,rCLR,Anaerostipes hadrus,Anaerostipes hadrus,anaerostipes hadrus,-0.1264534591448575,0.1264534591448575,True,Control-associated,4
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,Age,covariate,Age,Age,age,0.12605358444854164,0.12605358444854164,True,CRC-associated,5
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_[Ruminococcus] torques,rCLR,[Ruminococcus] torques,[Ruminococcus] torques,[ruminococcus] torques,0.11792690447559334,0.11792690447559334,True,CRC-associated,6
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,PA_Phocaeicola plebeius,PA,Phocaeicola plebeius,Phocaeicola plebeius,phocaeicola plebeius,0.10817726627127237,0.10817726627127237,True,CRC-associated,7
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Dorea formicigenerans,rCLR,Dorea formicigenerans,Dorea formicigenerans,dorea formicigenerans,0.09203976872687113,0.09203976872687113,True,CRC-associated,8
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Streptococcus thermophilus,rCLR,Streptococcus thermophilus,Streptococcus thermophilus,streptococcus thermophilus,-0.08972474824518749,0.08972474824518749,True,Control-associated,9
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Odoribacter splanchnicus,rCLR,Odoribacter splanchnicus,Odoribacter splanchnicus,odoribacter splanchnicus,0.07141242072628758,0.07141242072628758,True,CRC-associated,10
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,PA_Roseburia intestinalis,PA,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.06390035562315259,0.06390035562315259,True,Control-associated,11
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Eubacterium ventriosum,rCLR,Eubacterium ventriosum,Eubacterium ventriosum,eubacterium ventriosum,-0.06051386122952318,0.06051386122952318,True,Control-associated,12
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Bacteroides thetaiotaomicron,rCLR,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,bacteroides thetaiotaomicron,0.04631434824878521,0.04631434824878521,True,CRC-associated,13
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,PA_Anaerotignum lactatifermentans,PA,Anaerotignum lactatifermentans,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.04389347049642325,0.04389347049642325,True,CRC-associated,14
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Flavonifractor plautii,rCLR,Flavonifractor plautii,Flavonifractor plautii,flavonifractor plautii,0.042323083839118,0.042323083839118,True,CRC-associated,15
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Roseburia intestinalis,rCLR,Roseburia intestinalis,Roseburia intestinalis,roseburia intestinalis,-0.04065739032225405,0.04065739032225405,True,Control-associated,16
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Lachnospira eligens,rCLR,Lachnospira eligens,Lachnospira eligens,lachnospira eligens,-0.04004519024634945,0.04004519024634945,True,Control-associated,17
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,PA_Methanobrevibacter smithii,PA,Methanobrevibacter smithii,Methanobrevibacter smithii,methanobrevibacter smithii,0.035892921223792305,0.035892921223792305,True,CRC-associated,18
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,PA_Collinsella aerofaciens,PA,Collinsella aerofaciens,Collinsella aerofaciens,collinsella aerofaciens,0.03570888338940792,0.03570888338940792,True,CRC-associated,19
All,LASSO_LogisticRegression,VogtmannE_2016,0.03,0.6442307692307692,0.645289353971134,0.5316455696202531,rCLR_Parabacteroides distasonis,rCLR,Parabacteroides distasonis,Parabacteroides distasonis,parabacteroides distasonis,0.031885237450093126,0.031885237450093126,True,CRC-associated,20
